Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
Volatility_14D,0.0075371256683024,0.7464250418611946,0.7464250418611946,toward_class_1,1
Ticker,AAPL,0.6465706435215938,0.6465706435215938,toward_class_1,2
QQQ_Log_Return_1D,-0.0097557605018517,0.42946168271618174,0.42946168271618174,toward_class_1,3
Relative_Volume_20D,0.5878409424449045,0.1717485748810546,0.1717485748810546,toward_class_1,4
RSI_14,61.11817156245117,0.13259633256224856,0.13259633256224856,toward_class_1,5
Stock_vs_QQQ_3D,0.0183897667024622,-0.12872690179646382,0.12872690179646382,toward_class_0,6
Intraday_Return,0.0018521704847396,0.1105796074761084,0.1105796074761084,toward_class_1,7
QQQ_Log_Return_3D,-0.0149505267818116,0.11033283139796915,0.11033283139796915,toward_class_1,8
Stock_vs_QQQ_1D,0.0112533301544604,-0.10518085801252784,0.10518085801252784,toward_class_0,9
QQQ_Volatility_14D,0.0138907228211152,0.0627777046873477,0.0627777046873477,toward_class_1,10
Mean_Net_Sentiment,-2.1637761165038683e-06,0.04929889983614959,0.04929889983614959,toward_class_1,11
Has_EX99,0,0.04813002687959703,0.04813002687959703,toward_class_1,12
Sentiment_Momentum_3,-0.3059696540870805,0.043831521140761096,0.043831521140761096,toward_class_1,13
Daily_Range,0.0149220860064312,0.037501566390729144,0.037501566390729144,toward_class_1,14
QQQ_Log_Return_5D,-0.0123980706789723,-0.03607553499963737,0.03607553499963737,toward_class_0,15
Price_to_SMA20,0.0323141244760263,0.03488132956512135,0.03488132956512135,toward_class_1,16
Has_Item_1_01,0,-0.01542241779998678,0.01542241779998678,toward_class_0,17
Has_Item_5_02,1,0.015406339080604577,0.015406339080604577,toward_class_1,18
Stock_vs_QQQ_5D,0.0180924279122263,0.0119003050396354,0.0119003050396354,toward_class_1,19
Has_Item_5_03,0,-0.008563641380889019,0.008563641380889019,toward_class_0,20
Has_Item_7_01,0,-0.007832102561957033,0.007832102561957033,toward_class_0,21
Has_Event_Buyback,0,0.006756857694063974,0.006756857694063974,toward_class_1,22
Has_Item_8_01,0,0.006564069467349351,0.006564069467349351,toward_class_1,23
Has_Item_2_02,0,0.004902675023387388,0.004902675023387388,toward_class_1,24
Has_Event_Guidance,0,-0.0018946995822149385,0.0018946995822149385,toward_class_0,25
Has_Sentiment_History,1,-0.0010854452009822079,0.0010854452009822079,toward_class_0,26
Has_Event_Earnings,0,0.0,0.0,neutral,27
Has_Item_2_03,0,0.0,0.0,neutral,28
Has_Item_2_01,0,0.0,0.0,neutral,29
Has_Item_1_02,0,0.0,0.0,neutral,30
Has_Item_5_07,0,0.0,0.0,neutral,31
