Variant,Test_Year,Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Positive_Share,Negative_Share,Rank
A,2023,QQQ_Log_Return_1D,0.16571955590207774,-0.03183787549396152,0.1855769527576665,0.3050847457627119,0.6949152542372882,1
A,2023,Relative_Volume_20D,0.16455588861734283,-0.04261086827169887,0.20403301171396246,0.6694915254237288,0.3305084745762712,2
A,2023,Ticker,0.13840122345732653,0.013893629879268031,0.18617396911510595,0.5932203389830508,0.4067796610169492,3
A,2023,RSI_14,0.11724759388781103,-0.0055447771104885305,0.17598307339369978,0.19491525423728814,0.8050847457627118,4
A,2023,Daily_Range,0.11427702185885197,0.005355625344492549,0.15231786922845342,0.7033898305084746,0.2966101694915254,5
A,2023,QQQ_Volatility_14D,0.0895773680917131,-0.08862235738224883,0.05930307074881167,0.0423728813559322,0.9576271186440678,6
A,2023,Stock_vs_QQQ_1D,0.08569265440430923,0.0012710323106274318,0.10368990730620986,0.6864406779661016,0.3135593220338983,7
A,2023,Volatility_14D,0.08163007715237522,-0.021548476977709105,0.1002352304770351,0.3813559322033898,0.6186440677966102,8
A,2023,Stock_vs_QQQ_5D,0.07638021422358263,-0.0010386448858936213,0.09608534152293294,0.4915254237288136,0.5084745762711864,9
A,2023,Price_to_SMA20,0.07256596535483044,-0.006053083027615279,0.09472325001744293,0.4067796610169492,0.5932203389830508,10
A,2023,QQQ_Log_Return_5D,0.060021597972440964,0.0078253770958897,0.08545410613916075,0.4830508474576271,0.5169491525423728,11
A,2023,Intraday_Return,0.05027932865052322,0.0009866091247157766,0.07364928823201145,0.5169491525423728,0.4830508474576271,12
A,2023,Stock_vs_QQQ_3D,0.041372796765315224,0.004035051031973141,0.06320731970588232,0.5169491525423728,0.4830508474576271,13
A,2023,QQQ_Log_Return_3D,0.031368748495287126,0.005929416236431575,0.04112839130358598,0.4661016949152542,0.5338983050847458,14
B,2023,QQQ_Log_Return_1D,0.2287373531918077,-0.043283004041197885,0.26467852358574634,0.2457627118644068,0.7542372881355932,1
B,2023,Relative_Volume_20D,0.20440735785316588,-0.060044644940195284,0.28230622476288136,0.5932203389830508,0.4067796610169492,2
B,2023,RSI_14,0.1981641546016345,0.02207404251575786,0.2763192223723446,0.3644067796610169,0.635593220338983,3
B,2023,Ticker,0.16360365506468041,0.02363292012921422,0.2101643101004552,0.576271186440678,0.423728813559322,4
B,2023,Stock_vs_QQQ_1D,0.156584721114768,0.02711071985459909,0.19143365964312853,0.6864406779661016,0.3135593220338983,5
B,2023,Stock_vs_QQQ_5D,0.14985516390852205,-0.022272299232703154,0.18497852130438655,0.423728813559322,0.576271186440678,6
B,2023,Daily_Range,0.13758903950732346,-0.015484408011064784,0.1956003178806291,0.5932203389830508,0.4067796610169492,7
B,2023,QQQ_Volatility_14D,0.12973647939830585,-0.11918278965151513,0.11662085411361993,0.07627118644067797,0.923728813559322,8
B,2023,Price_to_SMA20,0.12190697930651752,0.010120960388943187,0.15255054523284756,0.5084745762711864,0.4915254237288136,9
B,2023,Intraday_Return,0.08464602036253652,0.003693643329752222,0.1089547289516385,0.5,0.5,10
B,2023,Stock_vs_QQQ_3D,0.07546498171528433,-0.0008893276158937094,0.10290641330493136,0.423728813559322,0.576271186440678,11
B,2023,Volatility_14D,0.07227398483174549,-0.014140254377484104,0.10174291337368414,0.423728813559322,0.576271186440678,12
B,2023,QQQ_Log_Return_5D,0.07028908637046881,0.029685448222404008,0.08976080463404564,0.6101694915254238,0.3898305084745763,13
B,2023,QQQ_Log_Return_3D,0.036591632524200175,-0.006026929783677767,0.04979138390756671,0.4576271186440678,0.5423728813559322,14
B,2023,Has_Event_Earnings,0.03530946662047777,0.0014160665725434245,0.04055591707828806,0.5169491525423728,0.4830508474576271,15
B,2023,Has_Item_5_03,0.03525252575084123,0.006754722319586384,0.09080287473747828,0.059322033898305086,0.940677966101695,16
B,2023,Has_Item_5_07,0.028404573284970328,-0.004087030921509404,0.06344424111673974,0.8389830508474576,0.16101694915254236,17
B,2023,Has_Item_1_01,0.023877907047395255,-0.00861848808421208,0.03719240771475297,0.059322033898305086,0.940677966101695,18
B,2023,Has_Item_8_01,0.022907131425812677,0.005481658380510739,0.0322665070769804,0.7966101694915254,0.2033898305084746,19
B,2023,Has_EX99,0.022151608893363716,0.000729076547806289,0.024140736768682412,0.4576271186440678,0.5423728813559322,20
B,2023,Has_Event_Guidance,0.01712192942785256,0.007733386468976815,0.024118546578911857,0.6779661016949152,0.3220338983050847,21
B,2023,Has_Item_5_02,0.014354910687277398,2.860965635622357e-06,0.02052719606398122,0.4491525423728814,0.5508474576271186,22
B,2023,Has_Item_2_02,0.014132673578893525,-0.0002807969240748379,0.01730978782177043,0.6016949152542372,0.3983050847457627,23
B,2023,Has_Item_7_01,0.009491768971081614,-0.00653624973105674,0.013658751968776866,0.3898305084745763,0.6101694915254238,24
B,2023,Has_Event_Buyback,0.009467253936448919,0.00031098363437933755,0.0263656678043143,0.6101694915254238,0.3898305084745763,25
B,2023,Has_Item_2_03,0.004433747290087378,-0.00033739453666016317,0.010902195744662566,0.6101694915254238,0.3898305084745763,26
B,2023,Has_Item_1_02,0.003654147554247593,-0.0007701459555390111,0.015223025034068461,0.9745762711864406,0.025423728813559324,27
C,2023,QQQ_Log_Return_1D,0.23342976159111978,-0.040311278932941765,0.27675097336036003,0.2457627118644068,0.7542372881355932,1
C,2023,RSI_14,0.16313033454437612,0.03328779424657269,0.24017116535410213,0.3305084745762712,0.6694915254237288,2
C,2023,Stock_vs_QQQ_1D,0.15584273177426372,-0.0024732693393827152,0.18894520855819347,0.635593220338983,0.3644067796610169,3
C,2023,Relative_Volume_20D,0.14949755790186042,-0.03532377793305864,0.20733497509783602,0.5254237288135594,0.4745762711864407,4
C,2023,QQQ_Volatility_14D,0.1242944791269769,-0.11830645961644387,0.11463393355031729,0.11864406779661017,0.8813559322033898,5
C,2023,Price_to_SMA20,0.12071431642778901,-0.037333148472002385,0.14407857592259868,0.3983050847457627,0.6016949152542372,6
C,2023,Stock_vs_QQQ_5D,0.12038030827471612,0.012154278394802822,0.14677377147783496,0.423728813559322,0.576271186440678,7
C,2023,Daily_Range,0.10257206393296675,-0.019503938473407294,0.13792145267143371,0.5847457627118644,0.4152542372881356,8
C,2023,Sentiment_Momentum_3,0.1017564367370226,-0.006753809705203197,0.12832309710411882,0.4830508474576271,0.5169491525423728,9
C,2023,QQQ_Log_Return_5D,0.09955621056074267,0.013384161803085942,0.14052331433604223,0.635593220338983,0.3644067796610169,10
C,2023,Intraday_Return,0.08666670100801034,0.014400410673100255,0.12060633720361734,0.5254237288135594,0.4745762711864407,11
C,2023,Ticker,0.08069694817009287,0.015541532927081622,0.1223377712756654,0.3898305084745763,0.6101694915254238,12
C,2023,Volatility_14D,0.07990770940567832,-0.006955939413731473,0.11112698249139562,0.5169491525423728,0.4830508474576271,13
C,2023,Stock_vs_QQQ_3D,0.06751841511828817,0.013471724094272728,0.10505553359867949,0.576271186440678,0.423728813559322,14
