Variant,Feature,Mean_Abs_SHAP,Std_Abs_SHAP_Across_Folds,Mean_SHAP,Mean_Positive_Share,Mean_Negative_Share,N_Folds,Presence_Rate
A,Relative_Volume_20D,0.17300184121003603,0.010180544222241262,-0.013563969067732193,0.6024033563454236,0.3975966436545764,4,1.0
A,QQQ_Log_Return_1D,0.13657188617549293,0.029758730974393802,-0.021350426760425062,0.3423646080463947,0.6576353919536053,4,1.0
A,Daily_Range,0.11888269200924918,0.01463054316326298,0.008889191802753235,0.6812220898255213,0.31877791017447865,4,1.0
A,Stock_vs_QQQ_5D,0.11098486744140838,0.027754027891137782,0.004411725096608719,0.4238423689628885,0.5761576310371115,4,1.0
A,Ticker,0.10815547417815984,0.02773645514318383,0.001853559268009656,0.4642035715049052,0.5357964284950948,4,1.0
A,RSI_14,0.1076544458779391,0.028901958723642793,-0.003039726485316502,0.3369313146101838,0.6630686853898162,4,1.0
A,Stock_vs_QQQ_1D,0.09852945122091417,0.011663351548257709,0.0070619712294296205,0.6310873657924922,0.36891263420750775,4,1.0
A,Volatility_14D,0.08999602156761194,0.01670204839643021,0.002165631674294486,0.43689636010002775,0.5631036398999723,4,1.0
A,Price_to_SMA20,0.08598278239312618,0.012143686898409396,0.002601673073352876,0.4400624015930351,0.5599375984069649,4,1.0
A,QQQ_Log_Return_3D,0.07177163335954045,0.03134607522980974,-0.00858808836810541,0.36262725222818304,0.637372747771817,4,1.0
A,QQQ_Volatility_14D,0.06812040676239661,0.025782299382475754,-0.04245974125966851,0.2510640063835396,0.7489359936164605,4,1.0
A,QQQ_Log_Return_5D,0.050217332645287015,0.011343777241210969,-0.004441223140714257,0.42702059332720627,0.5729794066727937,4,1.0
A,Intraday_Return,0.04829656021622866,0.007385594717651896,-0.0054624235901938375,0.5251110796446306,0.4748889203553694,4,1.0
A,Stock_vs_QQQ_3D,0.03512358704965466,0.009069401166828056,0.0039459577500787,0.49754750251138136,0.5024524974886186,4,1.0
B,QQQ_Log_Return_1D,0.17426569352047602,0.04227712772398052,-0.016557707247444698,0.31278420465798906,0.6872157953420109,4,1.0
B,Stock_vs_QQQ_5D,0.16885271621285622,0.03297105269051721,-0.006730059577347099,0.3953910096109318,0.6046089903890682,4,1.0
B,RSI_14,0.1650225183429376,0.03502267540396352,-5.4413158912472274e-05,0.38889593619310203,0.6111040638068979,4,1.0
B,Relative_Volume_20D,0.16468994039026383,0.04706178279336572,-0.014632238105980947,0.6098566820555567,0.39014331794444324,4,1.0
B,Stock_vs_QQQ_1D,0.14631802506715277,0.007624500452531818,0.007599624365193397,0.6404846966037574,0.35951530339624255,4,1.0
B,Daily_Range,0.1382234352176454,0.03298878913805758,0.0036606327303929575,0.6559191032409287,0.3440808967590713,4,1.0
B,Ticker,0.13595476472195336,0.04344032054786458,0.0004897271578995195,0.4422907894643099,0.5577092105356901,4,1.0
B,Price_to_SMA20,0.126071861861066,0.026771648944481575,0.010322586992259224,0.5247941379727987,0.4752058620272013,4,1.0
B,Volatility_14D,0.10809974192555322,0.031040687707805378,0.007298148584485274,0.46404958464245766,0.5359504153575424,4,1.0
