Variant,Test_Year,Feature,Impurity_Importance,Rank
A,2023,numeric__Relative_Volume_20D,0.28505908662007556,1
A,2023,numeric__Stock_vs_QQQ_1D,0.1630965023388435,2
A,2023,numeric__QQQ_Log_Return_1D,0.14327769821162664,3
A,2023,numeric__RSI_14,0.11074397351663838,4
A,2023,numeric__Volatility_14D,0.09723822720505454,5
A,2023,categorical__Ticker_MSFT,0.08517357568979106,6
A,2023,numeric__Intraday_Return,0.06406827564862907,7
A,2023,numeric__QQQ_Volatility_14D,0.051342660769341256,8
A,2023,numeric__Stock_vs_QQQ_3D,0.0,9
A,2023,numeric__Stock_vs_QQQ_5D,0.0,10
A,2023,numeric__Daily_Range,0.0,11
A,2023,numeric__Price_to_SMA20,0.0,12
A,2023,numeric__QQQ_Log_Return_5D,0.0,13
A,2023,numeric__QQQ_Log_Return_3D,0.0,14
A,2023,categorical__Ticker_ADBE,0.0,15
A,2023,categorical__Ticker_AMD,0.0,16
A,2023,categorical__Ticker_AMZN,0.0,17
A,2023,categorical__Ticker_AAPL,0.0,18
A,2023,categorical__Ticker_AVGO,0.0,19
A,2023,categorical__Ticker_GOOGL,0.0,20
A,2023,categorical__Ticker_INTC,0.0,21
A,2023,categorical__Ticker_META,0.0,22
A,2023,categorical__Ticker_NFLX,0.0,23
A,2023,categorical__Ticker_NVDA,0.0,24
A,2023,categorical__Ticker_QCOM,0.0,25
A,2023,categorical__Ticker_TSLA,0.0,26
B,2023,numeric__Relative_Volume_20D,0.28505908662007556,1
B,2023,numeric__Stock_vs_QQQ_1D,0.1630965023388435,2
B,2023,numeric__QQQ_Log_Return_1D,0.14327769821162664,3
B,2023,numeric__RSI_14,0.11074397351663838,4
B,2023,numeric__Volatility_14D,0.09723822720505454,5
B,2023,categorical__Ticker_MSFT,0.08517357568979106,6
B,2023,numeric__Intraday_Return,0.06406827564862907,7
B,2023,numeric__QQQ_Volatility_14D,0.051342660769341256,8
B,2023,numeric__Price_to_SMA20,0.0,9
B,2023,numeric__Stock_vs_QQQ_3D,0.0,10
B,2023,numeric__Stock_vs_QQQ_5D,0.0,11
B,2023,numeric__QQQ_Log_Return_3D,0.0,12
B,2023,numeric__QQQ_Log_Return_5D,0.0,13
B,2023,categorical__Ticker_AAPL,0.0,14
B,2023,numeric__Daily_Range,0.0,15
B,2023,categorical__Ticker_ADBE,0.0,16
B,2023,categorical__Ticker_AMD,0.0,17
B,2023,categorical__Ticker_AVGO,0.0,18
B,2023,categorical__Ticker_AMZN,0.0,19
B,2023,categorical__Ticker_GOOGL,0.0,20
B,2023,categorical__Ticker_INTC,0.0,21
B,2023,categorical__Ticker_META,0.0,22
B,2023,categorical__Ticker_NFLX,0.0,23
B,2023,categorical__Ticker_NVDA,0.0,24
B,2023,categorical__Ticker_QCOM,0.0,25
B,2023,categorical__Ticker_TSLA,0.0,26
B,2023,binary__Has_EX99,0.0,27
B,2023,binary__Has_Event_Earnings,0.0,28
B,2023,binary__Has_Event_Guidance,0.0,29
B,2023,binary__Has_Event_Buyback,0.0,30
B,2023,binary__Has_Item_1_01,0.0,31
B,2023,binary__Has_Item_1_02,0.0,32
B,2023,binary__Has_Item_2_02,0.0,33
B,2023,binary__Has_Item_2_03,0.0,34
B,2023,binary__Has_Item_5_02,0.0,35
B,2023,binary__Has_Item_5_03,0.0,36
B,2023,binary__Has_Item_5_07,0.0,37
B,2023,binary__Has_Item_7_01,0.0,38
B,2023,binary__Has_Item_8_01,0.0,39
C,2023,numeric__Relative_Volume_20D,0.2825332406251675,1
C,2023,numeric__Stock_vs_QQQ_1D,0.16165134003196663,2
C,2023,numeric__QQQ_Log_Return_1D,0.14200814597781267,3
C,2023,numeric__RSI_14,0.10976269547606142,4
C,2023,numeric__Volatility_14D,0.09637662061797811,5
C,2023,categorical__Ticker_MSFT,0.08441887133155114,6
C,2023,sentiment__Mean_Net_Sentiment,0.07236136121727493,7
C,2023,numeric__QQQ_Volatility_14D,0.05088772472218762,8
C,2023,numeric__Stock_vs_QQQ_5D,0.0,9
C,2023,numeric__Stock_vs_QQQ_3D,0.0,10
C,2023,numeric__Daily_Range,0.0,11
C,2023,numeric__Intraday_Return,0.0,12
C,2023,numeric__Price_to_SMA20,0.0,13
C,2023,numeric__QQQ_Log_Return_5D,0.0,14
C,2023,categorical__Ticker_ADBE,0.0,15
C,2023,categorical__Ticker_AMD,0.0,16
C,2023,categorical__Ticker_AMZN,0.0,17
C,2023,numeric__QQQ_Log_Return_3D,0.0,18
C,2023,categorical__Ticker_AVGO,0.0,19
C,2023,categorical__Ticker_GOOGL,0.0,20
C,2023,categorical__Ticker_INTC,0.0,21
C,2023,categorical__Ticker_META,0.0,22
C,2023,categorical__Ticker_NFLX,0.0,23
C,2023,categorical__Ticker_NVDA,0.0,24
C,2023,categorical__Ticker_QCOM,0.0,25
C,2023,categorical__Ticker_AAPL,0.0,26
C,2023,categorical__Ticker_TSLA,0.0,27
