Variant,Feature,Mean_Importance,Std_Importance,Max_Importance,Active_Folds,N_Folds,Presence_Rate,Usage_Rate
A,numeric__QQQ_Log_Return_1D,0.2467924083167551,0.16096081565051487,0.48316453931461956,4,4,1.0,1.0
A,numeric__Relative_Volume_20D,0.21714933724894947,0.06449746369092525,0.28505908662007556,4,4,1.0,1.0
A,numeric__QQQ_Volatility_14D,0.13561689090063406,0.1302772594722235,0.3288822915664527,4,4,1.0,1.0
A,numeric__RSI_14,0.1011603349266951,0.08822082057295566,0.213395407621628,3,4,1.0,0.75
A,numeric__Volatility_14D,0.0719997107504455,0.02991005818335519,0.09723822720505454,4,4,1.0,1.0
A,numeric__Intraday_Return,0.060583564200489645,0.08406749466194517,0.1782659811533295,2,4,1.0,0.5
A,numeric__Stock_vs_QQQ_3D,0.04770542781656953,0.055544413329254284,0.10413765870257462,2,4,1.0,0.5
A,numeric__Stock_vs_QQQ_1D,0.04077412558471088,0.08154825116942176,0.1630965023388435,1,4,1.0,0.25
A,numeric__Daily_Range,0.028126725338009573,0.05625345067601914,0.1125069013520383,1,4,1.0,0.25
A,categorical__Ticker_NFLX,0.021880736571727018,0.043761473143454035,0.08752294628690807,1,4,1.0,0.25
A,categorical__Ticker_MSFT,0.021293393922447765,0.04258678784489553,0.08517357568979106,1,4,1.0,0.25
A,numeric__QQQ_Log_Return_3D,0.005877896310701697,0.011755792621403393,0.023511585242806787,1,4,1.0,0.25
A,numeric__Stock_vs_QQQ_5D,0.0010394481118645963,0.0020788962237291925,0.004157792447458385,1,4,1.0,0.25
A,categorical__Ticker_AAPL,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_ADBE,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_AMD,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_AMZN,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_AVGO,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_GOOGL,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_INTC,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_META,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_NVDA,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_QCOM,0.0,0.0,0.0,0,4,1.0,0.0
A,categorical__Ticker_TSLA,0.0,0.0,0.0,0,4,1.0,0.0
A,numeric__Price_to_SMA20,0.0,0.0,0.0,0,4,1.0,0.0
A,numeric__QQQ_Log_Return_5D,0.0,0.0,0.0,0,4,1.0,0.0
B,numeric__QQQ_Log_Return_1D,0.24545830428614093,0.16208887538637826,0.48316453931461956,4,4,1.0,1.0
B,numeric__Relative_Volume_20D,0.21478653433871053,0.06258760362134898,0.28505908662007556,4,4,1.0,1.0
B,numeric__QQQ_Volatility_14D,0.13365850014932623,0.12397385426518102,0.3168909361137629,4,4,1.0,1.0
B,numeric__RSI_14,0.1011603349266951,0.08822082057295567,0.21339540762162804,3,4,1.0,0.75
B,numeric__Intraday_Return,0.06058356420048965,0.0840674946619452,0.17826598115332953,2,4,1.0,0.5
B,numeric__Volatility_14D,0.049165677402096215,0.042459092207684374,0.09723822720505454,3,4,1.0,0.75
B,numeric__Stock_vs_QQQ_3D,0.04691528244159349,0.05482288838402345,0.10413765870257463,2,4,1.0,0.5
B,numeric__Stock_vs_QQQ_1D,0.04077412558471088,0.08154825116942176,0.1630965023388435,1,4,1.0,0.25
B,binary__Has_Item_5_03,0.03111671661444851,0.06223343322889702,0.12446686645779403,1,4,1.0,0.25
B,numeric__Daily_Range,0.028126725338009573,0.05625345067601914,0.1125069013520383,1,4,1.0,0.25
B,categorical__Ticker_MSFT,0.021293393922447765,0.04258678784489553,0.08517357568979106,1,4,1.0,0.25
B,categorical__Ticker_NFLX,0.021082944484629395,0.04216588896925879,0.08433177793851758,1,4,1.0,0.25
B,numeric__QQQ_Log_Return_3D,0.005877896310701697,0.011755792621403393,0.023511585242806787,1,4,1.0,0.25
B,binary__Has_EX99,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Event_Buyback,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Event_Earnings,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Event_Guidance,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_1_01,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_1_02,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_2_01,0.0,0.0,0.0,0,3,0.75,0.0
B,binary__Has_Item_2_02,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_2_03,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_5_02,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_5_07,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_7_01,0.0,0.0,0.0,0,4,1.0,0.0
B,binary__Has_Item_8_01,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_AAPL,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_ADBE,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_AMD,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_AMZN,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_AVGO,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_GOOGL,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_INTC,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_META,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_NVDA,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_QCOM,0.0,0.0,0.0,0,4,1.0,0.0
B,categorical__Ticker_TSLA,0.0,0.0,0.0,0,4,1.0,0.0
B,numeric__Price_to_SMA20,0.0,0.0,0.0,0,4,1.0,0.0
B,numeric__QQQ_Log_Return_5D,0.0,0.0,0.0,0,4,1.0,0.0
B,numeric__Stock_vs_QQQ_5D,0.0,0.0,0.0,0,4,1.0,0.0
C,numeric__QQQ_Log_Return_1D,0.2667197591762077,0.14901851297467683,0.48316453931461956,4,4,1.0,1.0
C,numeric__Relative_Volume_20D,0.15247796082842296,0.1161038211457837,0.2825332406251675,3,4,1.0,0.75
C,numeric__RSI_14,0.12643817792849973,0.061915808369980244,0.2175452889062608,4,4,1.0,1.0
C,sentiment__Mean_Net_Sentiment,0.11447581772769325,0.1282140961029972,0.2980751951078856,3,4,1.0,0.75
C,numeric__Volatility_14D,0.06804136935993303,0.02472183810907452,0.09637662061797811,4,4,1.0,1.0
C,numeric__Stock_vs_QQQ_5D,0.0552242650854383,0.11044853017087661,0.2208970603417532,1,4,1.0,0.25
C,numeric__QQQ_Volatility_14D,0.05375561461427457,0.04117967991108758,0.0991889407795753,3,4,1.0,0.75
C,categorical__Ticker_MSFT,0.04320410526175517,0.049914239073022754,0.08839754971546955,2,4,1.0,0.5
C,numeric__Stock_vs_QQQ_1D,0.04041283500799166,0.08082567001598331,0.16165134003196663,1,4,1.0,0.25
C,sentiment__Sentiment_Momentum_3,0.028667647479321278,0.05733529495864255,0.11467058991728511,1,4,1.0,0.25
C,numeric__Daily_Range,0.028126725338009573,0.05625345067601914,0.1125069013520383,1,4,1.0,0.25
C,numeric__Intraday_Return,0.01657782588175108,0.03315565176350216,0.06631130352700432,1,4,1.0,0.25
C,numeric__QQQ_Log_Return_3D,0.005877896310701697,0.011755792621403393,0.023511585242806787,1,4,1.0,0.25
C,binary__Has_EX99,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Event_Buyback,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Event_Earnings,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Event_Guidance,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_1_01,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_1_02,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_2_01,0.0,0.0,0.0,0,3,0.75,0.0
C,binary__Has_Item_2_02,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_2_03,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_5_02,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_5_03,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_5_07,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_7_01,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Item_8_01,0.0,0.0,0.0,0,4,1.0,0.0
C,binary__Has_Sentiment_History,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_AAPL,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_ADBE,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_AMD,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_AMZN,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_AVGO,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_GOOGL,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_INTC,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_META,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_NFLX,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_NVDA,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_QCOM,0.0,0.0,0.0,0,4,1.0,0.0
C,categorical__Ticker_TSLA,0.0,0.0,0.0,0,4,1.0,0.0
C,numeric__Price_to_SMA20,0.0,0.0,0.0,0,4,1.0,0.0
C,numeric__QQQ_Log_Return_5D,0.0,0.0,0.0,0,4,1.0,0.0
C,numeric__Stock_vs_QQQ_3D,0.0,0.0,0.0,0,4,1.0,0.0
