Variant,Test_Year,Feature,Baseline_BA,Mean_BA_Drop,Std_BA_Drop,Baseline_AUC,Mean_AUC_Drop,Std_AUC_Drop,N_Repeats,Rank_AUC
A,2023,Ticker,0.5343434343434343,0.038832611832611844,0.01840405801289958,0.5181818181818182,0.04481385281385286,0.02110853717969669,100,1
A,2023,Stock_vs_QQQ_1D,0.5343434343434343,0.012567099567099576,0.01919912457233,0.5181818181818182,0.011968253968253986,0.02336218548461291,100,2
A,2023,Intraday_Return,0.5343434343434343,0.015455988455988412,0.004360658680012606,0.5181818181818182,0.004194805194805268,0.0011511635258210874,100,3
A,2023,QQQ_Volatility_14D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0003333333333333621,0.0020921832076244724,100,4
A,2023,Stock_vs_QQQ_5D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,5
A,2023,Stock_vs_QQQ_3D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,6
A,2023,QQQ_Log_Return_5D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,7
A,2023,Daily_Range,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,8
A,2023,QQQ_Log_Return_3D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,9
A,2023,Price_to_SMA20,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,10
A,2023,Volatility_14D,0.5343434343434343,0.0,0.0,0.5181818181818182,-0.0010144300144299995,0.021185014323908874,100,11
A,2023,QQQ_Log_Return_1D,0.5343434343434343,-0.008913419913419898,0.028140982404658,0.5181818181818182,-0.01033333333333332,0.030034527305138548,100,12
A,2023,RSI_14,0.5343434343434343,-0.020753246753246735,0.024024284446357812,0.5181818181818182,-0.02435786435786432,0.022697505933839332,100,13
A,2023,Relative_Volume_20D,0.5343434343434343,-0.01698556998556999,0.016336107864850166,0.5181818181818182,-0.03209812409812406,0.02684744528265968,100,14
B,2023,Ticker,0.5343434343434343,0.038832611832611844,0.01840405801289958,0.5181818181818182,0.04481385281385286,0.02110853717969669,100,1
B,2023,Stock_vs_QQQ_1D,0.5343434343434343,0.012567099567099576,0.01919912457233,0.5181818181818182,0.011968253968253986,0.02336218548461291,100,2
B,2023,Intraday_Return,0.5343434343434343,0.015455988455988412,0.004360658680012606,0.5181818181818182,0.004194805194805268,0.0011511635258210874,100,3
B,2023,QQQ_Volatility_14D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0003333333333333621,0.0020921832076244724,100,4
B,2023,Price_to_SMA20,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,5
B,2023,Stock_vs_QQQ_5D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,6
B,2023,QQQ_Log_Return_3D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,7
B,2023,Has_EX99,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,8
B,2023,QQQ_Log_Return_5D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,9
B,2023,Daily_Range,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,10
B,2023,Stock_vs_QQQ_3D,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,11
B,2023,Has_Item_1_02,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,12
B,2023,Has_Item_2_02,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,13
B,2023,Has_Item_2_03,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,14
B,2023,Has_Item_5_02,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,15
B,2023,Has_Event_Earnings,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,16
B,2023,Has_Event_Guidance,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,17
B,2023,Has_Event_Buyback,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,18
B,2023,Has_Item_1_01,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,19
B,2023,Has_Item_5_03,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,20
B,2023,Has_Item_5_07,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,21
B,2023,Has_Item_7_01,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,22
B,2023,Has_Item_8_01,0.5343434343434343,0.0,0.0,0.5181818181818182,0.0,0.0,100,23
B,2023,Volatility_14D,0.5343434343434343,0.0,0.0,0.5181818181818182,-0.0010144300144299995,0.021185014323908874,100,24
B,2023,QQQ_Log_Return_1D,0.5343434343434343,-0.008913419913419898,0.028140982404658,0.5181818181818182,-0.01033333333333332,0.030034527305138548,100,25
B,2023,RSI_14,0.5343434343434343,-0.020753246753246735,0.024024284446357812,0.5181818181818182,-0.02435786435786432,0.022697505933839332,100,26
B,2023,Relative_Volume_20D,0.5343434343434343,-0.01698556998556999,0.016336107864850166,0.5181818181818182,-0.03209812409812406,0.02684744528265968,100,27
C,2023,Ticker,0.5184704184704185,0.03883261183261191,0.018404058012899568,0.5138528138528138,0.0448196248196248,0.02102224744624493,100,1
C,2023,Stock_vs_QQQ_1D,0.5184704184704185,0.015213564213564288,0.020188056523563168,0.5138528138528138,0.021913419913419843,0.02276846073265782,100,2
C,2023,QQQ_Volatility_14D,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0003333333333332922,0.0020921832076244975,100,3
C,2023,Price_to_SMA20,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,4
C,2023,Stock_vs_QQQ_5D,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,5
C,2023,Stock_vs_QQQ_3D,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,6
C,2023,QQQ_Log_Return_5D,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,7
C,2023,Daily_Range,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,8
C,2023,QQQ_Log_Return_3D,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,9
C,2023,Intraday_Return,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,10
C,2023,Has_Event_Buyback,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,11
C,2023,Has_Event_Guidance,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,12
C,2023,Has_Event_Earnings,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,13
C,2023,Has_EX99,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,14
C,2023,Has_Item_5_02,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,15
C,2023,Has_Item_5_03,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,16
C,2023,Has_Item_5_07,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,17
C,2023,Has_Item_7_01,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,18
C,2023,Has_Item_1_01,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,19
C,2023,Has_Item_1_02,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,20
C,2023,Has_Item_2_02,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,21
C,2023,Has_Item_2_03,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,22
C,2023,Has_Item_8_01,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,23
C,2023,Has_Sentiment_History,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,24
C,2023,Sentiment_Momentum_3,0.5184704184704185,0.0,0.0,0.5138528138528138,0.0,0.0,100,25
C,2023,Volatility_14D,0.5184704184704185,0.0,0.0,0.5138528138528138,-0.00025829725829732363,0.020430898996954352,100,26
C,2023,Mean_Net_Sentiment,0.5184704184704185,-0.0015685425685425098,0.010858020463707473,0.5138528138528138,-0.0008860028860028668,0.014752315049139013,100,27
C,2023,QQQ_Log_Return_1D,0.5184704184704185,-0.02099422799422792,0.02675562936136055,0.5138528138528138,-0.011682539682539747,0.029754089894120903,100,28
C,2023,Relative_Volume_20D,0.5184704184704185,-0.011538239538239474,0.016479736842772565,0.5138528138528138,-0.02224386724386729,0.027283713765311805,100,29
C,2023,RSI_14,0.5184704184704185,-0.020753246753246694,0.0240242844463578,0.5138528138528138,-0.024600288600288643,0.022703736678658354,100,30
A,2024,RSI_14,0.5354437229437229,0.01710497835497829,0.015990837072842812,0.5488365800865801,0.025001352813852833,0.02525919104381525,100,1
