Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
A,Ticker,0.01342475778190064,0.018331081786462852,0.017030921459492893,0.021536175585870246,2,2,4,1.0,0.5,0.5
A,Stock_vs_QQQ_3D,0.0020168140492190572,0.017542740719752193,0.007041970066633959,0.020284030162772207,1,1,4,1.0,0.25,0.25
A,QQQ_Log_Return_1D,-0.0001758133287670266,0.007005003816287382,0.005506024684583145,0.014427752918241958,2,2,4,1.0,0.5,0.5
A,Daily_Range,0.00016030844155842856,0.0003206168831168571,0.00471929112554113,0.00943858225108226,1,1,4,1.0,0.25,0.25
A,Stock_vs_QQQ_1D,0.003141774891774894,0.006283549783549788,0.0029920634920634964,0.005984126984126994,1,1,4,1.0,0.25,0.25
A,Intraday_Return,0.004299135195392458,0.007483021845856244,0.001824500717305983,0.0021533706105454366,2,2,4,1.0,0.5,0.5
A,Stock_vs_QQQ_5D,0.0,0.0,0.00031954033430232524,0.0006390806686046505,0,1,4,1.0,0.25,0.0
A,Price_to_SMA20,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
A,QQQ_Log_Return_5D,0.0,0.0,0.0,0.0,0,0,4,1.0,0.0,0.0
A,QQQ_Log_Return_3D,0.0,0.0,-0.0003804788961038924,0.0007609577922077847,0,0,4,1.0,0.0,0.0
A,QQQ_Volatility_14D,-0.0030612691528778607,0.004768366692868321,-0.006402690099559891,0.03127734954828818,1,3,4,1.0,0.75,0.25
A,RSI_14,-0.008269443553055485,0.020943086059367823,-0.007866925851119142,0.025832458599666402,1,1,4,1.0,0.25,0.25
A,Relative_Volume_20D,-0.009643147125173196,0.017932208622699924,-0.008028759663330609,0.031321855535819725,1,2,4,1.0,0.5,0.25
A,Volatility_14D,-0.013812734551405142,0.04728388198060978,-0.009487654805800041,0.030982587912242315,1,1,4,1.0,0.25,0.25
B,Ticker,0.013424757781900644,0.018331081786462852,0.016968769325912198,0.021512360394637907,2,2,4,1.0,0.5,0.5
B,QQQ_Log_Return_1D,-0.00017581332876702882,0.007005003816287383,0.005299553914126447,0.014084848728406627,2,2,4,1.0,0.5,0.5
B,Daily_Range,0.00016030844155842856,0.0003206168831168571,0.00471929112554113,0.00943858225108226,1,1,4,1.0,0.25,0.25
B,Stock_vs_QQQ_3D,0.002016814049219058,0.017542740719752193,0.0044890943709011265,0.023334710402762977,1,1,4,1.0,0.25,0.25
