Feature,Model_Input_Value,Coefficient_Log_Odds,Log_Odds_Contribution,Abs_Log_Odds_Contribution,Direction,Rank
numeric__QQQ_Log_Return_1D,-2.0281149003309746,-0.3542311734379817,0.7184215210112965,0.7184215210112965,toward_class_1,1
binary__Has_Sentiment_History,1.0,-0.47770502940911796,-0.47770502940911796,0.47770502940911796,toward_class_0,2
binary__Has_Event_Guidance,1.0,0.46198162590567116,0.46198162590567116,0.46198162590567116,toward_class_1,3
numeric__Stock_vs_QQQ_1D,-2.3955328301756516,-0.17674419901411534,0.4233965312814123,0.4233965312814123,toward_class_1,4
numeric__Volatility_14D,2.0937330865035424,0.13342678960512924,0.279360084022206,0.279360084022206,toward_class_1,5
numeric__Daily_Range,0.9981472089291489,-0.2268829047593802,-0.22646253813931325,0.22646253813931325,toward_class_0,6
numeric__Stock_vs_QQQ_5D,-0.9684717964942398,-0.2227863152351108,0.21576226295007978,0.21576226295007978,toward_class_1,7
numeric__Intraday_Return,-0.7289963071763245,0.23920082342393537,-0.17437651694958495,0.17437651694958495,toward_class_0,8
numeric__QQQ_Log_Return_5D,-1.3444193558264228,0.1202965136230714,-0.16172896135329415,0.16172896135329415,toward_class_0,9
numeric__QQQ_Volatility_14D,1.0763431749516794,0.11587189982329099,0.12471792854348397,0.12471792854348397,toward_class_1,10
sentiment__Mean_Net_Sentiment,-0.7617873204913341,0.16010603605900992,-0.12196674820388209,0.12196674820388209,toward_class_0,11
categorical__Ticker_QCOM,1.0,-0.0858950397701145,-0.0858950397701145,0.0858950397701145,toward_class_0,12
numeric__RSI_14,-0.5867780383552154,0.11018728080897007,-0.06465547648478273,0.06465547648478273,toward_class_0,13
sentiment__Sentiment_Momentum_3,-0.5746767950882155,-0.07551960372768014,0.04339936383655527,0.04339936383655527,toward_class_1,14
numeric__QQQ_Log_Return_3D,-0.5034010686222188,-0.06946067513449251,0.03496657808992431,0.03496657808992431,toward_class_1,15
numeric__Relative_Volume_20D,-0.3376965839321058,-0.03194910924224018,0.010789105050778179,0.010789105050778179,toward_class_1,16
numeric__Price_to_SMA20,-1.530984253830785,-0.006935174815506429,0.010617643440104163,0.010617643440104163,toward_class_1,17
numeric__Stock_vs_QQQ_3D,-0.9756606697668226,-0.001719766338322797,0.0016779083774904563,0.0016779083774904563,toward_class_1,18
categorical__Ticker_GOOGL,0.0,-0.5262348574592015,-0.0,0.0,neutral,19
categorical__Ticker_INTC,0.0,-0.9509119267060401,-0.0,0.0,neutral,20
categorical__Ticker_MSFT,0.0,0.04930351115666471,0.0,0.0,neutral,21
categorical__Ticker_META,0.0,-0.37344678333963005,-0.0,0.0,neutral,22
categorical__Ticker_AMD,0.0,-0.6247716919200983,-0.0,0.0,neutral,23
categorical__Ticker_AMZN,0.0,-0.6017097329941622,-0.0,0.0,neutral,24
categorical__Ticker_AVGO,0.0,-0.37572783735106363,-0.0,0.0,neutral,25
categorical__Ticker_ADBE,0.0,-0.14025984761581137,-0.0,0.0,neutral,26
binary__Has_EX99,0.0,-0.48123072183965604,-0.0,0.0,neutral,27
categorical__Ticker_TSLA,0.0,-0.08207077930441002,-0.0,0.0,neutral,28
categorical__Ticker_NVDA,0.0,-0.27988726250092116,-0.0,0.0,neutral,29
categorical__Ticker_NFLX,0.0,-0.447016611520545,-0.0,0.0,neutral,30
binary__Has_Item_1_02,0.0,-0.2916537210780352,-0.0,0.0,neutral,31
binary__Has_Event_Earnings,0.0,-0.38606546900618177,-0.0,0.0,neutral,32
binary__Has_Event_Buyback,0.0,0.14686893064429768,0.0,0.0,neutral,33
binary__Has_Item_1_01,0.0,0.6355484246219781,0.0,0.0,neutral,34
binary__Has_Item_2_03,0.0,-0.22402043589674214,-0.0,0.0,neutral,35
binary__Has_Item_2_02,0.0,-0.13768658347417007,-0.0,0.0,neutral,36
binary__Has_Item_2_01,0.0,0.24218052941137144,0.0,0.0,neutral,37
binary__Has_Item_5_02,0.0,0.09940179045075619,0.0,0.0,neutral,38
binary__Has_Item_7_01,0.0,0.4896314761538546,0.0,0.0,neutral,39
binary__Has_Item_5_07,0.0,-0.17221129906290733,-0.0,0.0,neutral,40
binary__Has_Item_5_03,0.0,0.42016143610495366,0.0,0.0,neutral,41
binary__Has_Item_8_01,0.0,0.0651945005891322,0.0,0.0,neutral,42
