Variant,Feature,Mean_Coefficient,Mean_Abs_Coefficient,Std_Coefficient,Positive_Folds,Negative_Folds,N_Folds,Sign_Consistency,Presence_Rate
A,categorical__Ticker_INTC,-0.8048176573616419,0.8048176573616419,0.06066579754076298,0,4,4,1.0,1.0
A,categorical__Ticker_META,-0.5793940209641211,0.5793940209641211,0.17520173967826672,0,4,4,1.0,1.0
A,categorical__Ticker_GOOGL,-0.5372997727152327,0.5372997727152327,0.09679578991703829,0,4,4,1.0,1.0
A,categorical__Ticker_AMZN,-0.5351217053355691,0.5351217053355691,0.0767261466282728,0,4,4,1.0,1.0
A,categorical__Ticker_AMD,-0.5118722781491927,0.5118722781491927,0.07949875065492555,0,4,4,1.0,1.0
A,numeric__QQQ_Log_Return_1D,-0.43436648013985085,0.43436648013985085,0.11986708414496225,0,4,4,1.0,1.0
A,categorical__Ticker_AVGO,-0.4211647220238287,0.4211647220238287,0.051787590420803026,0,4,4,1.0,1.0
A,categorical__Ticker_TSLA,-0.3737365280679298,0.3737365280679298,0.15607046692418589,0,4,4,1.0,1.0
A,categorical__Ticker_NFLX,-0.3154156931411274,0.3154156931411274,0.04980662372658116,0,4,4,1.0,1.0
A,numeric__Intraday_Return,0.3086515036637409,0.3086515036637409,0.08533170211332507,4,0,4,1.0,1.0
A,categorical__Ticker_MSFT,0.29636815011061113,0.29636815011061113,0.17660085700121317,4,0,4,1.0,1.0
A,numeric__Stock_vs_QQQ_5D,-0.227508940410121,0.227508940410121,0.02914903621137929,0,4,4,1.0,1.0
A,categorical__Ticker_NVDA,-0.1913034662526255,0.1913034662526255,0.08982757020505318,0,4,4,1.0,1.0
A,numeric__RSI_14,0.18532889579878897,0.18532889579878897,0.06806222820841949,4,0,4,1.0,1.0
A,numeric__Stock_vs_QQQ_1D,-0.1673158252247809,0.1673158252247809,0.040059684565084054,0,4,4,1.0,1.0
A,numeric__Daily_Range,-0.15137573919067646,0.15137573919067646,0.018091726657974382,0,4,4,1.0,1.0
A,categorical__Ticker_ADBE,-0.14799156507932146,0.14799156507932146,0.0596489233706656,0,4,4,1.0,1.0
A,numeric__Volatility_14D,0.13378526506297728,0.13378526506297728,0.016075293890099384,4,0,4,1.0,1.0
A,numeric__Relative_Volume_20D,-0.12311473705368209,0.12311473705368209,0.0644295177417344,0,4,4,1.0,1.0
A,numeric__QQQ_Log_Return_5D,0.07920642029559637,0.07920642029559637,0.042300047006854476,4,0,4,1.0,1.0
A,categorical__Ticker_QCOM,0.021710804903619634,0.05753858234367,0.06999494176926044,2,2,4,0.5,1.0
A,numeric__QQQ_Log_Return_3D,-0.03586707389716093,0.04688891927708912,0.04783963898627492,1,3,4,0.75,1.0
A,numeric__QQQ_Volatility_14D,0.04431143548942887,0.04431143548942887,0.03003728110654287,4,0,4,1.0,1.0
A,numeric__Price_to_SMA20,-0.016927967816671226,0.04387739831992624,0.07021470127165627,3,1,4,0.75,1.0
A,numeric__Stock_vs_QQQ_3D,0.008607721575293268,0.012674993407691959,0.013502924917469097,3,1,4,0.75,1.0
B,categorical__Ticker_INTC,-1.0173420636800143,1.0173420636800143,0.049321692113547096,0,4,4,1.0,1.0
B,categorical__Ticker_AMD,-0.7171821917423118,0.7171821917423118,0.04942171565780719,0,4,4,1.0,1.0
B,categorical__Ticker_AMZN,-0.6707104344820853,0.6707104344820853,0.07328259790815089,0,4,4,1.0,1.0
