Feature,Model_Input_Value,IG_Value,Abs_IG_Value
Ticker_INTC,1.0,-0.10907459,0.10907459
Has_EX99,1.0,-0.09280073,0.09280073
Has_Sentiment_History,1.0,-0.043058943,0.043058943
Has_Item_7_01,1.0,0.013571728,0.013571728
Sentiment_Momentum_3,0.91372514,-0.0040668505,0.0040668505
Mean_Net_Sentiment,0.12952733,-0.0037388066,0.0037388066
Ticker_GOOGL,0.0,-0.0,0.0
Ticker_AVGO,0.0,-0.0,0.0
Ticker_MSFT,0.0,0.0,0.0
Ticker_META,0.0,-0.0,0.0
Ticker_AMD,0.0,-0.0,0.0
Ticker_AMZN,0.0,-0.0,0.0
Ticker_AAPL,0.0,0.0,0.0
Ticker_ADBE,0.0,0.0,0.0
Ticker_TSLA,0.0,-0.0,0.0
Ticker_QCOM,0.0,0.0,0.0
Ticker_NVDA,0.0,-0.0,0.0
Ticker_NFLX,0.0,0.0,0.0
Has_Event_Earnings,0.0,-0.0,0.0
Has_Event_Guidance,0.0,0.0,0.0
Has_Event_Buyback,0.0,-0.0,0.0
Has_Item_1_01,0.0,0.0,0.0
Has_Item_2_03,0.0,0.0,0.0
Has_Item_2_02,0.0,-0.0,0.0
Has_Item_2_01,0.0,-0.0,0.0
Has_Item_1_02,0.0,-0.0,0.0
Has_Item_5_07,0.0,-0.0,0.0
Has_Item_5_03,0.0,0.0,0.0
Has_Item_5_02,0.0,0.0,0.0
Has_Item_8_01,0.0,0.0,0.0
