Variant,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,Ticker_INTC,0.01008205,0.010676617,-0.007576047,4,1.0
A,Ticker_GOOGL,0.0071426407,0.008030749,-0.006870713,4,1.0
A,Ticker_AMD,0.004756249,0.003427339,-0.004756249,4,1.0
A,Ticker_TSLA,0.0047030537,0.002408421,-0.0010890363,4,1.0
A,Ticker_AAPL,0.0046333624,0.0036828788,0.0046333624,4,1.0
A,Ticker_AMZN,0.0042441874,0.0031929282,-0.0042441874,4,1.0
A,Ticker_META,0.003909895,0.004740993,-0.003386801,4,1.0
A,Ticker_QCOM,0.003681725,0.0028408738,0.003681725,4,1.0
A,Ticker_AVGO,0.0036669723,0.0029055995,-0.0035410202,4,1.0
A,Ticker_MSFT,0.0033955944,0.0032397676,0.0033625052,4,1.0
A,Ticker_NFLX,0.00263261,0.0021841733,-0.0011665236,4,1.0
A,Ticker_NVDA,0.0025690014,0.0014161962,0.0025599117,4,1.0
A,Ticker_ADBE,0.0017684182,0.0012124992,0.0010294131,4,1.0
B,Has_EX99,0.043675475,0.012784433,-0.043675475,4,1.0
B,Has_Event_Earnings,0.043604746,0.025785588,-0.039001882,4,1.0
B,Has_Item_2_02,0.028788593,0.028817482,-0.025988203,4,1.0
B,Has_Event_Guidance,0.012491566,0.0063795843,-0.001215748,4,1.0
B,Ticker_INTC,0.0076952586,0.009455763,-0.0067244745,4,1.0
B,Ticker_AMZN,0.007458156,0.0054847705,-0.007458156,4,1.0
B,Ticker_AAPL,0.006315853,0.0068102926,0.006310411,4,1.0
B,Has_Item_1_01,0.006167322,0.0071206545,0.0053060283,4,1.0
B,Has_Item_7_01,0.005773714,0.0018801163,0.0035081322,4,1.0
B,Ticker_GOOGL,0.005045846,0.0035400349,-0.0032065387,4,1.0
B,Has_Item_5_02,0.0043036006,0.0018736211,-0.0018920297,4,1.0
B,Has_Item_8_01,0.004281729,0.00202324,-0.0039404556,4,1.0
B,Ticker_META,0.0042081624,0.0024406826,-0.0032520553,4,1.0
B,Has_Item_5_07,0.004084448,0.0027114125,-0.0030715424,4,1.0
B,Ticker_MSFT,0.004009545,0.002486044,0.0038489825,4,1.0
B,Ticker_AMD,0.0040008086,0.0018489219,-0.0022980035,4,1.0
B,Ticker_TSLA,0.0037922198,0.0014556062,-0.002836146,4,1.0
B,Has_Event_Buyback,0.0036177495,0.0020557018,-0.00079876685,4,1.0
B,Ticker_ADBE,0.0030355402,0.0014897622,0.002965989,4,1.0
B,Ticker_QCOM,0.0027994085,0.0032754643,0.0013362463,4,1.0
B,Has_Item_5_03,0.0022114736,0.0016895463,0.0022114736,4,1.0
B,Ticker_AVGO,0.0019564244,0.0011213836,-0.0017629189,4,1.0
B,Ticker_NVDA,0.0014858409,0.00084544363,-0.00015529292,4,1.0
B,Ticker_NFLX,0.0011465319,0.00050814217,-0.0005822689,4,1.0
B,Has_Item_2_01,0.00070502516,0.0012211394,-0.00070502516,3,0.75
B,Has_Item_1_02,0.00064185023,0.0007316099,-0.00032814147,4,1.0
B,Has_Item_2_03,0.00047743492,0.00032247006,-0.00015741028,4,1.0
C,Has_Sentiment_History,0.047303725,0.016859824,-0.04660449,4,1.0
C,Has_EX99,0.031907182,0.019897558,-0.031031013,4,1.0
C,Sentiment_Momentum_3,0.029940356,0.017740406,-0.002316692,4,1.0
C,Has_Item_2_02,0.02323293,0.017284892,-0.023085091,4,1.0
C,Has_Event_Earnings,0.013071138,0.010287494,-0.0123559665,4,1.0
C,Mean_Net_Sentiment,0.011488321,0.0047518243,0.0034947805,4,1.0
C,Ticker_INTC,0.008959231,0.0067766495,-0.007578226,4,1.0
C,Has_Event_Guidance,0.0076267654,0.0050255586,-0.00014541554,4,1.0
C,Has_Item_5_02,0.006894475,0.0041790614,0.0054139807,4,1.0
C,Has_Item_1_01,0.005197565,0.004401292,0.004725923,4,1.0
C,Ticker_AAPL,0.0048439912,0.0041976166,0.004605713,4,1.0
C,Has_Item_8_01,0.0043956535,0.0031773685,-0.0010911662,4,1.0
C,Ticker_AMD,0.00425883,0.0030382073,-0.00425883,4,1.0
C,Ticker_NFLX,0.0040671597,0.0037766655,-0.0004744376,4,1.0
C,Ticker_AMZN,0.0040022265,0.0031604276,-0.0026854966,4,1.0
C,Has_Item_7_01,0.0039575943,0.0030737373,0.003289424,4,1.0
C,Has_Item_5_07,0.0037385658,0.0026348755,-0.0036183854,4,1.0
C,Ticker_GOOGL,0.0037310252,0.0035188748,-0.00345949,4,1.0
C,Ticker_META,0.0029981183,0.0016555848,-0.0029480194,4,1.0
C,Ticker_QCOM,0.0029117821,0.0032953632,0.0027381035,4,1.0
C,Ticker_MSFT,0.0027761692,0.0021488334,0.0026969283,4,1.0
C,Has_Item_5_03,0.0024346944,0.0022184637,0.002434038,4,1.0
C,Ticker_ADBE,0.0024011459,0.00053531554,0.0009401804,4,1.0
C,Ticker_TSLA,0.0023267334,0.0015091419,-0.0019669184,4,1.0
C,Ticker_AVGO,0.0020229947,0.0011115468,-0.0016316515,4,1.0
C,Ticker_NVDA,0.0017930367,0.0009303968,0.00055768376,4,1.0
C,Has_Event_Buyback,0.00129912,0.0014585261,-0.0011173418,4,1.0
C,Has_Item_2_03,0.00054154854,0.0005268964,0.0003794999,4,1.0
C,Has_Item_2_01,0.00023544586,0.00040780418,-4.0275256e-05,3,0.75
C,Has_Item_1_02,0.00021206273,0.00029737383,0.00011540891,4,1.0
