Variant,Feature,Mean_Importance,Std_Importance_Across_Folds,N_Folds,Presence_Rate
A,ticker__Ticker_ADBE,0.0503868675340304,0.015905541429009566,4,1.0
A,market__Stock_vs_QQQ_1D,0.050274050303987676,0.019289923392234655,4,1.0
A,ticker__Ticker_TSLA,0.04630777745525549,0.014909817878783564,4,1.0
A,market__Stock_vs_QQQ_5D,0.04488577741593819,0.011542216288047635,4,1.0
A,market__Price_to_SMA20,0.04406146586870659,0.029493375983106616,4,1.0
A,market__Daily_Range,0.04202132653165764,0.010482453820004765,4,1.0
A,ticker__Ticker_NFLX,0.041578431504207675,0.005732155091878392,4,1.0
A,market__QQQ_Volatility_14D,0.04127301324450158,0.008889307223294845,4,1.0
A,ticker__Ticker_META,0.040960599009310567,0.011298468333265388,4,1.0
A,ticker__Ticker_INTC,0.04050008250495994,0.012986718823324025,4,1.0
A,market__QQQ_Log_Return_1D,0.03998140204012164,0.01495397549493356,4,1.0
A,ticker__Ticker_AMZN,0.0399433533748057,0.0038132844623349964,4,1.0
A,market__RSI_14,0.039022834781752745,0.00730795755134324,4,1.0
A,market__Relative_Volume_20D,0.03838216834809122,0.007567335162076739,4,1.0
A,market__Intraday_Return,0.038134084380697916,0.010179054749787203,4,1.0
A,ticker__Ticker_NVDA,0.03610395523955818,0.00730480679677696,4,1.0
A,market__Stock_vs_QQQ_3D,0.03590086116183688,0.007027310652875192,4,1.0
A,ticker__Ticker_AMD,0.03579877442418246,0.008923081175246067,4,1.0
A,market__Volatility_14D,0.03480642108670089,0.015791936304313605,4,1.0
A,ticker__Ticker_MSFT,0.03402213775736772,0.011660210862954885,4,1.0
A,ticker__Ticker_GOOGL,0.03311873337510965,0.011547044076720497,4,1.0
A,ticker__Ticker_AVGO,0.03279770832359539,0.0036029718786576366,4,1.0
A,market__QQQ_Log_Return_3D,0.03138825839864967,0.005541086487284833,4,1.0
A,ticker__Ticker_AAPL,0.031107257712981194,0.007822965731218219,4,1.0
A,market__QQQ_Log_Return_5D,0.029700473977619088,0.002188387423849931,4,1.0
A,ticker__Ticker_QCOM,0.027542184244373928,0.0008491158976383753,4,1.0
B,market__QQQ_Volatility_14D,0.047857039412448996,0.01368823556967647,4,1.0
B,market__RSI_14,0.038843798621958,0.008370078831944188,4,1.0
B,ticker__Ticker_AVGO,0.03391770782870414,0.01606527565149662,4,1.0
B,ticker__Ticker_TSLA,0.03181599981775791,0.007260507497590783,4,1.0
B,market__Stock_vs_QQQ_5D,0.03130782469554706,0.0028811296761602667,4,1.0
B,binary__Has_Item_1_02,0.02963246407574712,0.00906086927156776,4,1.0
B,market__Intraday_Return,0.029350984345735166,0.00722499820742433,4,1.0
B,binary__Has_Item_5_03,0.029229734274007844,0.012074223665133598,4,1.0
B,market__Daily_Range,0.02874302304390782,0.009064786815378114,4,1.0
B,binary__Has_EX99,0.02840803289544956,0.012837981502266508,4,1.0
B,market__Volatility_14D,0.02781810838861917,0.016813963929413176,4,1.0
B,ticker__Ticker_INTC,0.027158054476141426,0.010084254573574446,4,1.0
B,binary__Has_Event_Buyback,0.02681497311841067,0.014557330432681133,4,1.0
B,market__Stock_vs_QQQ_1D,0.026729639252865648,0.01498698776216028,4,1.0
B,binary__Has_Event_Earnings,0.026311507800949444,0.010554636115537685,4,1.0
