Variant,Feature,Mean_Importance,Std_Importance_Across_Folds,N_Folds,Presence_Rate
A,market__QQQ_Log_Return_5D,0.06867006779026331,0.021096746095704572,4,1.0
A,market__Stock_vs_QQQ_3D,0.05819779923237732,0.026832990498145297,4,1.0
A,market__Stock_vs_QQQ_1D,0.0504465312645452,0.012284908045150094,4,1.0
A,market__Stock_vs_QQQ_5D,0.048299993313746056,0.018481081580579893,4,1.0
A,market__Daily_Range,0.046417909570912796,0.018615056399091792,4,1.0
A,market__Intraday_Return,0.04251963629428424,0.015979288974419022,4,1.0
A,market__QQQ_Log_Return_1D,0.0423694052966969,0.01618460470170308,4,1.0
A,ticker__Ticker_ADBE,0.04145505161871818,0.008775463739791505,4,1.0
A,ticker__Ticker_NFLX,0.04000102053293019,0.007148488267684826,4,1.0
A,market__QQQ_Volatility_14D,0.03944429928555192,0.012652860056002241,4,1.0
A,ticker__Ticker_AMZN,0.03943711620246812,0.009808228655905651,4,1.0
A,ticker__Ticker_INTC,0.03936850246749403,0.008016030551553867,4,1.0
A,market__QQQ_Log_Return_3D,0.038624541901962336,0.008809669355313906,4,1.0
A,market__Price_to_SMA20,0.03801017332021999,0.007324338840927488,4,1.0
A,ticker__Ticker_AVGO,0.03729234713295389,0.016676403080061224,4,1.0
A,ticker__Ticker_AMD,0.035687674805025354,0.009677945052973286,4,1.0
A,market__RSI_14,0.035229615507577666,0.006947589903579348,4,1.0
A,market__Relative_Volume_20D,0.0342230278221387,0.006173597549684588,4,1.0
A,market__Volatility_14D,0.030704179623198567,0.008218465968543621,4,1.0
A,ticker__Ticker_TSLA,0.03063912176343976,0.0074653519079264504,4,1.0
A,ticker__Ticker_AAPL,0.029487422256606687,0.004583194334493872,4,1.0
A,ticker__Ticker_GOOGL,0.029049149281539864,0.005312829247123979,4,1.0
A,ticker__Ticker_NVDA,0.028532368863251882,0.005761647337998166,4,1.0
A,ticker__Ticker_META,0.02740695974728452,0.00587550037352952,4,1.0
A,ticker__Ticker_QCOM,0.02437130805770147,0.003312574671025462,4,1.0
A,ticker__Ticker_MSFT,0.024114777047111083,0.008284008312202879,4,1.0
B,market__Volatility_14D,0.06090796233142264,0.06038154966508875,4,1.0
B,market__QQQ_Volatility_14D,0.05696604121237557,0.033110090273214314,4,1.0
B,market__Daily_Range,0.04491228950606704,0.01697508791425634,4,1.0
B,market__Stock_vs_QQQ_3D,0.04187294188092057,0.016025311088725458,4,1.0
B,market__Stock_vs_QQQ_1D,0.03932769784697371,0.02032343646214435,4,1.0
B,market__Relative_Volume_20D,0.039316329042575815,0.02958210186599118,4,1.0
B,market__RSI_14,0.036372717852590476,0.018732532970791613,4,1.0
B,market__QQQ_Log_Return_1D,0.03202997403130553,0.016051849002298554,4,1.0
B,market__Stock_vs_QQQ_5D,0.03137334208562527,0.019277498202647934,4,1.0
B,market__Intraday_Return,0.02945228436721274,0.005637230219487144,4,1.0
B,binary__Has_Event_Buyback,0.02657872492649409,0.01878537882667357,4,1.0
B,ticker__Ticker_AVGO,0.024828748706630984,0.006543204489732064,4,1.0
B,market__Price_to_SMA20,0.0246859766108233,0.004176708176578473,4,1.0
B,ticker__Ticker_TSLA,0.024547077237881302,0.004813112266076275,4,1.0
B,ticker__Ticker_INTC,0.022800936774571578,0.008158207094331864,4,1.0
B,binary__Has_Event_Earnings,0.022550216150745324,0.008875784311241568,4,1.0
B,market__QQQ_Log_Return_3D,0.022422330456436337,0.009720797227474478,4,1.0
B,ticker__Ticker_MSFT,0.022390928916014383,0.006759420673070608,4,1.0
B,market__QQQ_Log_Return_5D,0.0221726106671266,0.007134161130094486,4,1.0
B,binary__Has_EX99,0.02176098691640293,0.01122452513382395,4,1.0
B,binary__Has_Item_7_01,0.0207312426864852,0.006373703203036975,4,1.0
B,binary__Has_Item_1_02,0.020419981816176783,0.002241871827350519,4,1.0
B,binary__Has_Item_2_02,0.02041398664090699,0.008948985308994437,4,1.0
B,ticker__Ticker_AMD,0.020391929286495088,0.00772460924215314,4,1.0
B,binary__Has_Item_8_01,0.02010609721260246,0.004892473037206654,4,1.0
B,ticker__Ticker_ADBE,0.020042856608361626,0.0044479037725628995,4,1.0
B,binary__Has_Item_5_02,0.018664283661405993,0.007358588414100651,4,1.0
B,binary__Has_Event_Guidance,0.01830413773845058,0.00993964569774155,4,1.0
B,ticker__Ticker_AMZN,0.018038032628653715,0.009010738064865565,4,1.0
B,ticker__Ticker_NVDA,0.017856015603615064,0.007695892037371166,4,1.0
B,binary__Has_Item_5_03,0.017702648074430276,0.002803348222051545,4,1.0
B,ticker__Ticker_QCOM,0.01740618438775732,0.004109035863444215,4,1.0
B,ticker__Ticker_META,0.017320552181337615,0.006413814418424132,4,1.0
B,binary__Has_Item_5_07,0.017275098047446712,0.007226050578269896,4,1.0
B,ticker__Ticker_AAPL,0.017244609301987956,0.005012052763642441,4,1.0
B,binary__Has_Item_1_01,0.016757871534772466,0.006730659150815428,4,1.0
B,binary__Has_Item_2_03,0.016421674686337935,0.008655346585814655,4,1.0
B,ticker__Ticker_NFLX,0.014963725340679149,0.004211465546417152,4,1.0
B,ticker__Ticker_GOOGL,0.014042855521924292,0.003161525916517916,4,1.0
B,binary__Has_Item_2_01,0.011501466026635496,0.0009293279313541644,3,0.75
C,market__Daily_Range,0.04767127903480152,0.047505323066477305,4,1.0
C,market__QQQ_Log_Return_1D,0.045584093866342726,0.02644603752269684,4,1.0
C,market__QQQ_Volatility_14D,0.03470866668094891,0.007317459272338291,4,1.0
C,market__QQQ_Log_Return_3D,0.03443846181557425,0.01644242109511542,4,1.0
C,binary__Has_Event_Guidance,0.03315322490351347,0.032044568148470995,4,1.0
C,market__Stock_vs_QQQ_1D,0.03207614811360937,0.02232395231033074,4,1.0
C,binary__Has_Item_1_01,0.031726123849683506,0.015895016963726923,4,1.0
C,market__Relative_Volume_20D,0.031182183081555678,0.02777080647439133,4,1.0
C,ticker__Ticker_META,0.029879316489777954,0.012711725732756099,4,1.0
C,ticker__Ticker_TSLA,0.028519320891909297,0.007731931213171672,4,1.0
C,market__Intraday_Return,0.027457412197974602,0.008166647531792576,4,1.0
C,market__Price_to_SMA20,0.025536015490929688,0.008485561031157818,4,1.0
C,market__Volatility_14D,0.025304989501654145,0.015309519321766878,4,1.0
C,market__Stock_vs_QQQ_3D,0.02429973437243174,0.007933680819576554,4,1.0
C,ticker__Ticker_INTC,0.024176411437217306,0.00876943776232739,4,1.0
C,ticker__Ticker_GOOGL,0.024047435320628842,0.007092346684159514,4,1.0
C,ticker__Ticker_QCOM,0.023474149748681512,0.011242621327324885,4,1.0
