Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
A,Volatility_14D,-0.0012852644339095796,0.01661987587087298,0.005076271145019866,0.01699299820492125,2,2,4,1.0,0.5,0.5
A,QQQ_Log_Return_1D,-0.0020410729566668066,0.014268992978449632,-0.001305960332291811,0.018805967513733063,1,1,4,1.0,0.25,0.25
A,Stock_vs_QQQ_5D,0.0022536814739109266,0.038253895425295115,-0.004538920982637222,0.03901934861162648,2,3,4,1.0,0.75,0.5
A,QQQ_Log_Return_3D,-0.003982939245774064,0.011080727745858918,-0.007054793436710467,0.01750993399395466,2,1,4,1.0,0.25,0.5
A,QQQ_Volatility_14D,-0.0012888445965948134,0.016341199438844056,-0.008652983274771311,0.01034881735515425,2,1,4,1.0,0.25,0.5
A,Relative_Volume_20D,-0.0033617323305731766,0.023087556415591563,-0.009207666205466498,0.04518450226893733,3,1,4,1.0,0.25,0.75
A,Intraday_Return,-0.01471246784258101,0.014176204318069187,-0.013705538753996998,0.01932707684504891,0,1,4,1.0,0.25,0.0
A,Stock_vs_QQQ_3D,0.0015500983636495477,0.03123909010471861,-0.013711152884669531,0.027943574866413516,3,1,4,1.0,0.25,0.75
A,Price_to_SMA20,-0.0074764976308529085,0.009991386288757228,-0.01411013146339401,0.010855850165016539,1,0,4,1.0,0.0,0.25
A,Daily_Range,-0.006916469437493116,0.015004142698915259,-0.014716531939590473,0.023243562795443384,2,1,4,1.0,0.25,0.5
A,QQQ_Log_Return_5D,-0.0059211176564529944,0.0022634290192607848,-0.014720909136976655,0.02020046937535804,0,1,4,1.0,0.25,0.0
A,RSI_14,-0.007550818160245073,0.019712931948311814,-0.01790442342039879,0.039422035313848885,1,1,4,1.0,0.25,0.25
A,Ticker,-0.012295432335636867,0.021237806626563854,-0.0182917848880655,0.04180928891071793,1,1,4,1.0,0.25,0.25
A,Stock_vs_QQQ_1D,-0.015832050276285637,0.009126770883399409,-0.02657426500484794,0.028210268025017207,0,0,4,1.0,0.0,0.0
B,Stock_vs_QQQ_1D,0.00817823262585512,0.01566769932819337,0.0245146332735878,0.025920218056204897,2,3,4,1.0,0.75,0.5
B,Has_Event_Earnings,0.007408049781752014,0.004479855156173956,0.016624804287685816,0.006888236532459266,4,4,4,1.0,1.0,1.0
B,Relative_Volume_20D,0.0007629432487847067,0.02187302611498725,0.008922456781118006,0.024119699720769456,2,2,4,1.0,0.5,0.5
B,Has_Item_5_02,0.0026028818305863484,0.011648836203416295,0.007515945544223661,0.005745851785123937,3,4,4,1.0,1.0,0.75
B,Intraday_Return,-0.0039604218614419096,0.011572938661533881,0.007060835986526381,0.007580373716018863,1,4,4,1.0,1.0,0.25
B,Has_Item_7_01,0.0035287035863499727,0.006937924874814785,0.006760066796494836,0.010107907076185224,3,3,4,1.0,0.75,0.75
B,Has_Event_Guidance,-0.006149906456592514,0.006951823457303511,0.004957521663748294,0.014742072730659563,0,2,4,1.0,0.5,0.0
B,Has_EX99,-0.0008325981621507082,0.010181629572955294,0.00453222352409955,0.015634791703428436,2,3,4,1.0,0.75,0.5
B,Price_to_SMA20,-0.0013598663126279478,0.010941274860245516,0.0037493450725515592,0.011908969739959464,1,3,4,1.0,0.75,0.25
B,Has_Item_2_02,0.004046913408377792,0.0102099494196201,0.003445289297669376,0.030862446896461705,2,2,4,1.0,0.5,0.5
B,Has_Event_Buyback,-0.0022053877047647835,0.005478204960017366,0.0028171501103524464,0.005522228477494848,2,3,4,1.0,0.75,0.5
B,Has_Item_2_03,-0.0006496528039951053,0.0010347143644090018,0.0026803796185933563,0.008058810111000696,1,1,4,1.0,0.25,0.25
B,Has_Item_2_01,1.1506782945736777e-05,1.993033269368317e-05,0.0018223110465116377,0.003156335319752168,1,1,3,0.75,0.3333333333333333,0.3333333333333333
B,Has_Item_8_01,-0.0016256517626430421,0.009115640779868851,0.0016342444901674435,0.01344977130229653,1,3,4,1.0,0.75,0.25
B,QQQ_Log_Return_1D,-0.0008965274556792487,0.020626761497817402,0.0007446584264872149,0.01780138966486153,3,2,4,1.0,0.5,0.75
B,QQQ_Volatility_14D,-0.0031451100348525675,0.011391977809171148,0.0004281416330185958,0.024989811268197677,1,2,4,1.0,0.5,0.25
B,Stock_vs_QQQ_3D,0.004440693981521422,0.008461320921232708,-0.0007120039832353017,0.010979665584633631,3,2,4,1.0,0.5,0.75
B,Has_Item_1_01,-0.00027872068378972557,0.001730974869145122,-0.001067145747040901,0.00717150448680213,3,1,4,1.0,0.25,0.75
B,Has_Item_1_02,-0.000694911674588796,0.0006228664249025819,-0.0023829372195495802,0.0025873871967659807,0,0,4,1.0,0.0,0.0
B,QQQ_Log_Return_5D,-0.007497980685623453,0.020019952713606258,-0.0042122706321341165,0.020877412741654208,2,2,4,1.0,0.5,0.5
B,Volatility_14D,-0.008459279460330656,0.009229393565819472,-0.004253874789212735,0.016664384231784606,0,2,4,1.0,0.5,0.0
B,RSI_14,-0.00781507268715274,0.02793359589291367,-0.005173924239577801,0.01674923623088047,3,2,4,1.0,0.5,0.75
B,Has_Item_5_03,-0.006270192581965843,0.01201855295558682,-0.007704019235424964,0.009674580201177093,2,1,4,1.0,0.25,0.5
B,Has_Item_5_07,-0.0025995452081026267,0.008191287139860672,-0.008345926093966494,0.007205452153520539,1,1,4,1.0,0.25,0.25
B,Daily_Range,0.0021111300812167565,0.00719600581321152,-0.008626041717228656,0.017970164789939486,2,1,4,1.0,0.25,0.5
B,Stock_vs_QQQ_5D,-0.00011776109756800194,0.011031787223774639,-0.010162798572234576,0.020964157110601855,3,1,4,1.0,0.25,0.75
B,QQQ_Log_Return_3D,-0.013840368040274616,0.029861273490540307,-0.011606649990202222,0.018473703986361962,1,1,4,1.0,0.25,0.25
B,Ticker,-0.005671442545261592,0.01853462450237221,-0.01514614541310711,0.01079151627200469,2,0,4,1.0,0.0,0.5
C,QQQ_Log_Return_1D,0.01201139292485845,0.00930998565761709,0.009372553305809656,0.01628571587242318,4,3,4,1.0,0.75,1.0
C,Daily_Range,-0.004457824904538985,0.01786212324243075,0.009309464932907633,0.015540127129230419,2,2,4,1.0,0.5,0.5
