Sequence_Step,Feature,Model_Input_Value,IG_Value,Abs_IG_Value
1,Log_Return_1D_Z60,-0.2560497522354126,-4.130199522478506e-05,4.130199522478506e-05
1,Log_Return_5D_Z60,-0.03173637017607689,1.76994926732732e-05,1.76994926732732e-05
1,Volatility_14D_Z60,-1.1241647005081177,0.002810828387737274,0.002810828387737274
1,Relative_Volume_20D_Z60,-0.2737945020198822,-0.000628823705483228,0.000628823705483228
1,RSI_14_Scaled,1.5639183521270752,0.012967795133590698,0.012967795133590698
1,Price_to_SMA20_Z60,-0.04377460107207298,3.3857275411719456e-05,3.3857275411719456e-05
1,Intraday_Return_Z60,0.11526969075202942,0.0004209805920254439,0.0004209805920254439
1,Daily_Range_Z60,-0.6418622732162476,-0.0010685035958886147,0.0010685035958886147
1,QQQ_Log_Return_1D,-0.6271082758903503,-9.87852254183963e-05,9.87852254183963e-05
1,QQQ_Log_Return_5D,-0.40035659074783325,-0.0006539804162457585,0.0006539804162457585
1,QQQ_Volatility_14D,-0.7744934558868408,-0.002095033647492528,0.002095033647492528
2,Log_Return_1D_Z60,0.059012897312641144,9.249612958228681e-06,9.249612958228681e-06
2,Log_Return_5D_Z60,-0.014532307162880898,8.046539733186364e-06,8.046539733186364e-06
2,Volatility_14D_Z60,-1.0880608558654785,0.002720838412642479,0.002720838412642479
2,Relative_Volume_20D_Z60,0.048639774322509766,0.00011169545905431733,0.00011169545905431733
2,RSI_14_Scaled,1.6717013120651245,0.013876419514417648,0.013876419514417648
2,Price_to_SMA20_Z60,-0.012627661228179932,9.711125130706932e-06,9.711125130706932e-06
2,Intraday_Return_Z60,0.08372760564088821,0.0003057318099308759,0.0003057318099308759
2,Daily_Range_Z60,-0.42360737919807434,-0.0007039913907647133,0.0007039913907647133
2,QQQ_Log_Return_1D,-0.05885428562760353,-9.117595254792832e-06,9.117595254792832e-06
2,QQQ_Log_Return_5D,-0.3055031895637512,-0.0004989697481505573,0.0004989697481505573
2,QQQ_Volatility_14D,-0.7735525369644165,-0.002092844806611538,0.002092844806611538
3,Log_Return_1D_Z60,-0.4069666862487793,-5.360697105061263e-05,5.360697105061263e-05
3,Log_Return_5D_Z60,-0.40107521414756775,0.00022534921299666166,0.00022534921299666166
3,Volatility_14D_Z60,-1.012779951095581,0.00252924975939095,0.00252924975939095
3,Relative_Volume_20D_Z60,2.551405191421509,0.005908559542149305,0.005908559542149305
3,RSI_14_Scaled,1.2992026805877686,0.01077849231660366,0.01077849231660366
3,Price_to_SMA20_Z60,-0.16682453453540802,0.00013048070832155645,0.00013048070832155645
3,Intraday_Return_Z60,-0.7116305232048035,-0.002587870229035616,0.002587870229035616
3,Daily_Range_Z60,-0.41317054629325867,-0.0006944763590581715,0.0006944763590581715
3,QQQ_Log_Return_1D,-0.2902797758579254,-3.9816393837099895e-05,3.9816393837099895e-05
3,QQQ_Log_Return_5D,-0.4959869980812073,-0.0008020089589990675,0.0008020089589990675
3,QQQ_Volatility_14D,-0.7629562616348267,-0.0020704641938209534,0.0020704641938209534
4,Log_Return_1D_Z60,0.6536396145820618,9.046391642186791e-05,9.046391642186791e-05
4,Log_Return_5D_Z60,0.13579250872135162,-7.282524165930226e-05,7.282524165930226e-05
4,Volatility_14D_Z60,-0.8886868357658386,0.0022224464919418097,0.0022224464919418097
4,Relative_Volume_20D_Z60,0.6941587328910828,0.0015920564765110612,0.0015920564765110612
4,RSI_14_Scaled,1.7260171175003052,0.014351665042340755,0.014351665042340755
4,Price_to_SMA20_Z60,0.08262395113706589,-6.226193363545462e-05,6.226193363545462e-05
4,Intraday_Return_Z60,0.7033474445343018,0.0025723541621118784,0.0025723541621118784
4,Daily_Range_Z60,0.5108331441879272,0.0008458242518827319,0.0008458242518827319
4,QQQ_Log_Return_1D,0.5548843741416931,8.339546184288338e-05,8.339546184288338e-05
4,QQQ_Log_Return_5D,0.1806531846523285,0.00029460451332852244,0.00029460451332852244
4,QQQ_Volatility_14D,-0.743506669998169,-0.002009377581998706,0.002009377581998706
5,Log_Return_1D_Z60,0.21393875777721405,3.331509287818335e-05,3.331509287818335e-05
5,Log_Return_5D_Z60,0.12309625744819641,-6.721310637658462e-05,6.721310637658462e-05
5,Volatility_14D_Z60,-0.8628063797950745,0.002155756577849388,0.002155756577849388
5,Relative_Volume_20D_Z60,0.339150607585907,0.000776412314735353,0.000776412314735353
5,RSI_14_Scaled,1.894959807395935,0.015722595155239105,0.015722595155239105
5,Price_to_SMA20_Z60,0.14646779000759125,-0.0001113831385737285,0.0001113831385737285
5,Intraday_Return_Z60,-0.06320063769817352,-0.00023140083067119122,0.00023140083067119122
