Feature,Model_Input_Value,IG_Value,Abs_IG_Value
Has_Item_5_03,1.0,0.08369926,0.08369926
Has_Sentiment_History,1.0,-0.07170245,0.07170245
Ticker_MSFT,1.0,0.055344295,0.055344295
Sentiment_Momentum_3,-1.6901574,0.035691306,0.035691306
Mean_Net_Sentiment,-0.7022687,0.011268711,0.011268711
Ticker_AAPL,0.0,0.0,0.0
Ticker_GOOGL,0.0,-0.0,0.0
Ticker_INTC,0.0,-0.0,0.0
Ticker_META,0.0,-0.0,0.0
Ticker_NFLX,0.0,-0.0,0.0
Ticker_AMD,0.0,-0.0,0.0
Ticker_AMZN,0.0,-0.0,0.0
Ticker_AVGO,0.0,-0.0,0.0
Ticker_ADBE,0.0,0.0,0.0
Has_EX99,0.0,-0.0,0.0
Ticker_TSLA,0.0,-0.0,0.0
Ticker_QCOM,0.0,-0.0,0.0
Ticker_NVDA,0.0,-0.0,0.0
Has_Event_Earnings,0.0,-0.0,0.0
Has_Event_Guidance,0.0,-0.0,0.0
Has_Event_Buyback,0.0,-0.0,0.0
Has_Item_1_01,0.0,0.0,0.0
Has_Item_2_03,0.0,0.0,0.0
Has_Item_2_02,0.0,-0.0,0.0
Has_Item_2_01,0.0,-0.0,0.0
Has_Item_1_02,0.0,-0.0,0.0
Has_Item_7_01,0.0,-0.0,0.0
Has_Item_5_07,0.0,-0.0,0.0
Has_Item_5_02,0.0,-0.0,0.0
Has_Item_8_01,0.0,-0.0,0.0
