Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
Sentiment_Momentum_3,0.021243853,-0.0018687958,0.514018691588785,0.48598130841121495
Has_Sentiment_History,0.015067795,0.010385058,0.7383177570093458,0.2616822429906542
Mean_Net_Sentiment,0.01067066,-0.0019148022,0.32710280373831774,0.6728971962616822
Has_Item_2_02,0.010485309,-0.010485309,0.0,0.3644859813084112
Has_Item_5_02,0.00968715,-0.00968715,0.0,0.2523364485981308
Has_EX99,0.00893771,0.008918744,0.4766355140186916,0.009345794392523364
Ticker_GOOGL,0.0039151954,0.0039151954,0.1308411214953271,0.0
Ticker_NFLX,0.0037605467,0.0037605467,0.07476635514018691,0.0
Has_Item_5_07,0.003573074,0.003573074,0.07476635514018691,0.0
Ticker_AMD,0.0029432108,0.0029432108,0.07476635514018691,0.0
Has_Item_8_01,0.002423646,0.0018887139,0.17757009345794392,0.028037383177570093
Ticker_META,0.0023365968,-0.0023365968,0.0,0.06542056074766354
Ticker_AVGO,0.0021667995,0.0021667995,0.09345794392523364,0.0
Has_Item_1_01,0.002057254,0.002057254,0.06542056074766354,0.0
Ticker_AMZN,0.0017484524,0.0017484524,0.11214953271028037,0.0
Has_Item_7_01,0.0015831045,0.0015831045,0.028037383177570093,0.0
Ticker_AAPL,0.0013711157,-0.0013711157,0.0,0.056074766355140186
Ticker_TSLA,0.0013210083,-0.0013210083,0.0,0.056074766355140186
Ticker_NVDA,0.0011605396,0.00031183416,0.04672897196261682,0.037383177570093455
Ticker_ADBE,0.000698894,-0.000698894,0.0,0.04672897196261682
Ticker_INTC,0.0006650838,0.00049050373,0.07476635514018691,0.028037383177570093
Ticker_QCOM,0.00060318364,0.00046219648,0.056074766355140186,0.009345794392523364
Ticker_MSFT,0.00035817435,-0.00020309788,0.009345794392523364,0.028037383177570093
Has_Item_2_01,0.0,0.0,0.0,0.0
Has_Item_5_03,0.0,0.0,0.0,0.0
