Variant,Test_Year,Sequence_Step,Feature,Mean_Abs_IG,Mean_IG,Positive_Share,Negative_Share
A,2023,1,Log_Return_1D_Z60,0.0024295602925121784,0.00028892120462842286,0.5084745762711864,0.4915254237288136
A,2023,1,Log_Return_5D_Z60,0.0019363680621609092,-0.00014049270248506218,0.5,0.5
A,2023,1,Volatility_14D_Z60,0.0009530360111966729,0.0004974419134669006,0.7627118644067796,0.23728813559322035
A,2023,1,Relative_Volume_20D_Z60,0.0009941158350557089,-4.4877251639263704e-05,0.6271186440677966,0.3728813559322034
A,2023,1,RSI_14_Scaled,0.001460497034713626,0.00015017054101917893,0.5084745762711864,0.4915254237288136
A,2023,1,Price_to_SMA20_Z60,0.0015481964219361544,0.00029190178611315787,0.5677966101694916,0.4322033898305085
A,2023,1,Intraday_Return_Z60,0.0020718316081911325,0.00011786237155320123,0.5508474576271186,0.4491525423728814
A,2023,1,Daily_Range_Z60,0.0007841269834898412,-0.00016826612409204245,0.3559322033898305,0.6440677966101694
A,2023,1,QQQ_Log_Return_1D,0.002386584645137191,8.078767677943688e-06,0.5423728813559322,0.4576271186440678
A,2023,1,QQQ_Log_Return_5D,0.0007129209116101265,0.00020268310618121177,0.5677966101694916,0.4322033898305085
A,2023,1,QQQ_Volatility_14D,0.0014291891129687428,-0.0013042008504271507,0.06779661016949153,0.9322033898305084
A,2023,2,Log_Return_1D_Z60,0.001956598600372672,0.0004481232026591897,0.576271186440678,0.423728813559322
A,2023,2,Log_Return_5D_Z60,0.0018941136077046394,0.00022795233235228807,0.4830508474576271,0.5169491525423728
A,2023,2,Volatility_14D_Z60,0.0009248069254681468,0.0005183849134482443,0.7711864406779662,0.2288135593220339
A,2023,2,Relative_Volume_20D_Z60,0.0008941478445194662,-2.8755250241374597e-05,0.6186440677966102,0.3813559322033898
A,2023,2,RSI_14_Scaled,0.001477278652600944,0.0002558795385994017,0.5508474576271186,0.4491525423728814
A,2023,2,Price_to_SMA20_Z60,0.001550898770801723,0.000401294237235561,0.5254237288135594,0.4745762711864407
A,2023,2,Intraday_Return_Z60,0.001851315493695438,-9.029979264596477e-05,0.4576271186440678,0.5423728813559322
A,2023,2,Daily_Range_Z60,0.0008495899965055287,-7.634491339558735e-05,0.2796610169491525,0.7203389830508474
A,2023,2,QQQ_Log_Return_1D,0.0020461392123252153,-0.00026495379279367626,0.4576271186440678,0.5423728813559322
A,2023,2,QQQ_Log_Return_5D,0.0007597566000185907,0.00016186923312488943,0.5508474576271186,0.4491525423728814
A,2023,2,QQQ_Volatility_14D,0.0014340239576995373,-0.001310874242335558,0.059322033898305086,0.940677966101695
A,2023,3,Log_Return_1D_Z60,0.0025531963910907507,0.0004816643486265093,0.5932203389830508,0.4067796610169492
A,2023,3,Log_Return_5D_Z60,0.0019122841767966747,0.0004426159430295229,0.5,0.5
A,2023,3,Volatility_14D_Z60,0.0008660004823468626,0.0004480381903704256,0.7796610169491526,0.22033898305084745
A,2023,3,Relative_Volume_20D_Z60,0.001004260964691639,-0.00023153571237344295,0.576271186440678,0.423728813559322
A,2023,3,RSI_14_Scaled,0.001531979301944375,0.00033487885957583785,0.576271186440678,0.423728813559322
A,2023,3,Price_to_SMA20_Z60,0.0016125215915963054,0.0004708233755081892,0.5508474576271186,0.4491525423728814
A,2023,3,Intraday_Return_Z60,0.0020868051797151566,-1.4406046830117702e-05,0.5254237288135594,0.4745762711864407
A,2023,3,Daily_Range_Z60,0.0007900957716628909,6.699454388581216e-05,0.4491525423728814,0.5508474576271186
A,2023,3,QQQ_Log_Return_1D,0.002247538883239031,-0.00021179908071644604,0.423728813559322,0.576271186440678
A,2023,3,QQQ_Log_Return_5D,0.0007308502099476755,0.0001237753313034773,0.5423728813559322,0.4576271186440678
A,2023,3,QQQ_Volatility_14D,0.0014408477582037449,-0.0013370972592383623,0.06779661016949153,0.9322033898305084
A,2023,4,Log_Return_1D_Z60,0.002503278898075223,0.0007447017123922706,0.5423728813559322,0.4576271186440678
A,2023,4,Log_Return_5D_Z60,0.001847374252974987,0.0006465529440902174,0.5423728813559322,0.4576271186440678
A,2023,4,Volatility_14D_Z60,0.0008444106206297874,0.0004697726108133793,0.8050847457627118,0.19491525423728814
A,2023,4,Relative_Volume_20D_Z60,0.0010837448062375188,-0.00022748589981347322,0.6101694915254238,0.3898305084745763
A,2023,4,RSI_14_Scaled,0.0015049985377117991,0.0004718008276540786,0.5847457627118644,0.4152542372881356
A,2023,4,Price_to_SMA20_Z60,0.0015926406485959888,0.0006726222345605493,0.5932203389830508,0.4067796610169492
A,2023,4,Intraday_Return_Z60,0.002058161422610283,-0.00017832129378803074,0.5169491525423728,0.4830508474576271
A,2023,4,Daily_Range_Z60,0.0008066744194366038,1.1087206075899303e-05,0.3474576271186441,0.652542372881356
A,2023,4,QQQ_Log_Return_1D,0.0020005872938781977,0.00015143117343541235,0.5169491525423728,0.4830508474576271
A,2023,4,QQQ_Log_Return_5D,0.0007095834007486701,4.3227839341852814e-05,0.5338983050847458,0.4661016949152542
A,2023,4,QQQ_Volatility_14D,0.0014249521773308516,-0.00132153055164963,0.06779661016949153,0.9322033898305084
A,2023,5,Log_Return_1D_Z60,0.0022809901274740696,-3.9540609577670693e-05,0.4745762711864407,0.5254237288135594
A,2023,5,Log_Return_5D_Z60,0.0018408950418233871,0.0008156115654855967,0.6016949152542372,0.3983050847457627
A,2023,5,Volatility_14D_Z60,0.0008338370826095343,0.0005141960573382676,0.8305084745762712,0.1694915254237288
A,2023,5,Relative_Volume_20D_Z60,0.0010199269745498896,-4.246605385560542e-06,0.6186440677966102,0.3813559322033898
A,2023,5,RSI_14_Scaled,0.0015904816100373864,0.00047660950804129243,0.5847457627118644,0.4152542372881356
A,2023,5,Price_to_SMA20_Z60,0.0016025096410885453,0.0006651257281191647,0.5508474576271186,0.4491525423728814
A,2023,5,Intraday_Return_Z60,0.0019741212017834187,0.00011251601972617209,0.5084745762711864,0.4915254237288136
A,2023,5,Daily_Range_Z60,0.00072856480255723,-0.00012189409608254209,0.3898305084745763,0.6101694915254238
A,2023,5,QQQ_Log_Return_1D,0.0022113192826509476,-2.527979995647911e-05,0.4915254237288136,0.5084745762711864
A,2023,5,QQQ_Log_Return_5D,0.0007091443403623998,-7.556138007203117e-05,0.559322033898305,0.4406779661016949
A,2023,5,QQQ_Volatility_14D,0.0014293622225522995,-0.0013376015704125166,0.07627118644067797,0.923728813559322
A,2023,6,Log_Return_1D_Z60,0.002469613216817379,0.00032350971014238894,0.4915254237288136,0.5084745762711864
A,2023,6,Log_Return_5D_Z60,0.002037005964666605,0.0008657727739773691,0.576271186440678,0.423728813559322
A,2023,6,Volatility_14D_Z60,0.0008088921313174069,0.0004746484919451177,0.788135593220339,0.211864406779661
A,2023,6,Relative_Volume_20D_Z60,0.0009900527074933052,3.5595514873421052e-06,0.6440677966101694,0.3559322033898305
A,2023,6,RSI_14_Scaled,0.0017166506731882691,0.000531999918166548,0.5932203389830508,0.4067796610169492
A,2023,6,Price_to_SMA20_Z60,0.0016997877974063158,0.0007116742781363428,0.5932203389830508,0.4067796610169492
A,2023,6,Intraday_Return_Z60,0.0019704061560332775,0.00018190125410910696,0.5677966101694916,0.4322033898305085
A,2023,6,Daily_Range_Z60,0.0007479893392883241,-0.00012655273894779384,0.3644067796610169,0.635593220338983
A,2023,6,QQQ_Log_Return_1D,0.002319257240742445,-0.00045968336053192616,0.4576271186440678,0.5423728813559322
A,2023,6,QQQ_Log_Return_5D,0.0007440365734510124,-8.805513061815873e-05,0.5423728813559322,0.4576271186440678
A,2023,6,QQQ_Volatility_14D,0.0014173876261338592,-0.0013528248528018594,0.059322033898305086,0.940677966101695
A,2023,7,Log_Return_1D_Z60,0.0020221055019646883,0.00025369165814481676,0.5169491525423728,0.4830508474576271
A,2023,7,Log_Return_5D_Z60,0.001954867737367749,0.0007248130859807134,0.5508474576271186,0.4491525423728814
A,2023,7,Volatility_14D_Z60,0.0008190585067495704,0.0004387294175103307,0.788135593220339,0.211864406779661
A,2023,7,Relative_Volume_20D_Z60,0.0008253813721239567,0.00010702919098548591,0.635593220338983,0.3644067796610169
A,2023,7,RSI_14_Scaled,0.0016376913990825415,0.0005663016345351934,0.635593220338983,0.3644067796610169
A,2023,7,Price_to_SMA20_Z60,0.0015416517853736877,0.0007523020030930638,0.5932203389830508,0.4067796610169492
A,2023,7,Intraday_Return_Z60,0.0017962049460038543,-0.0001615394139662385,0.4745762711864407,0.5254237288135594
A,2023,7,Daily_Range_Z60,0.0006219897768460214,-0.00020078039960935712,0.3220338983050847,0.6779661016949152
A,2023,7,QQQ_Log_Return_1D,0.0020873649045825005,-0.00011884665582329035,0.4830508474576271,0.5169491525423728
A,2023,7,QQQ_Log_Return_5D,0.0007746057235635817,-0.00013601106184069067,0.5254237288135594,0.4745762711864407
A,2023,7,QQQ_Volatility_14D,0.0013992671156302094,-0.0013360129669308662,0.059322033898305086,0.940677966101695
A,2023,8,Log_Return_1D_Z60,0.0021141478791832924,8.059391984716058e-05,0.5084745762711864,0.4915254237288136
A,2023,8,Log_Return_5D_Z60,0.0017400411888957024,0.0006619914784096181,0.5508474576271186,0.4491525423728814
A,2023,8,Volatility_14D_Z60,0.0007970909355208278,0.00044452963629737496,0.8050847457627118,0.19491525423728814
A,2023,8,Relative_Volume_20D_Z60,0.0008210578234866261,0.00025491282576695085,0.6864406779661016,0.3135593220338983
A,2023,8,RSI_14_Scaled,0.001658897614106536,0.0005111665814183652,0.6186440677966102,0.3813559322033898
A,2023,8,Price_to_SMA20_Z60,0.0015060085570439696,0.0006997980526648462,0.5932203389830508,0.4067796610169492
A,2023,8,Intraday_Return_Z60,0.0017966317245736718,-0.00030030866037122905,0.4915254237288136,0.5084745762711864
A,2023,8,Daily_Range_Z60,0.0008151234942488372,-0.0001919889182318002,0.3220338983050847,0.6779661016949152
A,2023,8,QQQ_Log_Return_1D,0.0020737424492836,4.420514960656874e-05,0.5423728813559322,0.4576271186440678
A,2023,8,QQQ_Log_Return_5D,0.0007176733925007284,-0.00011621008161455393,0.576271186440678,0.423728813559322
A,2023,8,QQQ_Volatility_14D,0.0014265355421230197,-0.0013532474404200912,0.07627118644067797,0.923728813559322
A,2023,9,Log_Return_1D_Z60,0.002673571929335594,0.00033219606848433614,0.5169491525423728,0.4830508474576271
A,2023,9,Log_Return_5D_Z60,0.0018214636947959661,0.0005625931080430746,0.5169491525423728,0.4830508474576271
A,2023,9,Volatility_14D_Z60,0.0007410727557726204,0.0004691912909038365,0.7796610169491526,0.22033898305084745
A,2023,9,Relative_Volume_20D_Z60,0.001083781011402607,5.5516451539006084e-05,0.6949152542372882,0.3050847457627119
A,2023,9,RSI_14_Scaled,0.001622348907403648,0.0005308666150085628,0.5932203389830508,0.4067796610169492
A,2023,9,Price_to_SMA20_Z60,0.0016353193204849958,0.0007811443065293133,0.576271186440678,0.423728813559322
A,2023,9,Intraday_Return_Z60,0.0020674625411629677,5.0554801418911666e-05,0.4406779661016949,0.559322033898305
A,2023,9,Daily_Range_Z60,0.0009922707686200738,8.750556298764423e-05,0.3644067796610169,0.635593220338983
A,2023,9,QQQ_Log_Return_1D,0.0019883494824171066,5.7985591411124915e-05,0.5169491525423728,0.4830508474576271
A,2023,9,QQQ_Log_Return_5D,0.0006795809022150934,-0.00013591932656709105,0.5677966101694916,0.4322033898305085
A,2023,9,QQQ_Volatility_14D,0.001412522979080677,-0.001358235371299088,0.06779661016949153,0.9322033898305084
A,2023,10,Log_Return_1D_Z60,0.002419246593490243,8.559667912777513e-05,0.4491525423728814,0.5508474576271186
A,2023,10,Log_Return_5D_Z60,0.001662178779952228,0.0006795494118705392,0.576271186440678,0.423728813559322
A,2023,10,Volatility_14D_Z60,0.0007168014417402446,0.00041534382035024464,0.7711864406779662,0.2288135593220339
A,2023,10,Relative_Volume_20D_Z60,0.0009579778416082263,0.0001920508948387578,0.7203389830508474,0.2796610169491525
A,2023,10,RSI_14_Scaled,0.0015782484551891685,0.0005317081813700497,0.5932203389830508,0.4067796610169492
A,2023,10,Price_to_SMA20_Z60,0.0015528749208897352,0.0007510005962103605,0.5169491525423728,0.4830508474576271
A,2023,10,Intraday_Return_Z60,0.001972438069060445,0.00010475131421117112,0.5677966101694916,0.4322033898305085
A,2023,10,Daily_Range_Z60,0.0008210914093069732,-9.330836473964155e-05,0.3474576271186441,0.652542372881356
A,2023,10,QQQ_Log_Return_1D,0.001979697495698929,0.00012179523037048057,0.5084745762711864,0.4915254237288136
A,2023,10,QQQ_Log_Return_5D,0.0006545598735101521,-8.945179433794692e-05,0.4830508474576271,0.5169491525423728
A,2023,10,QQQ_Volatility_14D,0.0014286747900769114,-0.0014017552603036165,0.059322033898305086,0.940677966101695
A,2023,11,Log_Return_1D_Z60,0.0023119288962334394,-0.0004333894466981292,0.4152542372881356,0.5847457627118644
A,2023,11,Log_Return_5D_Z60,0.0017546581802889705,0.00038857239997014403,0.4830508474576271,0.5169491525423728
A,2023,11,Volatility_14D_Z60,0.0007345362682826817,0.0004564634582493454,0.788135593220339,0.211864406779661
A,2023,11,Relative_Volume_20D_Z60,0.0007940914947539568,0.00012571974366437644,0.6694915254237288,0.3305084745762712
A,2023,11,RSI_14_Scaled,0.0015547836665064096,0.00041688329656608403,0.559322033898305,0.4406779661016949
A,2023,11,Price_to_SMA20_Z60,0.001555682742036879,0.0005632021347992122,0.4830508474576271,0.5169491525423728
A,2023,11,Intraday_Return_Z60,0.002003366593271494,0.0005061854026280344,0.6271186440677966,0.3728813559322034
A,2023,11,Daily_Range_Z60,0.0008554118685424328,-0.00010627405572449788,0.3389830508474576,0.6610169491525424
A,2023,11,QQQ_Log_Return_1D,0.00205039931461215,0.0004459439078345895,0.6186440677966102,0.3813559322033898
A,2023,11,QQQ_Log_Return_5D,0.0006404220475815237,-1.5055905350891408e-05,0.5423728813559322,0.4576271186440678
A,2023,11,QQQ_Volatility_14D,0.0014333049766719341,-0.001420640735886991,0.03389830508474576,0.9661016949152542
A,2023,12,Log_Return_1D_Z60,0.0025426186621189117,3.7998070183675736e-05,0.5169491525423728,0.4830508474576271
A,2023,12,Log_Return_5D_Z60,0.0016597914509475231,0.00035050351289100945,0.4830508474576271,0.5169491525423728
A,2023,12,Volatility_14D_Z60,0.0007477308390662074,0.0005078284884802997,0.7796610169491526,0.22033898305084745
A,2023,12,Relative_Volume_20D_Z60,0.000780291564296931,0.00025159906363114715,0.6440677966101694,0.3559322033898305
A,2023,12,RSI_14_Scaled,0.0014662673929706216,0.00046376808313652873,0.576271186440678,0.423728813559322
A,2023,12,Price_to_SMA20_Z60,0.001477008918300271,0.0005360975628718734,0.4830508474576271,0.5169491525423728
A,2023,12,Intraday_Return_Z60,0.0021302378736436367,-0.00016198160301428288,0.5,0.5
A,2023,12,Daily_Range_Z60,0.0007806511130183935,5.187501301406883e-06,0.3898305084745763,0.6101694915254238
