Variant,Sequence_Step,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,16,Intraday_Return_Z60,0.002947500819573179,0.001826976006982419,-1.644246731302701e-05,4,1.0
A,15,Intraday_Return_Z60,0.0028332780057098716,0.0015117820596603306,0.0002456287888890074,4,1.0
A,12,Intraday_Return_Z60,0.00282931697438471,0.001415630265708544,0.00016000478717614897,4,1.0
A,15,Log_Return_1D_Z60,0.0027157700096722692,0.001370219452041348,6.374711665557697e-05,4,1.0
A,27,Log_Return_1D_Z60,0.002711687528062612,0.0014164803205518905,-1.1770498531404883e-06,4,1.0
A,13,Intraday_Return_Z60,0.0027044247835874557,0.0015728652698745536,0.00013299060992721934,4,1.0
A,28,Intraday_Return_Z60,0.0026767789386212826,0.001111514800557462,0.00030770048033446074,4,1.0
A,21,Log_Return_1D_Z60,0.002656184253282845,0.0014208667324277363,-0.00015203014481812716,4,1.0
A,10,Log_Return_1D_Z60,0.0026503523986320943,0.0012205910341470125,0.0001919066908158129,4,1.0
A,20,Intraday_Return_Z60,0.002639485348481685,0.0011775532394617352,0.00026119495669263415,4,1.0
A,16,Log_Return_1D_Z60,0.0026352415152359754,0.0009246560079501173,-4.362106847111136e-05,4,1.0
A,10,Intraday_Return_Z60,0.0026338701136410236,0.0013875572279229732,0.0003086626726371833,4,1.0
A,9,Intraday_Return_Z60,0.002633200347190723,0.0012996404042867572,0.00017252669704248547,4,1.0
A,14,Intraday_Return_Z60,0.0026244790642522275,0.0016070616098247262,5.4015690352571255e-05,4,1.0
A,24,Intraday_Return_Z60,0.0026122004783246666,0.001385245120777845,0.0002549871442170115,4,1.0
A,30,Log_Return_1D_Z60,0.0026069433661177754,0.0010210706349281994,5.408741344581358e-05,4,1.0
A,30,Price_to_SMA20_Z60,0.0026055913767777383,0.0008947363759941395,-4.8705245717428625e-05,4,1.0
A,22,Intraday_Return_Z60,0.002599715837277472,0.0012375686225932622,0.00023305389186134562,4,1.0
A,12,Log_Return_1D_Z60,0.0025892052508424968,0.0008560866994472116,0.00010733218086045326,4,1.0
A,2,Intraday_Return_Z60,0.0025888581876643,0.0012741005373200782,0.00020566940111166332,4,1.0
A,4,Log_Return_1D_Z60,0.002581241918960586,0.0009740823604755777,-0.0001653610943321837,4,1.0
A,4,Intraday_Return_Z60,0.0025795456604100764,0.0014350092615097276,-0.00013807200230075978,4,1.0
A,21,Intraday_Return_Z60,0.002576807455625385,0.0013456702825190223,4.2911924538202584e-05,4,1.0
A,11,Intraday_Return_Z60,0.002558334555942565,0.001219048967148606,0.00028637476862058975,4,1.0
A,27,Intraday_Return_Z60,0.002555254293838516,0.0008846694276480421,0.0001407809068041388,4,1.0
A,28,Log_Return_1D_Z60,0.00255501497304067,0.0011748431509735668,0.00014500105680781417,4,1.0
A,3,Intraday_Return_Z60,0.0025486709200777113,0.0013942936027934376,-2.7608743266682723e-05,4,1.0
A,26,Log_Return_1D_Z60,0.0025447423104196787,0.0012366057855219702,0.0002122622317983769,4,1.0
A,27,Price_to_SMA20_Z60,0.0025357164558954537,0.0009080385321779079,0.00022408968334275414,4,1.0
A,8,Intraday_Return_Z60,0.0025218645168934017,0.001287047633235296,-0.00016882809904927853,4,1.0
A,11,Log_Return_1D_Z60,0.0025163931713905185,0.001066888190202786,5.4612148232990876e-05,4,1.0
A,13,Log_Return_1D_Z60,0.002514178690034896,0.0010543151127491075,-0.00016316941400873475,4,1.0
A,9,Log_Return_1D_Z60,0.0025077808822970837,0.0009351931358558727,8.402054481848609e-05,4,1.0
A,22,Log_Return_1D_Z60,0.0025036391452886164,0.0010282312872279982,0.00017382479563821107,4,1.0
A,13,Daily_Range_Z60,0.002501086884876713,0.0011887231612180249,0.0005812339259136934,4,1.0
A,17,Intraday_Return_Z60,0.0024997520667966455,0.001257233873623449,-8.85238841874525e-06,4,1.0
A,18,Intraday_Return_Z60,0.00249538678326644,0.0011184915454098819,0.0001789351699699182,4,1.0
A,13,Price_to_SMA20_Z60,0.0024834070645738393,0.0010310746991156947,0.0005119293200550601,4,1.0
A,1,Log_Return_1D_Z60,0.0024730333243496716,0.0009569374733707401,3.724056477949489e-05,4,1.0
A,17,Price_to_SMA20_Z60,0.002470866107614711,0.0010282265660825532,0.00044884270391776226,4,1.0
A,1,Intraday_Return_Z60,0.002470742561854422,0.0010957101594349181,-6.113131894380786e-05,4,1.0
A,7,Intraday_Return_Z60,0.0024641956260893494,0.0012094715191017205,0.00011571648428798653,4,1.0
A,5,Log_Return_1D_Z60,0.0024514853139407933,0.0009950780973218172,-4.416544470586814e-05,4,1.0
A,19,Price_to_SMA20_Z60,0.002449038060149178,0.0009301166891013235,0.0003818741242866963,4,1.0
A,26,Price_to_SMA20_Z60,0.0024485402391292155,0.0008444195718322902,0.00023011585290078074,4,1.0
A,19,Intraday_Return_Z60,0.00244617264252156,0.0012255668921045538,0.00014304523574537598,4,1.0
A,23,Log_Return_1D_Z60,0.002444597950670868,0.0011715573721209063,3.088089215452783e-06,4,1.0
A,18,Price_to_SMA20_Z60,0.0024444631417281926,0.0008678456526076257,0.0004245412601449061,4,1.0
A,14,Price_to_SMA20_Z60,0.0024442925059702247,0.0010961783021530207,0.000403135152168943,4,1.0
A,2,Price_to_SMA20_Z60,0.0024421959824394435,0.0009618242763295975,0.0001895681448331743,4,1.0
A,20,Log_Return_1D_Z60,0.002439769363263622,0.0011271494177518256,-4.740262920677196e-05,4,1.0
A,12,Price_to_SMA20_Z60,0.002437035698676482,0.000912118881590669,0.0004414968616401893,4,1.0
A,15,Price_to_SMA20_Z60,0.002432991488603875,0.0009952480064813858,0.0003998146048616036,4,1.0
A,6,Price_to_SMA20_Z60,0.0024324046971742064,0.0007304793693548105,0.0005745667112933006,4,1.0
A,26,Intraday_Return_Z60,0.002431009052088484,0.0008531340204802446,0.00037117356396265677,4,1.0
A,6,Log_Return_1D_Z60,0.0024304072721861303,0.0010103884369356002,-8.715715921425726e-05,4,1.0
A,1,Price_to_SMA20_Z60,0.0024262126244138926,0.000890641741089672,7.151548925321549e-05,4,1.0
A,21,Price_to_SMA20_Z60,0.002425558603135869,0.0008424444843657899,0.0003440353466430679,4,1.0
A,23,Intraday_Return_Z60,0.002425456536002457,0.0011759714433591847,4.203591652185423e-05,4,1.0
A,8,Log_Return_1D_Z60,0.0024251979775726795,0.0009616139319292009,-5.3161535106482916e-05,4,1.0
A,5,Intraday_Return_Z60,0.0024236763129010797,0.001202047518990186,-0.0001011445237963926,4,1.0
A,25,Log_Return_1D_Z60,0.0024231481074821204,0.0012517972294068147,5.069811027169635e-05,4,1.0
A,28,Price_to_SMA20_Z60,0.0024196909507736564,0.0008297326175309852,4.199410250294022e-05,4,1.0
A,29,Price_to_SMA20_Z60,0.0024182763881981373,0.0008644873737933042,-2.0249623048584908e-05,4,1.0
A,22,Price_to_SMA20_Z60,0.002411850990029052,0.0008546726726650983,0.0002821541056619026,4,1.0
A,16,Price_to_SMA20_Z60,0.0024079462746158242,0.0009478013738199953,0.00039784979071555426,4,1.0
A,30,Intraday_Return_Z60,0.002407389401923865,0.0009072236910067399,0.00010521959961806715,4,1.0
A,3,Price_to_SMA20_Z60,0.002404867089353502,0.0009438129232924984,0.00028843731661254424,4,1.0
A,25,Price_to_SMA20_Z60,0.0024042573058977723,0.0009165210270558642,0.00025527885554765817,4,1.0
A,30,Relative_Volume_20D_Z60,0.002401161997113377,0.001144694276140082,0.00030651196339270825,4,1.0
A,20,Price_to_SMA20_Z60,0.0024001845449674875,0.0009002569139072096,0.00035302003379911184,4,1.0
A,29,Log_Return_1D_Z60,0.0023933258780743927,0.001034929840253615,0.00013378997391555458,4,1.0
A,17,Log_Return_1D_Z60,0.002388945023994893,0.0009639090826006343,0.00019401783856665133,4,1.0
A,24,Log_Return_1D_Z60,0.0023841316578909755,0.0010532698709584424,-0.00011025185585822328,4,1.0
A,18,Log_Return_1D_Z60,0.0023759393952786922,0.0010669364389775283,0.00013574927288573235,4,1.0
A,5,Price_to_SMA20_Z60,0.0023738741292618215,0.0007925205164704328,0.0005519462574739009,4,1.0
A,23,Price_to_SMA20_Z60,0.002355140633881092,0.0008538431811991955,0.0002240983121737372,4,1.0
A,11,Price_to_SMA20_Z60,0.002352587936911732,0.0008458833238673,0.0005161111375855398,4,1.0
A,4,Price_to_SMA20_Z60,0.002350050344830379,0.0008412937664066243,0.0005239231227278651,4,1.0
A,2,Log_Return_1D_Z60,0.0023453804606106132,0.0009862383786556658,4.9995447625406086e-05,4,1.0
A,24,Price_to_SMA20_Z60,0.002338725869776681,0.0008824286346642687,0.0002990835564560257,4,1.0
A,29,Intraday_Return_Z60,0.002333830954739824,0.0007755891231859418,0.00024221245985245332,4,1.0
A,3,Log_Return_1D_Z60,0.002321266772923991,0.0008133076619064459,0.00012002676839983906,4,1.0
A,25,Intraday_Return_Z60,0.0023058202932588756,0.00084037351202144,0.0001596336005604826,4,1.0
A,7,Log_Return_1D_Z60,0.002305606583831832,0.0011182838252562079,-3.667887540359516e-05,4,1.0
A,9,Price_to_SMA20_Z60,0.002302325941855088,0.000695052098552344,0.0006970439826545771,4,1.0
A,15,Daily_Range_Z60,0.0022879781754454598,0.0010482985886572796,0.0002453538490954088,4,1.0
A,6,Intraday_Return_Z60,0.002284957387018949,0.0009310606180217626,-0.00012529068771982566,4,1.0
A,10,Price_to_SMA20_Z60,0.00227350031491369,0.0007198878004835754,0.0006203186694619944,4,1.0
A,27,Daily_Range_Z60,0.002271747594932094,0.0008743293461414287,0.00011873543280671583,4,1.0
A,7,Price_to_SMA20_Z60,0.002260718116303906,0.0006481629279589821,0.000624715803496656,4,1.0
A,12,Daily_Range_Z60,0.002259708140627481,0.0010410892978048793,0.00022186341846008872,4,1.0
A,14,Log_Return_1D_Z60,0.0022490691917482764,0.0009236657732752016,0.00029981065199535806,4,1.0
A,8,Price_to_SMA20_Z60,0.002239934867247939,0.000708498009321542,0.0006052852058928693,4,1.0
A,16,Daily_Range_Z60,0.002185303019359708,0.0010378043757775777,0.0004224619879096281,4,1.0
A,19,Log_Return_1D_Z60,0.002183458665967919,0.001029172761326911,-7.224902492453111e-05,4,1.0
A,18,Daily_Range_Z60,0.0021699153003282845,0.0008222527575462839,0.00026341723719269794,4,1.0
A,24,Daily_Range_Z60,0.0021541295282077044,0.0008681446449795714,0.0001261845391127281,4,1.0
A,23,Daily_Range_Z60,0.002151842723833397,0.0008371066290124085,7.797209661930538e-05,4,1.0
A,30,Daily_Range_Z60,0.002147869163309224,0.001022455432194796,0.0002539371089369524,4,1.0
A,25,Daily_Range_Z60,0.0021471467043738812,0.0008393576816868665,0.00014757826374989236,4,1.0
A,14,Daily_Range_Z60,0.002143540230463259,0.0010214394352085561,0.00016502875496371416,4,1.0
A,17,Daily_Range_Z60,0.0021408553002402186,0.0008645043905306616,2.2095584427006543e-05,4,1.0
A,3,Daily_Range_Z60,0.002138626776286401,0.0009469206726726123,0.00014807088518864475,4,1.0
A,9,Daily_Range_Z60,0.0021355138742364943,0.0008185888438784956,0.00017269732597924303,4,1.0
A,20,Daily_Range_Z60,0.002128807216649875,0.001056704253261086,0.00019804601834039204,4,1.0
A,5,Daily_Range_Z60,0.002119419237715192,0.0009679010529336742,-1.751251329551451e-05,4,1.0
A,21,Daily_Range_Z60,0.0021180527546675876,0.0008977464360412988,0.00012566938312374987,4,1.0
A,28,Daily_Range_Z60,0.002114376111421734,0.0007762966953582839,0.00027897222935280297,4,1.0
A,10,Daily_Range_Z60,0.0021111310488777235,0.0008878155053659699,0.0001736952744977316,4,1.0
A,4,Daily_Range_Z60,0.0021103771432535723,0.0009153992686700519,6.980805028433679e-05,4,1.0
A,6,Daily_Range_Z60,0.002087211483740248,0.0009178387990326969,-6.147597923700232e-05,4,1.0
A,8,Daily_Range_Z60,0.0020868432184215635,0.0009442205232039284,3.961457196055562e-06,4,1.0
A,26,Daily_Range_Z60,0.002055880249827169,0.0008274177328010287,2.1013007426518016e-05,4,1.0
A,2,RSI_14_Scaled,0.0020521437836578116,0.001662629938522752,0.00032383593133999966,4,1.0
A,1,RSI_14_Scaled,0.0020336918823886663,0.0016007720788163704,0.00026585835439618677,4,1.0
A,7,Daily_Range_Z60,0.002030547198955901,0.0009428554471508473,-0.00011158647248521447,4,1.0
A,1,Daily_Range_Z60,0.0020274553971830755,0.0008761983116882588,0.0001324096865573665,4,1.0
A,22,Daily_Range_Z60,0.0020263444166630507,0.0009403024445357757,-1.6470673017465742e-05,4,1.0
A,13,RSI_14_Scaled,0.0020259453740436584,0.0015904851988591722,0.0004488854647206608,4,1.0
A,11,Daily_Range_Z60,0.0020182298903819174,0.0008121371783195451,7.996237582119647e-05,4,1.0
A,6,RSI_14_Scaled,0.002009931704378687,0.0013504059285554349,0.00030499153854179895,4,1.0
