Variant,Feature,Mean_Abs_IG,Std_Abs_IG_Across_Folds,Mean_IG,N_Folds,Presence_Rate
A,Ticker_INTC,0.0034827518,0.0021513477,-0.00081740273,4,1.0
A,Ticker_TSLA,0.0025412359,0.0020303363,-0.0025412359,4,1.0
A,Ticker_NFLX,0.002139523,0.0021327857,-0.0020346707,4,1.0
A,Ticker_ADBE,0.0020533572,0.0014246622,0.0020233814,4,1.0
A,Ticker_AVGO,0.0019642445,0.00089705415,-0.0019107464,4,1.0
A,Ticker_AMZN,0.0018321135,0.00056203146,0.00018027122,4,1.0
A,Ticker_AMD,0.0018115574,0.000971434,-0.00060478895,4,1.0
A,Ticker_QCOM,0.0015696554,0.00069191575,0.00023029365,4,1.0
A,Ticker_AAPL,0.00155256,0.0005587599,0.00046012687,4,1.0
A,Ticker_GOOGL,0.0013906561,0.0009558876,0.0003461216,4,1.0
A,Ticker_NVDA,0.0012925589,0.0011624963,0.00097042567,4,1.0
A,Ticker_MSFT,0.0011340699,0.0009825119,0.0008035793,4,1.0
A,Ticker_META,0.00092606316,0.00076879276,-0.00074599934,4,1.0
B,Has_EX99,0.022143327,0.016626818,-0.02168461,4,1.0
B,Has_Item_2_02,0.015430485,0.010667149,-0.008974208,4,1.0
B,Has_Event_Earnings,0.0153857265,0.016651582,-0.011857641,4,1.0
B,Has_Event_Guidance,0.0049330983,0.005100597,0.003748716,4,1.0
B,Has_Item_5_02,0.004793872,0.004936218,0.0030106553,4,1.0
B,Has_Item_5_07,0.00466427,0.0029123828,0.00044356094,4,1.0
B,Ticker_AMZN,0.0032745805,0.003668577,-0.0019783936,4,1.0
B,Has_Item_7_01,0.0031747143,0.0024702924,-0.0029375826,4,1.0
B,Ticker_QCOM,0.0026491992,0.001027525,0.0012497851,4,1.0
B,Has_Item_8_01,0.0026262829,0.0017806273,-0.0013940765,4,1.0
B,Ticker_AMD,0.0023238882,0.0019196651,-0.0021925713,4,1.0
B,Ticker_GOOGL,0.0019944652,0.0009896272,0.00033753103,4,1.0
B,Ticker_INTC,0.0019758553,0.0022012275,-0.00091037055,4,1.0
B,Has_Item_1_01,0.0019617407,0.0016007209,0.0014258169,4,1.0
B,Ticker_AVGO,0.0018629916,0.0010552118,-0.0008538628,4,1.0
B,Ticker_TSLA,0.0017883749,0.0015678888,0.0003952423,4,1.0
B,Ticker_MSFT,0.001644106,0.0006206859,0.0005041139,4,1.0
B,Ticker_NVDA,0.0015250212,0.0008699237,0.00049730524,4,1.0
B,Has_Event_Buyback,0.001520109,0.00085178844,-0.0014547374,4,1.0
B,Ticker_AAPL,0.0014858383,0.00096679665,0.0013568993,4,1.0
B,Ticker_META,0.0014142503,0.0016756265,-0.0010307073,4,1.0
B,Has_Item_5_03,0.0013356807,0.0009959561,0.0009820119,4,1.0
B,Ticker_ADBE,0.0011398176,0.0006675921,-0.0008514031,4,1.0
B,Ticker_NFLX,0.0009770279,0.0004376257,-0.00052861375,4,1.0
B,Has_Item_2_03,0.00059837475,0.0006178198,0.00022412556,4,1.0
B,Has_Item_2_01,0.00026765742,0.00046359628,0.00026765742,3,0.75
B,Has_Item_1_02,0.000261698,7.194124e-05,3.5366083e-05,4,1.0
C,Has_EX99,0.022930272,0.019959347,-0.014339691,4,1.0
C,Has_Sentiment_History,0.02197043,0.03167754,-0.017167622,4,1.0
C,Mean_Net_Sentiment,0.020849973,0.020707296,0.00028785993,4,1.0
C,Sentiment_Momentum_3,0.011465934,0.0066616265,0.0011911856,4,1.0
C,Has_Event_Earnings,0.010185384,0.008805558,-0.009265579,4,1.0
C,Has_Item_2_02,0.0090497695,0.0029845797,-0.0021900814,4,1.0
C,Has_Event_Guidance,0.008380741,0.0026541953,0.00022635609,4,1.0
C,Has_Item_5_02,0.004052731,0.0029721488,-0.00064363866,4,1.0
C,Has_Item_8_01,0.003947572,0.0019088761,-0.0013422199,4,1.0
C,Ticker_AMZN,0.0033707675,0.0019139289,-0.0033707675,4,1.0
C,Ticker_META,0.0032314057,0.0021655033,-0.0021677155,4,1.0
C,Has_Item_1_01,0.0030168851,0.0012338202,0.00092405634,4,1.0
C,Ticker_NVDA,0.0027330783,0.0011475118,0.0004470055,4,1.0
C,Ticker_AAPL,0.0026345958,0.002633359,0.0026345958,4,1.0
C,Ticker_INTC,0.0025740429,0.0014622927,0.00026553855,4,1.0
C,Ticker_MSFT,0.0023780058,0.0013497119,0.0023780058,4,1.0
C,Has_Item_7_01,0.002150821,0.0019140659,0.0014189224,4,1.0
C,Has_Item_5_07,0.002005585,0.0012676066,-0.0019282,4,1.0
C,Ticker_AMD,0.0018724569,0.0012100169,0.0006878467,4,1.0
C,Has_Item_5_03,0.0018402169,0.0014828268,0.0012276339,4,1.0
C,Ticker_ADBE,0.0015591986,0.00047260974,0.0007058844,4,1.0
C,Ticker_QCOM,0.0014313767,0.0008436116,0.0012777657,4,1.0
C,Ticker_AVGO,0.0012065211,0.0012708616,-0.00064282486,4,1.0
C,Ticker_GOOGL,0.001170734,0.0005191791,-0.0006480401,4,1.0
C,Ticker_NFLX,0.0010562881,0.00068442436,0.0009930829,4,1.0
C,Has_Event_Buyback,0.00095438224,3.8405964e-05,1.44238875e-05,4,1.0
C,Ticker_TSLA,0.00082472357,0.00030250888,-0.0005020996,4,1.0
C,Has_Item_2_03,0.000404471,0.00028719223,0.00038525608,4,1.0
C,Has_Item_2_01,0.00019644224,0.00034024793,-0.00019644224,3,0.75
C,Has_Item_1_02,0.00012965481,0.00010207595,-5.6220473e-05,4,1.0
