Feature,Feature_Value,SHAP_Value,Abs_SHAP_Value,Direction,Rank
market__Stock_vs_QQQ_1D,0.0346384666924221,-0.4499707520008087,0.4499707520008087,toward_class_0,1
market__Daily_Range,0.0535893306708417,-0.43232104182243347,0.43232104182243347,toward_class_0,2
market__QQQ_Volatility_14D,0.0103074200073743,-0.3772016167640686,0.3772016167640686,toward_class_0,3
sentiment__Mean_Net_Sentiment,-0.0133992368919582,-0.30700990557670593,0.30700990557670593,toward_class_0,4
market__QQQ_Log_Return_5D,-0.0379038550350836,-0.28315186500549316,0.28315186500549316,toward_class_0,5
market__Intraday_Return,0.0423487928082466,0.27558207511901855,0.27558207511901855,toward_class_1,6
market__RSI_14,45.00449033026995,-0.2571622431278229,0.2571622431278229,toward_class_0,7
market__Stock_vs_QQQ_5D,-0.0321821408899844,0.25303003191947937,0.25303003191947937,toward_class_1,8
market__Volatility_14D,0.0255886710708226,-0.22270198166370392,0.22270198166370392,toward_class_0,9
market__QQQ_Log_Return_1D,0.0030130333266092,-0.09749685227870941,0.09749685227870941,toward_class_0,10
sentiment__Sentiment_Momentum_3,-0.2598599631641191,-0.07331103831529617,0.07331103831529617,toward_class_0,11
market__Stock_vs_QQQ_3D,0.0397114293258307,0.03133467584848404,0.03133467584848404,toward_class_1,12
binary__Has_Event_Earnings,1.0,-0.030919892713427544,0.030919892713427544,toward_class_0,13
binary__Has_Item_8_01,1.0,-0.027333060279488564,0.027333060279488564,toward_class_0,14
market__Relative_Volume_20D,1.0531321951268895,0.018788153305649757,0.018788153305649757,toward_class_1,15
market__Price_to_SMA20,-0.0263183669106636,0.013992877677083015,0.013992877677083015,toward_class_1,16
binary__Has_EX99,0.0,0.012560229748487473,0.012560229748487473,toward_class_1,17
market__QQQ_Log_Return_3D,-0.0214182992143599,0.00658131018280983,0.00658131018280983,toward_class_1,18
binary__Has_Item_2_02,0.0,0.0036917678080499172,0.0036917678080499172,toward_class_1,19
ticker__Ticker_INTC,0.0,0.0,0.0,neutral,20
ticker__Ticker_GOOGL,0.0,0.0,0.0,neutral,21
ticker__Ticker_AAPL,0.0,0.0,0.0,neutral,22
ticker__Ticker_ADBE,0.0,0.0,0.0,neutral,23
ticker__Ticker_AMD,0.0,0.0,0.0,neutral,24
ticker__Ticker_AMZN,0.0,0.0,0.0,neutral,25
ticker__Ticker_AVGO,0.0,0.0,0.0,neutral,26
ticker__Ticker_TSLA,0.0,0.0,0.0,neutral,27
ticker__Ticker_QCOM,0.0,0.0,0.0,neutral,28
ticker__Ticker_NVDA,1.0,0.0,0.0,neutral,29
ticker__Ticker_NFLX,0.0,0.0,0.0,neutral,30
ticker__Ticker_MSFT,0.0,0.0,0.0,neutral,31
ticker__Ticker_META,0.0,0.0,0.0,neutral,32
binary__Has_Event_Buyback,0.0,0.0,0.0,neutral,33
binary__Has_Event_Guidance,0.0,0.0,0.0,neutral,34
binary__Has_Item_2_03,0.0,0.0,0.0,neutral,35
binary__Has_Item_1_02,0.0,0.0,0.0,neutral,36
binary__Has_Item_1_01,0.0,0.0,0.0,neutral,37
binary__Has_Item_5_02,0.0,0.0,0.0,neutral,38
binary__Has_Item_7_01,0.0,0.0,0.0,neutral,39
binary__Has_Item_5_07,0.0,0.0,0.0,neutral,40
binary__Has_Item_5_03,0.0,0.0,0.0,neutral,41
binary__Has_Sentiment_History,1.0,0.0,0.0,neutral,42
