Variant,Feature,Mean_BA_Drop,Std_BA_Drop_Across_Folds,Mean_AUC_Drop,Std_AUC_Drop_Across_Folds,Positive_BA_Folds,Positive_AUC_Folds,N_Folds,Presence_Rate,Positive_AUC_Rate,Positive_BA_Rate
A,QQQ_Log_Return_3D,0.01497283037047625,0.00337627806761906,0.013880954740511398,0.020009321306451347,4,3,4,1.0,0.75,1.0
A,Relative_Volume_20D,0.004329170696643717,0.0327021640551174,0.005191356774166645,0.02872410842835596,2,3,4,1.0,0.75,0.5
A,Daily_Range,0.005333327940055532,0.04130390185215444,0.00474697242357123,0.017357974677539745,2,3,4,1.0,0.75,0.5
A,Stock_vs_QQQ_5D,-0.0037565609786462013,0.029987941138891396,0.0017345256653356934,0.026909065407871063,3,3,4,1.0,0.75,0.75
A,Volatility_14D,0.009127909879376356,0.015098765628298254,0.0009643259204227552,0.011162818941254796,3,2,4,1.0,0.5,0.75
A,Ticker,-0.00818286397209517,0.01054329480190794,-0.0005524557504027268,0.005278033136130129,0,1,4,1.0,0.25,0.0
A,Price_to_SMA20,0.0020784905443854904,0.020989909566016277,-0.0012886141276013873,0.027447330170033608,2,2,4,1.0,0.5,0.5
A,QQQ_Log_Return_1D,0.0020504076906044484,0.018927448694469367,-0.003059571674864474,0.039323202762888185,2,1,4,1.0,0.25,0.5
A,Stock_vs_QQQ_1D,-0.007899993292110694,0.014490572695188716,-0.004825841733363569,0.011197289414757106,1,1,4,1.0,0.25,0.25
A,QQQ_Volatility_14D,-0.005564722105367854,0.014171687596337773,-0.005285305295479744,0.011786328132260004,2,2,4,1.0,0.5,0.5
A,QQQ_Log_Return_5D,-0.00799001106895365,0.02252188961378413,-0.010096629298742076,0.005215776742642923,2,0,4,1.0,0.0,0.5
A,RSI_14,-0.009110935117968944,0.028081892109640346,-0.015427311012054605,0.04064655720714087,1,1,4,1.0,0.25,0.25
A,Stock_vs_QQQ_3D,-0.004785713986087729,0.007724837126483189,-0.016692143069128668,0.012247962841350112,2,0,4,1.0,0.0,0.5
A,Intraday_Return,-0.0053907516109421095,0.03580796551839945,-0.017152831223662856,0.017296396731844896,2,1,4,1.0,0.25,0.5
B,QQQ_Log_Return_3D,0.028358395970262636,0.028106006441200083,0.025726196356361433,0.021274722652126633,4,4,4,1.0,1.0,1.0
B,Stock_vs_QQQ_5D,0.008595735100770377,0.0184448106737468,0.011327931029265128,0.030230023277162073,2,3,4,1.0,0.75,0.5
B,Daily_Range,0.010756842159432465,0.03405483107662682,0.008068214983095082,0.017952877295795557,3,2,4,1.0,0.5,0.75
B,QQQ_Log_Return_1D,0.009084617176900688,0.02687588042588407,0.0080052673597628,0.017469424420107845,2,3,4,1.0,0.75,0.5
B,Price_to_SMA20,0.003705403940778198,0.030971154975663866,0.0065946167821427475,0.025531731288534646,2,2,4,1.0,0.5,0.5
