Variant,Feature,Mean_Abs_SHAP,Std_Abs_SHAP_Across_Folds,Mean_SHAP,Mean_Positive_Share,Mean_Negative_Share,N_Folds,Presence_Rate
A,market__RSI_14,0.2540940445161179,0.03407074468573906,-0.005093144867095797,0.39964740918061287,0.6003525908193872,4,1.0
A,market__QQQ_Log_Return_1D,0.2510786128497638,0.024707347806570468,-0.03809084171481089,0.33062626014348717,0.6693737398565128,4,1.0
A,market__Stock_vs_QQQ_5D,0.23491678605056027,0.014398819210374999,0.018669319999027694,0.39873379179401686,0.6012662082059832,4,1.0
A,market__Daily_Range,0.19609841926368068,0.04959225902003954,0.011252947598133455,0.6850880141207316,0.3149119858792685,4,1.0
A,market__Relative_Volume_20D,0.18417904086693349,0.008281419218913155,-0.021698655824610193,0.5229413708223795,0.47705862917762054,4,1.0
A,market__Stock_vs_QQQ_1D,0.18261188394496597,0.04462012367913448,-0.0028594676354564384,0.5787202908927693,0.42127970910723067,4,1.0
A,market__QQQ_Log_Return_3D,0.1760381451593722,0.049613206565705184,-0.014288483524146071,0.32752833764364747,0.6724716623563526,4,1.0
A,market__QQQ_Volatility_14D,0.16240816788422358,0.058065857562944814,-0.11125741006452072,0.21239386296763346,0.7876061370323666,4,1.0
A,market__Price_to_SMA20,0.15479224490816415,0.03869737862388124,-0.012997814094364077,0.5024298950563191,0.4975701049436809,4,1.0
A,market__Volatility_14D,0.150742791691988,0.011259435631821397,0.008168314001435615,0.4364021523072648,0.5635978476927351,4,1.0
A,market__Stock_vs_QQQ_3D,0.14539715069514242,0.02170117828625796,-0.003876197263458693,0.4498723113970405,0.5501276886029596,4,1.0
A,market__Intraday_Return,0.13955839412320056,0.044006670986434904,-0.008498287022814705,0.5318528562064961,0.4681471437935039,4,1.0
A,market__QQQ_Log_Return_5D,0.11489613532389034,0.02256564127119874,0.0025685150802835077,0.5719723961784257,0.42802760382157434,4,1.0
A,ticker__Ticker_INTC,0.04366001759210567,0.03735271190572716,-0.0023832995123456977,0.6520549600672552,0.09794503993274485,4,1.0
A,ticker__Ticker_MSFT,0.012532318002269723,0.015796750388529283,-0.004441802775761924,0.022948717948717952,0.47705128205128206,4,1.0
A,ticker__Ticker_GOOGL,0.003748336595330889,0.007496673190661778,-0.001125497328198085,0.21875,0.03125,4,1.0
A,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_AMZN,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_AVGO,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_META,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_NFLX,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_NVDA,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_QCOM,0.0,0.0,0.0,0.0,0.0,4,1.0
A,ticker__Ticker_TSLA,0.0,0.0,0.0,0.0,0.0,4,1.0
B,market__RSI_14,0.24636265404939717,0.0408682497041518,0.00165475113695248,0.37088006996245393,0.6291199300375461,4,1.0
B,market__QQQ_Log_Return_1D,0.2390594229775639,0.05494009412719346,-0.03674422771480873,0.35687543192197263,0.6431245680780274,4,1.0
B,market__Stock_vs_QQQ_5D,0.21778682374897645,0.01359722074509079,0.02679299465795123,0.40265592828492247,0.5973440717150775,4,1.0
B,market__Stock_vs_QQQ_1D,0.21091549812799643,0.059037976240936055,0.012323630490167336,0.639210206182629,0.3607897938173709,4,1.0
B,market__Daily_Range,0.2002691595374271,0.04656479210686992,0.013330181029314518,0.6877354464559243,0.3122645535440756,4,1.0
B,market__QQQ_Volatility_14D,0.18905807218163356,0.0627085903020871,-0.12370851902081524,0.28170829147697724,0.7182917085230227,4,1.0
B,market__Volatility_14D,0.16769930916039194,0.01568218736311835,0.008989900908201036,0.4332954934062881,0.566704506593712,4,1.0
B,market__Price_to_SMA20,0.16656600322367687,0.0344148277434409,-0.012481884332699077,0.5009394525544845,0.49906054744551553,4,1.0
B,market__Relative_Volume_20D,0.16532711665729752,0.01656997210435119,-0.025636886231408862,0.504595284658844,0.49540471534115604,4,1.0
B,market__QQQ_Log_Return_3D,0.14894292875679108,0.044927739868849126,-0.013184304631622352,0.3811035294704369,0.6188964705295631,4,1.0
B,market__Stock_vs_QQQ_3D,0.13396995647314514,0.04698804121685008,-0.014664519437331968,0.44873443299777005,0.55126556700223,4,1.0
B,market__Intraday_Return,0.12907066889196359,0.047711190090278036,-0.016089800527093485,0.5238809213385485,0.47611907866145153,4,1.0
B,market__QQQ_Log_Return_5D,0.1058466291580216,0.014231469009407284,0.00484494400612168,0.5628769654676156,0.4371230345323843,4,1.0
B,binary__Has_EX99,0.07409626152866826,0.04157461030974122,0.004301046840268413,0.441694389823384,0.558305610176616,4,1.0
B,ticker__Ticker_INTC,0.0393653894450072,0.03848104504324473,-0.0022235275303994664,0.6520549600672552,0.09794503993274485,4,1.0
B,binary__Has_Item_7_01,0.015590650150211318,0.015730012324585325,-0.0009371449669701498,0.10149642707019757,0.6485035729298024,4,1.0
B,binary__Has_Event_Earnings,0.01277921603501339,0.009937102982884949,-0.0007668168712465428,0.3798938540620258,0.3701061459379742,4,1.0
B,ticker__Ticker_MSFT,0.012201286058825178,0.018160436111421128,-0.004408814367623284,0.022948717948717952,0.47705128205128206,4,1.0
B,binary__Has_Item_2_02,0.009993978007886041,0.007235473342832529,-0.000702090028985622,0.44455780095610603,0.30544219904389397,4,1.0
B,binary__Has_Item_8_01,0.008255422519884847,0.006205012853163812,0.0013586529565528444,0.41633560070104947,0.33366439929895053,4,1.0
B,binary__Has_Item_1_01,0.008169835843683148,0.010858254345858045,-0.0005866748396044549,0.03849358974358974,0.46150641025641026,4,1.0
B,binary__Has_Item_5_02,0.005743143412641176,0.007691310113690924,0.0007418835252213446,0.37255674653215637,0.12744325346784363,4,1.0
B,binary__Has_Event_Guidance,0.005389650108255817,0.00657506184935764,-0.00019979059320997152,0.31584093872229463,0.18415906127770534,4,1.0
B,binary__Has_Item_5_07,0.0025720927078509703,0.005144185415701941,-0.0002605234521279971,0.22355769230769232,0.026442307692307692,4,1.0
B,binary__Has_Event_Buyback,0.0,0.0,0.0,0.0,0.0,4,1.0
B,binary__Has_Item_1_02,0.0,0.0,0.0,0.0,0.0,4,1.0
B,binary__Has_Item_2_01,0.0,0.0,0.0,0.0,0.0,3,0.75
B,binary__Has_Item_2_03,0.0,0.0,0.0,0.0,0.0,4,1.0
B,binary__Has_Item_5_03,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_AAPL,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_ADBE,0.0,0.0,0.0,0.0,0.0,4,1.0
B,ticker__Ticker_AMD,0.0,0.0,0.0,0.0,0.0,4,1.0
