Test_Year,Model,Feature,Importance
2023,CAT A - MARKET,QQQ_Log_Return_1D,12.043354878580017
2023,CAT A - MARKET,RSI_14,10.875122614037922
2023,CAT A - MARKET,Ticker,8.823438458028495
2023,CAT A - MARKET,Stock_vs_QQQ_5D,7.562570215268455
2023,CAT A - MARKET,Volatility_14D,7.539151992761773
2023,CAT A - MARKET,Relative_Volume_20D,7.5105847917767
2023,CAT A - MARKET,Price_to_SMA20,6.857831564345327
2023,CAT A - MARKET,QQQ_Log_Return_5D,6.695269896400381
2023,CAT A - MARKET,Stock_vs_QQQ_1D,6.684425989001846
2023,CAT A - MARKET,QQQ_Volatility_14D,6.179659072226438
2023,CAT A - MARKET,Daily_Range,5.8434419163509315
2023,CAT A - MARKET,QQQ_Log_Return_3D,4.736656716896665
2023,CAT A - MARKET,Intraday_Return,4.391761805420028
2023,CAT A - MARKET,Stock_vs_QQQ_3D,4.256730088905025
2023,CAT B - MARKET + SEC,RSI_14,9.17531817865174
2023,CAT B - MARKET + SEC,QQQ_Log_Return_1D,8.880045363989305
2023,CAT B - MARKET + SEC,Relative_Volume_20D,8.449413045001485
2023,CAT B - MARKET + SEC,Price_to_SMA20,8.398199764017052
2023,CAT B - MARKET + SEC,Stock_vs_QQQ_5D,7.586350780120169
2023,CAT B - MARKET + SEC,Volatility_14D,7.2007501165480585
2023,CAT B - MARKET + SEC,Daily_Range,6.985684356744598
2023,CAT B - MARKET + SEC,Stock_vs_QQQ_1D,6.5361166338710035
2023,CAT B - MARKET + SEC,QQQ_Log_Return_5D,6.227110596540985
2023,CAT B - MARKET + SEC,QQQ_Volatility_14D,6.016161655739556
2023,CAT B - MARKET + SEC,Intraday_Return,5.860687053505346
2023,CAT B - MARKET + SEC,Ticker,5.57149653092727
2023,CAT B - MARKET + SEC,QQQ_Log_Return_3D,4.717132415678726
2023,CAT B - MARKET + SEC,Stock_vs_QQQ_3D,3.096822542746607
2023,CAT B - MARKET + SEC,Has_Item_5_03,1.1804740000128562
2023,CAT B - MARKET + SEC,Has_Item_1_01,0.7705923765097447
2023,CAT B - MARKET + SEC,Has_EX99,0.6509029380536444
2023,CAT B - MARKET + SEC,Has_Event_Guidance,0.4592249499430721
2023,CAT B - MARKET + SEC,Has_Item_7_01,0.45386610182624826
2023,CAT B - MARKET + SEC,Has_Event_Buyback,0.44897203245255024
2023,CAT B - MARKET + SEC,Has_Event_Earnings,0.41606879328914337
2023,CAT B - MARKET + SEC,Has_Item_8_01,0.335421353994878
2023,CAT B - MARKET + SEC,Has_Item_5_02,0.22968101197396018
2023,CAT B - MARKET + SEC,Has_Item_5_07,0.20013672960090928
2023,CAT B - MARKET + SEC,Has_Item_2_02,0.14577288741616187
2023,CAT B - MARKET + SEC,Has_Item_1_02,0.00759779084492638
2023,CAT B - MARKET + SEC,Has_Item_2_03,0.0
2023,CAT C - MARKET + SEC + FINBERT,QQQ_Log_Return_1D,9.69646645333738
2023,CAT C - MARKET + SEC + FINBERT,RSI_14,9.59085253689977
2023,CAT C - MARKET + SEC + FINBERT,QQQ_Volatility_14D,7.37231328814975
2023,CAT C - MARKET + SEC + FINBERT,Relative_Volume_20D,7.008835700759751
2023,CAT C - MARKET + SEC + FINBERT,Stock_vs_QQQ_5D,6.8000122722526894
2023,CAT C - MARKET + SEC + FINBERT,Stock_vs_QQQ_1D,6.244891087517265
2023,CAT C - MARKET + SEC + FINBERT,Intraday_Return,6.053574000831677
2023,CAT C - MARKET + SEC + FINBERT,Volatility_14D,5.819512612744398
2023,CAT C - MARKET + SEC + FINBERT,QQQ_Log_Return_5D,5.582376889059126
2023,CAT C - MARKET + SEC + FINBERT,Mean_Net_Sentiment,5.110778371434158
2023,CAT C - MARKET + SEC + FINBERT,Price_to_SMA20,5.05938796477721
2023,CAT C - MARKET + SEC + FINBERT,Ticker,4.662224431596011
2023,CAT C - MARKET + SEC + FINBERT,Daily_Range,4.470521928939659
2023,CAT C - MARKET + SEC + FINBERT,Sentiment_Momentum_3,4.164926030564954
