Test_Year,Model,Train_Size,Test_Size,Num_Input_Features,Num_Encoded_Features,Selected_SEC_Features,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Brier_Score,Log_Loss,TN,FP,FN,TP
2023,CAT A - MARKET,441,118,14,14,,0.5338983050847458,0.5126984126984127,0.5,0.2,0.2857142857142857,0.6568542568542568,0.23970550566683396,0.6718130815474341,52,11,44,11
2023,CAT B - MARKET + SEC,441,118,27,27,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5677966101694916,0.5525252525252525,0.5625,0.32727272727272727,0.41379310344827586,0.6118326118326118,0.2501684267638518,0.6957755667345975,49,14,37,18
2023,CAT C - MARKET + SEC + FINBERT,441,118,30,30,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5338983050847458,0.5161616161616162,0.5,0.2545454545454545,0.3373493975903614,0.6164502164502165,0.2495816873079545,0.6950281060174051,49,14,41,14
2024,CAT A - MARKET,559,122,14,14,,0.5573770491803278,0.5327380952380952,0.5416666666666666,0.23214285714285715,0.325,0.5091991341991342,0.2656811734369602,0.732284304501405,55,11,43,13
2024,CAT B - MARKET + SEC,559,122,28,28,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5163934426229508,0.4962121212121212,0.45161290322580644,0.25,0.3218390804597701,0.5059523809523809,0.280270640508878,0.7767648928539689,49,17,42,14
2024,CAT C - MARKET + SEC + FINBERT,559,122,31,31,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5655737704918032,0.5457251082251082,0.5483870967741935,0.30357142857142855,0.39080459770114945,0.5465367965367965,0.26390333257767906,0.737290011861182,52,14,39,17
2025,CAT A - MARKET,681,150,14,14,,0.5466666666666666,0.5207122093023255,0.4583333333333333,0.34375,0.39285714285714285,0.5915697674418605,0.24066678793891239,0.6749962661585622,60,26,42,22
2025,CAT B - MARKET + SEC,681,150,28,28,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5933333333333334,0.5753997093023255,0.5272727272727272,0.453125,0.48739495798319327,0.5901162790697674,0.24738940902900539,0.6949715801078868,60,26,35,29
2025,CAT C - MARKET + SEC + FINBERT,681,150,31,31,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.6066666666666667,0.5790334302325582,0.5555555555555556,0.390625,0.45871559633027525,0.5828488372093023,0.24462826800709578,0.6850307380289038,66,20,39,25
2026,CAT A - MARKET,831,104,14,14,,0.5192307692307693,0.5298701298701298,0.5757575757575758,0.34545454545454546,0.4318181818181818,0.4515769944341373,0.2771247046239567,0.7526486795250225,35,14,36,19
2026,CAT B - MARKET + SEC,831,104,28,28,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5,0.5050092764378479,0.5348837209302325,0.41818181818181815,0.46938775510204084,0.5079777365491651,0.2804317605193162,0.7699476737514773,29,20,32,23
2026,CAT C - MARKET + SEC + FINBERT,831,104,31,31,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.47115384615384615,0.4788497217068646,0.5,0.34545454545454546,0.40860215053763443,0.4530612244897959,0.289442920496817,0.7854161440410663,30,19,36,19
