Test_Year,Model,Feature,Importance
2023,TREE A - MARKET,numeric__Stock_vs_QQQ_1D,0.1630965023388435
2023,TREE A - MARKET,numeric__Stock_vs_QQQ_3D,0.0
2023,TREE A - MARKET,numeric__Stock_vs_QQQ_5D,0.0
2023,TREE A - MARKET,numeric__Volatility_14D,0.09723822720505454
2023,TREE A - MARKET,numeric__Relative_Volume_20D,0.28505908662007556
2023,TREE A - MARKET,numeric__RSI_14,0.11074397351663838
2023,TREE A - MARKET,numeric__Price_to_SMA20,0.0
2023,TREE A - MARKET,numeric__Intraday_Return,0.06406827564862907
2023,TREE A - MARKET,numeric__Daily_Range,0.0
2023,TREE A - MARKET,numeric__QQQ_Log_Return_1D,0.14327769821162664
2023,TREE A - MARKET,numeric__QQQ_Log_Return_3D,0.0
2023,TREE A - MARKET,numeric__QQQ_Log_Return_5D,0.0
2023,TREE A - MARKET,numeric__QQQ_Volatility_14D,0.051342660769341256
2023,TREE A - MARKET,categorical__Ticker_AAPL,0.0
2023,TREE A - MARKET,categorical__Ticker_ADBE,0.0
2023,TREE A - MARKET,categorical__Ticker_AMD,0.0
2023,TREE A - MARKET,categorical__Ticker_AMZN,0.0
2023,TREE A - MARKET,categorical__Ticker_AVGO,0.0
2023,TREE A - MARKET,categorical__Ticker_GOOGL,0.0
2023,TREE A - MARKET,categorical__Ticker_INTC,0.0
2023,TREE A - MARKET,categorical__Ticker_META,0.0
2023,TREE A - MARKET,categorical__Ticker_MSFT,0.08517357568979106
2023,TREE A - MARKET,categorical__Ticker_NFLX,0.0
2023,TREE A - MARKET,categorical__Ticker_NVDA,0.0
2023,TREE A - MARKET,categorical__Ticker_QCOM,0.0
2023,TREE A - MARKET,categorical__Ticker_TSLA,0.0
2023,TREE B - MARKET + SEC,numeric__Stock_vs_QQQ_1D,0.1630965023388435
2023,TREE B - MARKET + SEC,numeric__Stock_vs_QQQ_3D,0.0
2023,TREE B - MARKET + SEC,numeric__Stock_vs_QQQ_5D,0.0
2023,TREE B - MARKET + SEC,numeric__Volatility_14D,0.09723822720505454
2023,TREE B - MARKET + SEC,numeric__Relative_Volume_20D,0.28505908662007556
2023,TREE B - MARKET + SEC,numeric__RSI_14,0.11074397351663838
2023,TREE B - MARKET + SEC,numeric__Price_to_SMA20,0.0
2023,TREE B - MARKET + SEC,numeric__Intraday_Return,0.06406827564862907
2023,TREE B - MARKET + SEC,numeric__Daily_Range,0.0
2023,TREE B - MARKET + SEC,numeric__QQQ_Log_Return_1D,0.14327769821162664
2023,TREE B - MARKET + SEC,numeric__QQQ_Log_Return_3D,0.0
2023,TREE B - MARKET + SEC,numeric__QQQ_Log_Return_5D,0.0
2023,TREE B - MARKET + SEC,numeric__QQQ_Volatility_14D,0.051342660769341256
2023,TREE B - MARKET + SEC,categorical__Ticker_AAPL,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_ADBE,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_AMD,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_AMZN,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_AVGO,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_GOOGL,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_INTC,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_META,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_MSFT,0.08517357568979106
2023,TREE B - MARKET + SEC,categorical__Ticker_NFLX,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_NVDA,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_QCOM,0.0
2023,TREE B - MARKET + SEC,categorical__Ticker_TSLA,0.0
2023,TREE B - MARKET + SEC,binary__Has_EX99,0.0
2023,TREE B - MARKET + SEC,binary__Has_Event_Earnings,0.0
2023,TREE B - MARKET + SEC,binary__Has_Event_Guidance,0.0
2023,TREE B - MARKET + SEC,binary__Has_Event_Buyback,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_1_01,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_1_02,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_2_02,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_2_03,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_5_02,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_5_03,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_5_07,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_7_01,0.0
2023,TREE B - MARKET + SEC,binary__Has_Item_8_01,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__Stock_vs_QQQ_1D,0.16165134003196663
2023,TREE C - MARKET + SEC + FINBERT,numeric__Stock_vs_QQQ_3D,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__Stock_vs_QQQ_5D,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__Volatility_14D,0.09637662061797811
2023,TREE C - MARKET + SEC + FINBERT,numeric__Relative_Volume_20D,0.2825332406251675
2023,TREE C - MARKET + SEC + FINBERT,numeric__RSI_14,0.10976269547606142
2023,TREE C - MARKET + SEC + FINBERT,numeric__Price_to_SMA20,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__Intraday_Return,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__Daily_Range,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_1D,0.14200814597781267
2023,TREE C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_3D,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__QQQ_Log_Return_5D,0.0
2023,TREE C - MARKET + SEC + FINBERT,numeric__QQQ_Volatility_14D,0.05088772472218762
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_AAPL,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_ADBE,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_AMD,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_AMZN,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_AVGO,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_GOOGL,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_INTC,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_META,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_MSFT,0.08441887133155114
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_NFLX,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_NVDA,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_QCOM,0.0
2023,TREE C - MARKET + SEC + FINBERT,categorical__Ticker_TSLA,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_EX99,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Earnings,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,0.0
2023,TREE C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.0
