,count,mean,std,min,1%,5%,50%,95%,99%,max
Has_8K,935.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Has_EX99,935.0,0.5721925133689839,0.4950255820910859,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Filing_Block_Count,935.0,10.089839572192513,94.42534668084967,1.0,1.0,1.0,5.0,20.0,29.659999999999968,2884.0
EightK_Block_Count,935.0,3.027807486631016,2.1314603285221625,1.0,1.0,1.0,2.0,7.0,11.0,21.0
EX99_Block_Count,935.0,7.062032085561498,94.40480971067419,0.0,0.0,0.0,2.0,16.0,27.659999999999968,2881.0
Has_Event_Earnings,935.0,0.46203208556149733,0.4988231750803603,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Event_Guidance,935.0,0.2727272727272727,0.4456001239991733,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Has_Event_Buyback,935.0,0.058823529411764705,0.2354200443981914,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Positive_Block_Count,935.0,1.4877005347593584,2.5801101673252336,0.0,0.0,0.0,0.0,7.0,11.659999999999968,19.0
Negative_Block_Count,935.0,0.11764705882352941,0.44512446053142923,0.0,0.0,0.0,0.0,1.0,2.0,5.0
Neutral_Block_Count,935.0,6.696256684491979,94.10593452682699,0.0,0.0,0.0,2.0,10.0,22.0,2875.0
Positive_Ratio,935.0,0.2582225724490153,0.33001693396497067,0.0,0.0,0.0,0.0,0.9224056364056359,1.0,1.0
Negative_Ratio,935.0,0.022504789719614865,0.10657345569768623,0.0,0.0,0.0,0.0,0.15350098968642562,0.5205107846821997,1.0
Neutral_Ratio,935.0,0.7192726378313699,0.34087537127292405,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Mean_Positive,935.0,0.2599026824113207,0.3228084022477836,4.539886275995066e-07,1.1237790037460534e-06,2.6822730586291354e-06,0.0021936384522643,0.914216845639398,0.9999933624267578,0.9999997615814208
Mean_Negative,935.0,0.022411059516862293,0.08884885964825988,4.767380712422664e-09,1.6699929835905344e-08,5.212055643827641e-07,1.1707864455237446e-05,0.1500759449540269,0.475612090589052,0.9972103238105774
Mean_Neutral,935.0,0.7176862594571787,0.3315075576383802,2.696140484204079e-07,6.5922932753892386e-06,0.08181140641307104,0.9407656155843012,0.9999942005610691,0.9999969260509198,0.9999984502792358
Mean_Net_Sentiment,935.0,0.23790981240103598,0.3377423231227646,-0.996818361687474,-0.30073306809275185,-0.0251043593161739,0.0003368805163449,0.9139174273261683,0.9999933475889166,0.9999997568140402
Median_Net_Sentiment,935.0,0.2049357009394024,0.366322291002403,-0.996818361687474,-0.3328707866952754,-0.0036767908895853,2.274660039347509e-05,0.9997726006607596,0.9999988534386945,0.9999998761323968
Min_Net_Sentiment,935.0,-0.04476821374003346,0.33115742370160206,-0.9999960325814072,-0.9993790520045877,-0.9062203182300436,-5.133508238941431e-06,0.12775329313008088,0.999991970839444,0.9999997568140402
Max_Net_Sentiment,935.0,0.4470988347788003,0.5014771591889341,-0.996818361687474,-0.0251043593161739,-0.0004413485278745997,0.0020821981115659,0.9999999969405843,0.9999999981527083,0.9999999991099884
Unweighted_Mean_Positive,935.0,0.2362680006527316,0.29022341727142204,4.971331222236586e-07,1.2014108142466286e-06,2.9281748766152306e-06,0.0024094688706099,0.75454151112508,0.9999933624267578,0.9999997615814208
