Family,Model,Ticker,Event_Session,Test_Year,Filing_Count,Accessions,y_prob,Acceptance_DateTime_ET,Lead_Minutes,Feature_Cutoff_Session,Momentum_Score_60D,Publication_Period,Stock_Return_Open_Close,QQQ_Return_Open_Close,Market_Neutral_Return,Active,Signal,Strategy_Return_Gross,Transaction_Cost,Strategy_Return_Net,Win,Cost_Bps_Per_Side,Probability_Margin
CatBoost,CAT A - MARKET,AAPL,2023-02-03,2023,1,0000320193-23-000005,0.565220562583802,2023-02-02 21:30:33+00:00,1019.45,2023-02-02,-0.09064671459408702,AFTER_HOURS,0.043707365223649486,0.004066341655563077,0.019820511784043204,True,1,0.019820511784043204,0.001,0.018820511784043203,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2023-03-13,2023,1,0001140361-23-011192,0.6016847906112124,2023-03-10 21:30:52+00:00,3839.133333333333,2023-03-10,0.016502805612767624,AFTER_HOURS,0.017996101116603436,0.013810871912068423,0.0020926146022675063,True,1,0.0020926146022675063,0.001,0.0010926146022675063,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2023-05-05,2023,1,0000320193-23-000063,0.4342333327143226,2023-05-04 20:30:43+00:00,1019.2833333333333,2023-05-04,0.05179297259137283,AFTER_HOURS,0.01514803872616155,0.0138789004012696,0.0006345691624459748,True,-1,-0.0006345691624459748,0.001,-0.0016345691624459749,False,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2023-05-11,2023,1,0001140361-23-023909,0.4936185225239916,2023-05-10 20:31:27+00:00,1018.55,2023-05-10,0.058675226939915115,AFTER_HOURS,-0.0005752436008318318,0.0015351549931235109,-0.0010551992969776713,True,-1,0.0010551992969776713,0.001,5.519929697767132e-05,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2023-08-04,2023,1,0000320193-23-000075,0.2765842148029308,2023-08-03 20:30:21+00:00,1019.65,2023-08-03,-0.05299355956213292,AFTER_HOURS,-0.019027591084530893,-0.009873563420034981,-0.004577013832247956,True,-1,0.004577013832247956,0.001,0.003577013832247956,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2023-11-03,2023,1,0000320193-23-000104,0.6063563828053387,2023-11-02 20:30:32+00:00,1019.4666666666667,2023-11-02,0.008586165660855571,AFTER_HOURS,0.013831429794203487,0.008115123934415713,0.002858152929893887,True,1,0.002858152929893887,0.001,0.0018581529298938868,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-02-02,2024,1,0000320193-24-000005,0.562473262621239,2024-02-01 21:30:30+00:00,1019.5,2024-02-01,-0.09102195179387063,AFTER_HOURS,0.03330371106881502,0.012293586887032637,0.010505062090891193,True,1,0.010505062090891193,0.001,0.009505062090891192,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-02-29,2024,1,0001140361-24-010155,0.5085960431028536,2024-02-28 22:09:05+00:00,980.9166666666666,2024-02-28,-0.16594905528473036,AFTER_HOURS,-0.0028686724786485263,0.0017570430923679048,-0.0023128577855082155,True,1,-0.0023128577855082155,0.001,-0.0033128577855082155,False,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-05-03,2024,1,0000320193-24-000067,0.5910870417310858,2024-05-02 20:30:34+00:00,1019.4333333333333,2024-05-02,-0.08448833859324356,AFTER_HOURS,-0.01751936308921298,0.0023939060378357357,-0.009956634563524358,True,1,-0.009956634563524358,0.001,-0.010956634563524359,False,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-05-06,2024,1,0001140361-24-024352,0.2457912201241764,2024-05-03 20:35:42+00:00,3894.3,2024-05-03,-0.04001208904065723,AFTER_HOURS,-0.003509730563349134,0.006745969104458016,-0.005127849833903575,True,-1,0.005127849833903575,0.001,0.004127849833903575,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-08-02,2024,1,0000320193-24-000080,0.7196582199644938,2024-08-01 20:30:26+00:00,1019.5666666666667,2024-08-01,0.15757694505943487,AFTER_HOURS,0.0032398208242823134,-0.004746201022229557,0.003993010923255935,True,1,0.003993010923255935,0.001,0.002993010923255935,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-08-26,2024,1,0001140361-24-038403,0.7264828007419609,2024-08-23 20:30:44+00:00,3899.266666666667,2024-08-23,0.1401667429880098,AFTER_HOURS,0.0018521704847396236,-0.008572355333189452,0.005212262908964538,True,1,0.005212262908964538,0.001,0.004212262908964538,True,5.0,0.0
CatBoost,CAT A - MARKET,AAPL,2024-08-27,2024,1,0001140361-24-038601,0.7486880270886638,2024-08-26 21:20:33+00:00,969.45,2024-08-26,0.13463700590014827,AFTER_HOURS,0.00898229548361451,0.006481047327146161,0.0012506240782341749,True,1,0.0012506240782341749,0.001,0.00025062407823417485,True,5.0,0.0
