Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
CatBoost,CAT A - MARKET,5.0,0.0,494,494,1.0,370,-0.0003535995419926743,-0.0003206273256209915,0.4757085020242915,0.00816327216135851,0.008081263056616335,0.9165436023385007,-3.0692937386349305e-05,-0.007734620221360025,0.11154021827632495,-0.06934377878119809,-0.09934769275291466,-0.1457233787073934,0.8841721790020938,0.5579139104989531,-0.21102360481578541,-0.04896177115364664,-0.013805203383925657,1.0,1.0
CatBoost,CAT B - MARKET + SEC,5.0,0.0,494,494,1.0,370,1.72545570289149e-06,-0.00026314514231681654,0.4817813765182186,0.008419123858488744,0.00782382462188708,1.0004255706719651,4.577491517352365e-06,0.0011535278623727961,0.11193962322881555,0.010304911068128864,0.014973282878252446,0.018806236474364933,0.9849998193855801,0.49249990969279006,-0.16519228268239705,-0.018187879877043178,-0.005069953263910576,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,5.0,0.0,494,494,1.0,370,0.0001416377203306197,-0.00030700435591357513,0.4797570850202429,0.008608451150040537,0.007666279722631443,1.035513059766176,-0.00010462831145616124,-0.026366334486952633,0.11157778852436094,-0.2363045085912958,-0.322220912240667,-0.4322791300331122,0.6656414191843872,0.6671792904078064,-0.1914417000100348,-0.11073302874298252,-0.031975664318144026,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,5.0,0.0,494,494,1.0,370,0.00018995476940387312,-0.00042550692923559643,0.4777327935222672,0.008704170647648697,0.007598242700618524,1.0478678899350082,0.00011021640384971378,0.027774533770127872,0.11172697341076321,0.24859291290398652,0.3791855888321036,0.45304655122581045,0.6506236967695153,0.32531184838475763,-0.15605421393158936,0.08067239134865689,0.02171640597674207,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,5.0,0.0,494,494,1.0,370,-0.0001241123771328328,-0.000466889619910176,0.46558704453441296,0.008599422323405376,0.0077241615480562725,0.9699332305469648,3.73055536817601e-06,0.0009400999527803545,0.11164787010420409,0.008420222901726051,0.012761352129801675,0.015015373156420866,0.9880232215627119,0.49401161078135597,-0.18737007607027423,-0.01877224790984089,-0.005233970509326058,1.0,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,5.0,0.0,494,494,1.0,370,-0.00014939064438658904,-0.0005594356445426931,0.46356275303643724,0.008622026891489139,0.007729219382935802,0.9639696201038545,-5.942740156300497e-05,-0.014975705193877252,0.1120338840018638,-0.13367121319857228,-0.19817510241567782,-0.24294911945800202,0.8080998046508552,0.5959500976745724,-0.2166585821944612,-0.07356958163354888,-0.020938460499020373,1.0,1.0
Logistic,MODEL A - MARKET,5.0,0.0,494,494,1.0,370,-0.0004818327366220796,-0.00044561356163266754,0.46963562753036436,0.008144737010527635,0.008120627321884424,0.8881251718821809,-0.00016733822166865346,-0.04216923186050067,0.11266037889945481,-0.3743040123993826,-0.5178060499498103,-0.7633179374098163,0.4454725192463301,0.777263740376835,-0.21302474434821417,-0.16023346302536134,-0.047207302587568334,1.0,1.0
Logistic,MODEL B - MARKET + SEC,5.0,0.0,494,494,1.0,370,4.2718100492514165e-05,-0.00039994141345031566,0.47368421052631576,0.008617398648166259,0.007674494392413856,1.0105758616510303,0.00011200219362294992,0.02822455279298338,0.11247160706055855,0.2509482484569312,0.379213649466366,0.47425747802020124,0.6354305875120387,0.31771529375601937,-0.13892991543042488,0.08208739522622022,0.02208668906980904,1.0,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,5.0,0.0,494,494,1.0,370,0.00017219081982387943,-0.00026314514231681654,0.4817813765182186,0.00859013044262921,0.007653862423252951,1.043412652887439,0.0001504941078703549,0.037924515183329434,0.11237861319036456,0.33747093069289735,0.511223229519431,0.6387973157992202,0.5231162461581752,0.2615581230790876,-0.1342457979546403,0.12057008132772373,0.032025370644030104,1.0,1.0
TabNet,TABNET A - MARKET,5.0,0.0,494,494,1.0,370,-0.0007231586300191451,-0.0005864941508987578,0.4777327935222672,0.007759895782230872,0.00848285181331761,0.8367703926546277,-0.000258866763099804,-0.0652344243011506,0.11319205548348867,-0.5763162796409008,-0.7636083465292401,-1.2070005886720883,0.22774695169091344,0.8861265241545433,-0.29221170437658683,-0.2273686215119778,-0.06893942704739708,1.0,1.0
