Family,Model,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm,HAC_p_value_Positive_Global_Holm
CatBoost,CAT A - MARKET,0.0,0.0,494,494,1.0,370,0.0007236063955172709,0.0006929956440864249,0.5404858299595142,0.008197834301107628,0.008067666074934823,1.1951891056596782,0.00038366627034660725,0.09668390012734503,0.11196698722588508,0.8635036319436947,1.3175706235873572,1.774707395026913,0.07628194023940822,0.03814097011970411,-0.13086612356067162,0.38462336809469955,0.09430091140846031,1.0,0.527597844814773,1.0
CatBoost,CAT B - MARKET + SEC,0.0,0.0,494,494,1.0,370,0.0008189234082123307,0.0008038300256842656,0.548582995951417,0.00816370871044803,0.008106802228136884,1.2237771780738975,0.000396574811738529,0.09993685255810932,0.11185635095827332,0.8934392343568366,1.3768564210785261,1.6789076635157267,0.09351485797905534,0.04675742898952767,-0.10028980260719178,0.4009983513206068,0.09786938971986148,1.0,0.5610891478743321,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.000664141286619574,0.0007368548576831835,0.5506072874493927,0.007993139251830903,0.008315531895981694,1.177723320959608,0.00022505589627667855,0.056714085861722996,0.11358684362916333,0.4993015392423644,0.7271222448354248,0.9585736670142275,0.3380292905246372,0.1690146452623186,-0.16263343070033753,0.1982932103721482,0.05136919412899443,1.0,0.9556400537740242,1.0
LSTM,LSTM A - MARKET SEQUENCE,0.0,0.0,494,494,1.0,370,0.001189954769403874,0.0005744930707644036,0.5323886639676113,0.008760493561770827,0.007429316669524735,1.342528373892661,0.0005181546618430987,0.13057497478446087,0.11214621149729426,1.1643280057446368,1.9121812167833065,2.120326115197678,0.03424977154914035,0.017124885774570175,-0.12410962197447417,0.5641512328971732,0.13187525969525593,0.6477534012291241,0.32387670061456203,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,0.0,0.0,494,494,1.0,370,0.000875887622867168,0.000533110380089824,0.5384615384615384,0.008370057223876546,0.007867310244977107,1.2412205006690593,0.000411668813361561,0.10374054096711337,0.11192538902836921,0.92687228400715,1.5126331288327783,1.6439483717183887,0.10053379767717352,0.05026689883858676,-0.12071545864208977,0.42035323308505546,0.10204857397308253,1.0,0.5610891478743321,1.0
LSTM,LSTM C - MARKET SEQUENCE + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.0008506093556134118,0.0004405643554573069,0.52834008097166,0.00850648080283327,0.0077252809779676315,1.233446248285466,0.0003485108564303801,0.08782473582045577,0.11222642244416615,0.7825673661133546,1.2466883233021289,1.4226607382492165,0.1551787344769444,0.0775893672384722,-0.16303389810676616,0.3411099014245398,0.08466770642997412,1.0,0.6983043051462499,1.0
Logistic,MODEL A - MARKET,0.0,0.0,494,494,1.0,370,0.0005181672633779212,0.0005543864383673325,0.5303643724696356,0.008160604170829455,0.008112515795899243,1.136004532012046,0.00024060003632473155,0.06063120915383235,0.11270893340334387,0.5379450175156527,0.79246782542702,1.0967548038962875,0.2730400153640069,0.13652000768200345,-0.1130842144473595,0.21577419030978828,0.05559418532550309,1.0,0.9556400537740242,1.0
Logistic,MODEL B - MARKET + SEC,0.0,0.0,494,494,1.0,370,0.001042718100492515,0.0006000585865496844,0.5404858299595142,0.008493042507582853,0.007720438801239293,1.2939178888322076,0.000519940451616335,0.13102499380731641,0.112890442583551,1.1606384987847305,1.8855303386978282,2.1947471415845903,0.028434873645336412,0.014217436822668206,-0.10063276237903307,0.5661977474601161,0.13228515671666985,0.5686974729067282,0.2843487364533641,1.0
Logistic,MODEL C - MARKET + SEC + FINBERT,0.0,0.0,494,494,1.0,370,0.0011721908198238803,0.0007368548576831835,0.548582995951417,0.008485690447230515,0.00771551500541019,1.3365545617432175,0.0005584323658637399,0.14072495619766245,0.11284875260909169,1.2470227002431653,2.030608411246786,2.3631077460018854,0.01833275774927108,0.00916637887463554,-0.09639175490705987,0.6218403589657469,0.1432843353536164,0.3849879127346927,0.19249395636734634,1.0
TabNet,TABNET A - MARKET,0.0,0.0,494,494,1.0,370,0.00027210229145740127,0.00023218254047030484,0.5080971659919028,0.008276096592402186,0.007995397994703673,1.0691851341748733,0.00026527374425325837,0.0668489835518211,0.11242352293291379,0.5946174057515681,0.9179866068901884,1.037910579884156,0.2995886085104092,0.1497943042552046,-0.16263536941953083,0.24349253739544485,0.06220429609184164,1.0,0.9556400537740242,1.0
