Test_Year,Model,Train_Size,Test_Size,Sequence_Length,Sequence_Features,Static_Features,Final_Train_Loss,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Validation_Year,Best_Epoch,Best_Val_Loss
2023,LSTM A - MARKET SEQUENCE,453,121,30,11,13,0.6684713438153267,0.4793388429752066,0.47650273224043715,0.42105263157894735,0.13333333333333333,0.20253164556962025,0.4609289617486339,2022,18,0.6878432273864746
2023,LSTM B - MARKET SEQUENCE + SEC,453,121,30,11,23,0.6664971485733986,0.5702479338842975,0.5674863387978142,0.7,0.23333333333333334,0.35,0.5040983606557378,2022,16,0.6857041222708565
2023,LSTM C - MARKET SEQUENCE + SEC + FINBERT,453,121,30,11,25,0.6737489923834801,0.5041322314049587,0.5,0.0,0.0,0.0,0.4226775956284153,2022,8,0.6929826600211008
2024,LSTM A - MARKET SEQUENCE,574,123,30,11,13,0.6926744447814094,0.5284552845528455,0.5027851458885942,0.5,0.05172413793103448,0.09375,0.493633952254642,2023,1,0.6922545630084581
2024,LSTM B - MARKET SEQUENCE + SEC,574,123,30,11,24,0.6922746764289008,0.5203252032520326,0.5080901856763925,0.4857142857142857,0.29310344827586204,0.3655913978494624,0.5122015915119362,2023,2,0.695951382975933
2024,LSTM C - MARKET SEQUENCE + SEC + FINBERT,574,123,30,11,26,0.6955586473147074,0.5447154471544715,0.5339522546419098,0.5263157894736842,0.3448275862068966,0.4166666666666667,0.5705570291777189,2023,1,0.6941406943581321
2025,LSTM A - MARKET SEQUENCE,697,151,30,11,13,0.6474678245457736,0.4768211920529801,0.4496753246753247,0.34615384615384615,0.2857142857142857,0.3130434782608696,0.5054112554112554,2024,21,0.686664922450616
2025,LSTM B - MARKET SEQUENCE + SEC,697,151,30,11,24,0.6652380282228644,0.4900662251655629,0.4497655122655123,0.325,0.20634920634920634,0.2524271844660194,0.4861111111111111,2024,15,0.6837408484482184
2025,LSTM C - MARKET SEQUENCE + SEC + FINBERT,697,151,30,11,26,0.6669906106862155,0.5562913907284768,0.5043290043290043,0.42857142857142855,0.19047619047619047,0.26373626373626374,0.5126262626262627,2024,14,0.690717092374476
2026,LSTM A - MARKET SEQUENCE,848,107,30,11,13,0.6716535559722355,0.5327102803738317,0.48592302209550964,0.3888888888888889,0.15217391304347827,0.21875,0.4522451888809693,2025,13,0.6861410835720846
2026,LSTM B - MARKET SEQUENCE + SEC,848,107,30,11,25,0.6506511313574654,0.514018691588785,0.5016037063435496,0.4318181818181818,0.41304347826086957,0.4222222222222222,0.5003563791874555,2025,15,0.6828716101235901
2026,LSTM C - MARKET SEQUENCE + SEC + FINBERT,848,107,30,11,27,0.6687667923314231,0.5514018691588785,0.5183535281539557,0.4642857142857143,0.2826086956521739,0.35135135135135137,0.5424091233071988,2025,12,0.6846738777413274
