Event_Session,Strategy_Return_Gross,Strategy_Return_Net,Num_Positions,Equity,Running_Max,Drawdown,Family,Model,Portfolio_Type,Portfolio_Definition,Cost_Bps_Per_Side,Probability_Margin
2023-01-03,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-04,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-05,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-06,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-09,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-10,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-11,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-12,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-13,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-17,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-18,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-19,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-20,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-23,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-24,0.0,0.0,0,1.0,1.0,0.0,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-25,-0.006093967212528639,-0.007093967212528639,1,0.9929060327874714,1.0,-0.00709396721252864,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-26,0.0,0.0,0,0.9929060327874714,1.0,-0.00709396721252864,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
2023-01-27,-0.012838454323668147,-0.013838454323668148,1,0.9791657480050474,1.0,-0.02083425199495259,CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,5.0,0.0
