Family,Model,Portfolio_Type,Portfolio_Definition,Test_Year,Cost_Bps_Per_Side,Probability_Margin,Num_Candidate_Events,Num_Trades,Trade_Coverage,Active_Sessions,Mean_Trade_Return_Net,Median_Trade_Return_Net,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Mean_Daily_Return_Net,Annualized_Return_Arithmetic,Annualized_Volatility,Sharpe,Sortino,HAC_t,HAC_p_value,HAC_p_value_Positive,Max_Drawdown,Cumulative_Return,CAGR,HAC_p_value_Holm,HAC_p_value_Positive_Holm
CatBoost,CAT A - MARKET,Dividend,fixed_ex_ante_dividend_payers,2023,5.0,0.0,52,52,1.0,49,-0.0011357875359582392,-0.0012028980412940307,0.4230769230769231,0.005949516466395943,0.00633167713768464,0.6890715756898401,-0.00025940356744860916,-0.0653696989970495,0.05090933260659253,-1.284041562717018,-1.5909042405627594,-1.1697604057961442,0.24321586476060686,0.8783920676196966,-0.08580324181519794,-0.06400380635795277,-0.06490623119142613,1.0,1.0
CatBoost,CAT A - MARKET,Growth,fixed_ex_ante_growth_companies,2023,5.0,0.0,75,75,1.0,69,0.0007162429065988549,0.0007518957171892557,0.5466666666666666,0.007119570702797607,0.007005417082934934,1.2255322658709975,0.00027703821021680594,0.0698136289746351,0.08962591789439432,0.7789446469814243,1.1399769950814482,0.7415806397266018,0.4590403167020441,0.22952015835102205,-0.06654208167418918,0.06745507883653779,0.06847173919043636,1.0,1.0
CatBoost,CAT A - MARKET,Momentum,positive_relative_momentum_60d,2023,5.0,0.0,80,80,1.0,68,-0.00019990743182945716,-6.249448403824933e-05,0.4875,0.006373020520232881,0.0064522047520838765,0.9395457372160307,0.00012219065722030476,0.0307920456195168,0.07126325446813456,0.43208868089634467,0.6612045069987803,0.3876888361024363,0.6985775188582657,0.34928875942913284,-0.0895736101544794,0.028439562443115074,0.028860234511469685,1.0,1.0
CatBoost,CAT A - MARKET,Value,fixed_ex_ante_mature_semiconductor_proxy,2023,5.0,0.0,16,16,1.0,16,-0.0031764474477045286,-0.0013603806137419952,0.5,0.005950127854569845,0.012303022749978902,0.4836313786853762,-0.0002032926366530898,-0.05122974443657863,0.04248403936117273,-1.2058586049470341,-1.3749244646895808,-1.1094842210240705,0.26829171363860865,0.8658541431806956,-0.07059013541286274,-0.0504105292373912,-0.05112656349341804,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Dividend,fixed_ex_ante_dividend_payers,2023,5.0,0.0,52,52,1.0,49,-0.00018070456801507737,-0.00037536734980073063,0.46153846153846156,0.006394099629420109,0.005816251022959524,0.9423005994037161,-6.07463101164315e-05,-0.015308070149340738,0.05007321018294969,-0.3057137757577455,-0.4366690041727594,-0.2939273627197913,0.7690582664102015,0.6154708667948993,-0.039023540114225486,-0.01629096549141862,-0.016526568082067983,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Growth,fixed_ex_ante_growth_companies,2023,5.0,0.0,75,75,1.0,69,-0.0007964661205482278,-0.0003820028242798581,0.49333333333333335,0.006488394307686905,0.007889619695408752,0.8007543244118632,-0.0001316759752914039,-0.03318234577343378,0.09090849281487473,-0.36500820491003,-0.45654533681155374,-0.3481478264170806,0.7280233183316459,0.6359883408341771,-0.07396546043109464,-0.036362610298022346,-0.036882997440877086,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Momentum,positive_relative_momentum_60d,2023,5.0,0.0,80,80,1.0,68,-0.000500693782375043,-0.0006961236954205465,0.45,0.006670777695384384,0.006368261355087302,0.8570485285024066,2.1083753097638963e-05,0.005313105780605018,0.0716444636769354,0.07415933497057464,0.110844843820843,0.06726080586506952,0.9464280546120961,0.47321402730604806,-0.1001008059543298,0.002743935561901889,0.002784006939628325,1.0,1.0
CatBoost,CAT B - MARKET + SEC,Value,fixed_ex_ante_mature_semiconductor_proxy,2023,5.0,0.0,16,16,1.0,16,-0.002401124063128663,-0.0024701176570284525,0.5,0.0067254512391457105,0.011527699365403037,0.5834166060341713,-0.00015367194004023443,-0.03872532889013908,0.04224057163340747,-0.9167804173254076,-1.1394233082657244,-0.9224599328732666,0.35718167498711473,0.8214091625064426,-0.048810242611238674,-0.03854218227610162,-0.03909312417991695,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Dividend,fixed_ex_ante_dividend_payers,2023,5.0,0.0,52,52,1.0,49,0.000738308805902333,-0.000260766745768414,0.4807692307692308,0.007084866629431228,0.005138133623291089,1.2767401891186976,9.268885324801356e-05,0.023357591018499418,0.049649792098689124,0.4704469048343934,0.75558406608007,0.5195816731354869,0.6038167346835085,0.30190836734175425,-0.03000510727600747,0.022198931962648105,0.02252628577407445,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Growth,fixed_ex_ante_growth_companies,2023,5.0,0.0,75,75,1.0,69,0.0007694234235874942,3.343688735652026e-05,0.5066666666666667,0.007833474749245848,0.006485548208169734,1.2404796055443488,0.00020438435851246082,0.051504858345140125,0.09026222414580819,0.5706136629420963,0.8338842498708452,0.5623435546663023,0.5743878615584336,0.2871939307792168,-0.0729700344658647,0.04818684882560298,0.048906486092491264,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Momentum,positive_relative_momentum_60d,2023,5.0,0.0,80,80,1.0,68,0.000839589640227781,-0.00018298926832702091,0.4875,0.007472021898144445,0.005469309336814899,1.2995302674182556,0.00020294843941612463,0.05114300673286341,0.07087122564299404,0.7216328808886507,1.1483202546701685,0.7362365703297808,0.4622797624895237,0.23113988124476184,-0.06410547589078042,0.04944090514413846,0.050179715369041755,1.0,1.0
CatBoost,CAT C - MARKET + SEC + FINBERT,Value,fixed_ex_ante_mature_semiconductor_proxy,2023,5.0,0.0,16,16,1.0,16,0.00023044500427924993,0.0012388297711870841,0.5625,0.008206240272492109,0.010024148911994426,1.0525462503577045,1.474848027387199e-05,0.0037166170290157414,0.041291172934740696,0.09000996496005889,0.12956470501694353,0.08669738165059583,0.9309817342336605,0.46549086711683024,-0.03828737485187428,0.0028492253708538584,0.002890836575673461,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,Dividend,fixed_ex_ante_dividend_payers,2023,5.0,0.0,52,52,1.0,49,-0.0012592604222706502,-0.0015574537774995503,0.4230769230769231,0.005860378750772118,0.006480329149168681,0.6631779011488739,-0.0002058038806654178,-0.05186257792768528,0.05315385325612205,-0.9757068349830681,-1.287558843260791,-0.9621589994565449,0.336903163884886,0.831548418057557,-0.06550479338261139,-0.05148140855663108,-0.05221223160354871,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,Growth,fixed_ex_ante_growth_companies,2023,5.0,0.0,75,75,1.0,69,0.0006711258472396414,0.00045189160152270345,0.5466666666666666,0.007088010143775739,0.007066881686818594,1.2094876819276545,0.00019020830630888527,0.04793249318983909,0.09004106374742298,0.5323403699926962,0.7699793568096733,0.5092533834561033,0.6110256214429964,0.3055128107214982,-0.07274460785575987,0.04449921725745787,0.045162604037791265,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,Momentum,positive_relative_momentum_60d,2023,5.0,0.0,80,80,1.0,68,-0.00023795191254504493,-0.0005097411822777556,0.4625,0.006761969047956167,0.006261139715767019,0.929293826245864,2.089452039960954e-05,0.005265419140701604,0.07161070627990074,0.07352837884493078,0.11179207764511538,0.06749931759251003,0.9462383735615603,0.47311918678078013,-0.10152978466995244,0.0026997255263718767,0.0027391503963605235,1.0,1.0
LSTM,LSTM A - MARKET SEQUENCE,Value,fixed_ex_ante_mature_semiconductor_proxy,2023,5.0,0.0,16,16,1.0,16,-0.0011775291874323197,0.0012388297711870841,0.5625,0.006954707657637381,0.011633262273950506,0.7686379605154736,-7.536186799566845e-05,-0.018991190734908448,0.041823163976784615,-0.4540830709376786,-0.589523438509712,-0.4539598700593828,0.6502531358472317,0.6748734320763842,-0.034726870622272754,-0.019513933340595924,-0.019795676188765765,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Dividend,fixed_ex_ante_dividend_payers,2023,5.0,0.0,52,52,1.0,49,-0.0013499153968976275,-0.001739233254231586,0.40384615384615385,0.006048727021946006,0.006361898970952992,0.644072591455871,-0.00028278600155143063,-0.07126207239096052,0.05042709041776167,-1.4131704169443862,-1.7619456351949556,-1.3655527375365362,0.17331168341998318,0.9133441582900084,-0.07011679056698683,-0.06943719608157328,-0.07041330938612234,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Growth,fixed_ex_ante_growth_companies,2023,5.0,0.0,75,75,1.0,69,0.0003891654173665987,-0.000123117083986545,0.48,0.007853993251817135,0.006501444891356974,1.1151121090624365,0.00020273373274490986,0.051088900651717284,0.09024761886951915,0.566096937422605,0.9315174798822226,0.5709800356703798,0.5685281287792864,0.2842640643896432,-0.0836923775853684,0.04778456135899889,0.04849805285678843,1.0,1.0
LSTM,LSTM B - MARKET SEQUENCE + SEC,Momentum,positive_relative_momentum_60d,2023,5.0,0.0,80,80,1.0,68,-0.0014733265494235091,-0.001449510834293121,0.3875,0.006610387316612973,0.006587512872834345,0.6348498822644963,-0.00022222859791950898,-0.05600160667571626,0.07236619786013325,-0.7738641566322737,-1.0235936066112987,-0.7230135621965595,0.47035013414701804,0.764824932926491,-0.10962778357335301,-0.05650180684803496,-0.05730172269133438,1.0,1.0
