Ticker,Filing_Date,Acceptance_DateTime_ET,Accession,Source_Type,Cleaned_File
AAPL,2020-01-28,2020-01-28T16:30:40-05:00,0000320193-20-000008,8-K,AAPL_2020-01-28_0000320193-20-000008_8-K.txt
AAPL,2020-01-28,2020-01-28T16:30:40-05:00,0000320193-20-000008,EX-99.1,AAPL_2020-01-28_0000320193-20-000008_EX-99-1.txt
AAPL,2020-02-18,2020-02-18T06:24:57-05:00,0001193125-20-039203,8-K,AAPL_2020-02-18_0001193125-20-039203_8-K.txt
AAPL,2020-02-18,2020-02-18T06:24:57-05:00,0001193125-20-039203,EX-99.1,AAPL_2020-02-18_0001193125-20-039203_EX-99-1.txt
AAPL,2020-02-27,2020-02-27T06:14:21-05:00,0001193125-20-050884,8-K,AAPL_2020-02-27_0001193125-20-050884_8-K.txt
AAPL,2020-04-30,2020-04-30T16:30:41-04:00,0000320193-20-000050,8-K,AAPL_2020-04-30_0000320193-20-000050_8-K.txt
AAPL,2020-04-30,2020-04-30T16:30:41-04:00,0000320193-20-000050,EX-99.1,AAPL_2020-04-30_0000320193-20-000050_EX-99-1.txt
AAPL,2020-05-11,2020-05-11T16:31:15-04:00,0001193125-20-139112,8-K,AAPL_2020-05-11_0001193125-20-139112_8-K.txt
AAPL,2020-07-30,2020-07-30T18:55:04-04:00,0000320193-20-000060,8-K,AAPL_2020-07-30_0000320193-20-000060_8-K.txt
AAPL,2020-07-30,2020-07-30T18:55:04-04:00,0000320193-20-000060,EX-99.1,AAPL_2020-07-30_0000320193-20-000060_EX-99-1.txt
AAPL,2020-08-07,2020-08-07T17:20:23-04:00,0001193125-20-213158,8-K,AAPL_2020-08-07_0001193125-20-213158_8-K.txt
AAPL,2020-08-20,2020-08-20T16:30:57-04:00,0001193125-20-225672,8-K,AAPL_2020-08-20_0001193125-20-225672_8-K.txt
AAPL,2020-10-29,2020-10-29T16:30:32-04:00,0000320193-20-000094,8-K,AAPL_2020-10-29_0000320193-20-000094_8-K.txt
AAPL,2020-10-29,2020-10-29T16:30:32-04:00,0000320193-20-000094,EX-99.1,AAPL_2020-10-29_0000320193-20-000094_EX-99-1.txt
AAPL,2021-01-05,2021-01-05T16:32:16-05:00,0001193125-21-001982,8-K,AAPL_2021-01-05_0001193125-21-001982_8-K.txt
AAPL,2021-01-27,2021-01-27T16:30:35-05:00,0000320193-21-000009,8-K,AAPL_2021-01-27_0000320193-21-000009_8-K.txt
AAPL,2021-01-27,2021-01-27T16:30:35-05:00,0000320193-21-000009,EX-99.1,AAPL_2021-01-27_0000320193-21-000009_EX-99-1.txt
AAPL,2021-02-08,2021-02-08T16:31:03-05:00,0001193125-21-032394,8-K,AAPL_2021-02-08_0001193125-21-032394_8-K.txt
AAPL,2021-02-24,2021-02-24T16:31:21-05:00,0001193125-21-054710,8-K,AAPL_2021-02-24_0001193125-21-054710_8-K.txt
AAPL,2021-04-28,2021-04-28T16:30:33-04:00,0000320193-21-000055,8-K,AAPL_2021-04-28_0000320193-21-000055_8-K.txt
AAPL,2021-04-28,2021-04-28T16:30:33-04:00,0000320193-21-000055,EX-99.1,AAPL_2021-04-28_0000320193-21-000055_EX-99-1.txt
AAPL,2021-07-27,2021-07-27T16:35:44-04:00,0000320193-21-000063,8-K,AAPL_2021-07-27_0000320193-21-000063_8-K.txt
AAPL,2021-07-27,2021-07-27T16:35:44-04:00,0000320193-21-000063,EX-99.1,AAPL_2021-07-27_0000320193-21-000063_EX-99-1.txt
AAPL,2021-08-05,2021-08-05T16:31:44-04:00,0001193125-21-237787,8-K,AAPL_2021-08-05_0001193125-21-237787_8-K.txt
AAPL,2021-10-28,2021-10-28T16:30:23-04:00,0000320193-21-000104,8-K,AAPL_2021-10-28_0000320193-21-000104_8-K.txt
AAPL,2021-10-28,2021-10-28T16:30:23-04:00,0000320193-21-000104,EX-99.1,AAPL_2021-10-28_0000320193-21-000104_EX-99-1.txt
AAPL,2021-11-12,2021-11-12T16:31:14-05:00,0001193125-21-328151,8-K,AAPL_2021-11-12_0001193125-21-328151_8-K.txt
AAPL,2022-01-27,2022-01-27T16:30:36-05:00,0000320193-22-000006,8-K,AAPL_2022-01-27_0000320193-22-000006_8-K.txt
AAPL,2022-01-27,2022-01-27T16:30:36-05:00,0000320193-22-000006,EX-99.1,AAPL_2022-01-27_0000320193-22-000006_EX-99-1.txt
AAPL,2022-03-04,2022-03-04T16:35:09-05:00,0001193125-22-066169,8-K,AAPL_2022-03-04_0001193125-22-066169_8-K.txt
AAPL,2022-04-28,2022-04-28T16:32:12-04:00,0000320193-22-000058,8-K,AAPL_2022-04-28_0000320193-22-000058_8-K.txt
AAPL,2022-04-28,2022-04-28T16:32:12-04:00,0000320193-22-000058,EX-99.1,AAPL_2022-04-28_0000320193-22-000058_EX-99-1.txt
AAPL,2022-07-28,2022-07-28T16:31:44-04:00,0000320193-22-000069,8-K,AAPL_2022-07-28_0000320193-22-000069_8-K.txt
AAPL,2022-07-28,2022-07-28T16:31:44-04:00,0000320193-22-000069,EX-99.1,AAPL_2022-07-28_0000320193-22-000069_EX-99-1.txt
AAPL,2022-08-08,2022-08-08T16:32:16-04:00,0001193125-22-214914,8-K,AAPL_2022-08-08_0001193125-22-214914_8-K.txt
AAPL,2022-08-19,2022-08-19T16:31:06-04:00,0001193125-22-225365,8-K,AAPL_2022-08-19_0001193125-22-225365_8-K.txt
AAPL,2022-10-27,2022-10-27T16:30:22-04:00,0000320193-22-000107,8-K,AAPL_2022-10-27_0000320193-22-000107_8-K.txt
AAPL,2022-10-27,2022-10-27T16:30:22-04:00,0000320193-22-000107,EX-99.1,AAPL_2022-10-27_0000320193-22-000107_EX-99-1.txt
AAPL,2022-11-07,2022-11-07T06:27:07-05:00,0001193125-22-278435,8-K,AAPL_2022-11-07_0001193125-22-278435_8-K.txt
AAPL,2022-11-07,2022-11-07T06:27:07-05:00,0001193125-22-278435,EX-99.1,AAPL_2022-11-07_0001193125-22-278435_EX-99-1.txt
AAPL,2023-02-02,2023-02-02T16:30:33-05:00,0000320193-23-000005,8-K,AAPL_2023-02-02_0000320193-23-000005_8-K.txt
AAPL,2023-02-02,2023-02-02T16:30:33-05:00,0000320193-23-000005,EX-99.1,AAPL_2023-02-02_0000320193-23-000005_EX-99-1.txt
AAPL,2023-03-10,2023-03-10T16:30:52-05:00,0001140361-23-011192,8-K,AAPL_2023-03-10_0001140361-23-011192_8-K.txt
AAPL,2023-05-04,2023-05-04T16:30:43-04:00,0000320193-23-000063,8-K,AAPL_2023-05-04_0000320193-23-000063_8-K.txt
AAPL,2023-05-04,2023-05-04T16:30:43-04:00,0000320193-23-000063,EX-99.1,AAPL_2023-05-04_0000320193-23-000063_EX-99-1.txt
AAPL,2023-05-10,2023-05-10T16:31:27-04:00,0001140361-23-023909,8-K,AAPL_2023-05-10_0001140361-23-023909_8-K.txt
AAPL,2023-08-03,2023-08-03T16:30:21-04:00,0000320193-23-000075,8-K,AAPL_2023-08-03_0000320193-23-000075_8-K.txt
AAPL,2023-08-03,2023-08-03T16:30:21-04:00,0000320193-23-000075,EX-99.1,AAPL_2023-08-03_0000320193-23-000075_EX-99-1.txt
AAPL,2023-11-02,2023-11-02T16:30:32-04:00,0000320193-23-000104,8-K,AAPL_2023-11-02_0000320193-23-000104_8-K.txt
AAPL,2023-11-02,2023-11-02T16:30:32-04:00,0000320193-23-000104,EX-99.1,AAPL_2023-11-02_0000320193-23-000104_EX-99-1.txt
AAPL,2024-02-01,2024-02-01T16:30:30-05:00,0000320193-24-000005,8-K,AAPL_2024-02-01_0000320193-24-000005_8-K.txt
AAPL,2024-02-01,2024-02-01T16:30:30-05:00,0000320193-24-000005,EX-99.1,AAPL_2024-02-01_0000320193-24-000005_EX-99-1.txt
AAPL,2024-02-28,2024-02-28T17:09:05-05:00,0001140361-24-010155,8-K,AAPL_2024-02-28_0001140361-24-010155_8-K.txt
AAPL,2024-05-02,2024-05-02T16:30:34-04:00,0000320193-24-000067,8-K,AAPL_2024-05-02_0000320193-24-000067_8-K.txt
AAPL,2024-05-02,2024-05-02T16:30:34-04:00,0000320193-24-000067,EX-99.1,AAPL_2024-05-02_0000320193-24-000067_EX-99-1.txt
AAPL,2024-05-03,2024-05-03T16:35:42-04:00,0001140361-24-024352,8-K,AAPL_2024-05-03_0001140361-24-024352_8-K.txt
AAPL,2024-05-03,2024-05-03T16:35:42-04:00,0001140361-24-024352,EX-99.1,AAPL_2024-05-03_0001140361-24-024352_EX-99-1.txt
AAPL,2024-05-03,2024-05-03T16:35:42-04:00,0001140361-24-024352,EX-99.2,AAPL_2024-05-03_0001140361-24-024352_EX-99-2.txt
AAPL,2024-08-01,2024-08-01T16:30:26-04:00,0000320193-24-000080,8-K,AAPL_2024-08-01_0000320193-24-000080_8-K.txt
AAPL,2024-08-01,2024-08-01T16:30:26-04:00,0000320193-24-000080,EX-99.1,AAPL_2024-08-01_0000320193-24-000080_EX-99-1.txt
AAPL,2024-08-23,2024-08-23T16:30:44-04:00,0001140361-24-038403,8-K,AAPL_2024-08-23_0001140361-24-038403_8-K.txt
AAPL,2024-08-26,2024-08-26T17:20:33-04:00,0001140361-24-038601,8-K,AAPL_2024-08-26_0001140361-24-038601_8-K.txt
AAPL,2024-09-10,2024-09-10T09:06:34-04:00,0001140361-24-040659,8-K,AAPL_2024-09-10_0001140361-24-040659_8-K.txt
AAPL,2024-10-31,2024-10-31T16:30:25-04:00,0000320193-24-000120,8-K,AAPL_2024-10-31_0000320193-24-000120_8-K.txt
AAPL,2024-10-31,2024-10-31T16:30:25-04:00,0000320193-24-000120,EX-99.1,AAPL_2024-10-31_0000320193-24-000120_EX-99-1.txt
AAPL,2025-01-03,2025-01-03T16:30:56-05:00,0001140361-25-000228,8-K,AAPL_2025-01-03_0001140361-25-000228_8-K.txt
AAPL,2025-01-30,2025-01-30T16:30:23-05:00,0000320193-25-000007,8-K,AAPL_2025-01-30_0000320193-25-000007_8-K.txt
AAPL,2025-01-30,2025-01-30T16:30:23-05:00,0000320193-25-000007,EX-99.1,AAPL_2025-01-30_0000320193-25-000007_EX-99-1.txt
AAPL,2025-02-25,2025-02-25T16:47:19-05:00,0001140361-25-005876,8-K,AAPL_2025-02-25_0001140361-25-005876_8-K.txt
AAPL,2025-05-01,2025-05-01T16:30:21-04:00,0000320193-25-000055,8-K,AAPL_2025-05-01_0000320193-25-000055_8-K.txt
AAPL,2025-05-01,2025-05-01T16:30:21-04:00,0000320193-25-000055,EX-99.1,AAPL_2025-05-01_0000320193-25-000055_EX-99-1.txt
AAPL,2025-05-12,2025-05-12T16:30:28-04:00,0001140361-25-018400,8-K,AAPL_2025-05-12_0001140361-25-018400_8-K.txt
AAPL,2025-07-08,2025-07-08T21:18:13-04:00,0001140361-25-025275,8-K,AAPL_2025-07-08_0001140361-25-025275_8-K.txt
AAPL,2025-07-25,2025-07-25T16:30:49-04:00,0001140361-25-027340,8-K,AAPL_2025-07-25_0001140361-25-027340_8-K.txt
AAPL,2025-07-31,2025-07-31T16:30:25-04:00,0000320193-25-000071,8-K,AAPL_2025-07-31_0000320193-25-000071_8-K.txt
AAPL,2025-07-31,2025-07-31T16:30:25-04:00,0000320193-25-000071,EX-99.1,AAPL_2025-07-31_0000320193-25-000071_EX-99-1.txt
AAPL,2025-10-30,2025-10-30T16:30:35-04:00,0000320193-25-000077,8-K,AAPL_2025-10-30_0000320193-25-000077_8-K.txt
AAPL,2025-10-30,2025-10-30T16:30:35-04:00,0000320193-25-000077,EX-99.1,AAPL_2025-10-30_0000320193-25-000077_EX-99-1.txt
AAPL,2025-12-05,2025-12-05T16:31:42-05:00,0001140361-25-044561,8-K,AAPL_2025-12-05_0001140361-25-044561_8-K.txt
AAPL,2026-01-02,2026-01-02T16:30:52-05:00,0001140361-26-000199,8-K,AAPL_2026-01-02_0001140361-26-000199_8-K.txt
AAPL,2026-01-29,2026-01-29T16:30:33-05:00,0000320193-26-000005,8-K,AAPL_2026-01-29_0000320193-26-000005_8-K.txt
AAPL,2026-01-29,2026-01-29T16:30:33-05:00,0000320193-26-000005,EX-99.1,AAPL_2026-01-29_0000320193-26-000005_EX-99-1.txt
AAPL,2026-02-24,2026-02-24T16:55:58-05:00,0001140361-26-006577,8-K,AAPL_2026-02-24_0001140361-26-006577_8-K.txt
AAPL,2026-04-20,2026-04-20T17:29:51-04:00,0001140361-26-015711,8-K,AAPL_2026-04-20_0001140361-26-015711_8-K.txt
AAPL,2026-04-30,2026-04-30T16:30:41-04:00,0000320193-26-000011,8-K,AAPL_2026-04-30_0000320193-26-000011_8-K.txt
AAPL,2026-04-30,2026-04-30T16:30:41-04:00,0000320193-26-000011,EX-99.1,AAPL_2026-04-30_0000320193-26-000011_EX-99-1.txt
AAPL,2026-07-30,2026-07-30T16:30:28-04:00,0000320193-26-000018,8-K,AAPL_2026-07-30_0000320193-26-000018_8-K.txt
AAPL,2026-07-30,2026-07-30T16:30:28-04:00,0000320193-26-000018,EX-99.1,AAPL_2026-07-30_0000320193-26-000018_EX-99-1.txt
MSFT,2020-01-29,2020-01-29T16:03:50-05:00,0001193125-20-018383,8-K,MSFT_2020-01-29_0001193125-20-018383_8-K.txt
MSFT,2020-01-29,2020-01-29T16:03:50-05:00,0001193125-20-018383,EX-99.1,MSFT_2020-01-29_0001193125-20-018383_EX-99-1.txt
MSFT,2020-02-26,2020-02-26T17:10:49-05:00,0001193125-20-050232,8-K,MSFT_2020-02-26_0001193125-20-050232_8-K.txt
MSFT,2020-02-26,2020-02-26T17:10:49-05:00,0001193125-20-050232,EX-99.1,MSFT_2020-02-26_0001193125-20-050232_EX-99-1.txt
MSFT,2020-03-13,2020-03-13T17:11:53-04:00,0001193125-20-073072,8-K,MSFT_2020-03-13_0001193125-20-073072_8-K.txt
MSFT,2020-03-13,2020-03-13T17:11:53-04:00,0001193125-20-073072,EX-99.1,MSFT_2020-03-13_0001193125-20-073072_EX-99-1.txt
MSFT,2020-03-31,2020-03-31T06:10:19-04:00,0001193125-20-091746,8-K,MSFT_2020-03-31_0001193125-20-091746_8-K.txt
MSFT,2020-03-31,2020-03-31T06:10:19-04:00,0001193125-20-091746,EX-99.1,MSFT_2020-03-31_0001193125-20-091746_EX-99-1.txt
MSFT,2020-04-29,2020-04-29T16:03:54-04:00,0001193125-20-126089,8-K,MSFT_2020-04-29_0001193125-20-126089_8-K.txt
MSFT,2020-04-29,2020-04-29T16:03:54-04:00,0001193125-20-126089,EX-99.1,MSFT_2020-04-29_0001193125-20-126089_EX-99-1.txt
MSFT,2020-04-30,2020-04-30T16:07:50-04:00,0001193125-20-128779,8-K,MSFT_2020-04-30_0001193125-20-128779_8-K.txt
MSFT,2020-04-30,2020-04-30T16:07:50-04:00,0001193125-20-128779,EX-99.1,MSFT_2020-04-30_0001193125-20-128779_EX-99-1.txt
MSFT,2020-05-14,2020-05-14T16:55:20-04:00,0001193125-20-142890,8-K,MSFT_2020-05-14_0001193125-20-142890_8-K.txt
MSFT,2020-05-14,2020-05-14T16:55:20-04:00,0001193125-20-142890,EX-99.1,MSFT_2020-05-14_0001193125-20-142890_EX-99-1.txt
MSFT,2020-05-14,2020-05-14T16:55:20-04:00,0001193125-20-142890,EX-99.2,MSFT_2020-05-14_0001193125-20-142890_EX-99-2.txt
MSFT,2020-06-01,2020-06-01T16:06:26-04:00,0001193125-20-157234,8-K,MSFT_2020-06-01_0001193125-20-157234_8-K.txt
MSFT,2020-06-01,2020-06-01T16:06:26-04:00,0001193125-20-157234,EX-99.1,MSFT_2020-06-01_0001193125-20-157234_EX-99-1.txt
MSFT,2020-06-26,2020-06-26T09:10:16-04:00,0001193125-20-180036,8-K,MSFT_2020-06-26_0001193125-20-180036_8-K.txt
MSFT,2020-06-26,2020-06-26T09:10:16-04:00,0001193125-20-180036,EX-99.1,MSFT_2020-06-26_0001193125-20-180036_EX-99-1.txt
MSFT,2020-07-01,2020-07-01T09:01:57-04:00,0001193125-20-184744,8-K,MSFT_2020-07-01_0001193125-20-184744_8-K.txt
MSFT,2020-07-07,2020-07-07T09:32:33-04:00,0001193125-20-188481,8-K,MSFT_2020-07-07_0001193125-20-188481_8-K.txt
MSFT,2020-07-22,2020-07-22T16:03:04-04:00,0001193125-20-197109,8-K,MSFT_2020-07-22_0001193125-20-197109_8-K.txt
MSFT,2020-07-22,2020-07-22T16:03:04-04:00,0001193125-20-197109,EX-99.1,MSFT_2020-07-22_0001193125-20-197109_EX-99-1.txt
MSFT,2020-08-03,2020-08-03T08:32:03-04:00,0001193125-20-207517,8-K,MSFT_2020-08-03_0001193125-20-207517_8-K.txt
MSFT,2020-08-03,2020-08-03T08:32:03-04:00,0001193125-20-207517,EX-99.1,MSFT_2020-08-03_0001193125-20-207517_EX-99-1.txt
MSFT,2020-09-21,2020-09-21T16:05:56-04:00,0001193125-20-250163,8-K,MSFT_2020-09-21_0001193125-20-250163_8-K.txt
MSFT,2020-09-21,2020-09-21T16:05:56-04:00,0001193125-20-250163,EX-99.1,MSFT_2020-09-21_0001193125-20-250163_EX-99-1.txt
MSFT,2020-10-27,2020-10-27T16:12:57-04:00,0001193125-20-278410,8-K,MSFT_2020-10-27_0001193125-20-278410_8-K.txt
MSFT,2020-10-27,2020-10-27T16:12:57-04:00,0001193125-20-278410,EX-99.1,MSFT_2020-10-27_0001193125-20-278410_EX-99-1.txt
MSFT,2020-12-04,2020-12-04T15:27:34-05:00,0001193125-20-310549,8-K,MSFT_2020-12-04_0001193125-20-310549_8-K.txt
MSFT,2021-01-26,2021-01-26T16:04:05-05:00,0001193125-21-017683,8-K,MSFT_2021-01-26_0001193125-21-017683_8-K.txt
MSFT,2021-01-26,2021-01-26T16:04:05-05:00,0001193125-21-017683,EX-99.1,MSFT_2021-01-26_0001193125-21-017683_EX-99-1.txt
MSFT,2021-02-16,2021-02-16T16:25:04-05:00,0001193125-21-044940,8-K,MSFT_2021-02-16_0001193125-21-044940_8-K.txt
MSFT,2021-02-16,2021-02-16T16:25:04-05:00,0001193125-21-044940,EX-99.1,MSFT_2021-02-16_0001193125-21-044940_EX-99-1.txt
MSFT,2021-03-02,2021-03-02T17:19:56-05:00,0001193125-21-065751,8-K,MSFT_2021-03-02_0001193125-21-065751_8-K.txt
MSFT,2021-03-02,2021-03-02T17:19:56-05:00,0001193125-21-065751,EX-99.1,MSFT_2021-03-02_0001193125-21-065751_EX-99-1.txt
MSFT,2021-03-02,2021-03-02T17:19:56-05:00,0001193125-21-065751,EX-99.2,MSFT_2021-03-02_0001193125-21-065751_EX-99-2.txt
MSFT,2021-03-17,2021-03-17T17:23:06-04:00,0001193125-21-084239,8-K,MSFT_2021-03-17_0001193125-21-084239_8-K.txt
MSFT,2021-03-17,2021-03-17T17:23:06-04:00,0001193125-21-084239,EX-99.1,MSFT_2021-03-17_0001193125-21-084239_EX-99-1.txt
MSFT,2021-04-12,2021-04-12T10:51:09-04:00,0001193125-21-112687,8-K,MSFT_2021-04-12_0001193125-21-112687_8-K.txt
MSFT,2021-04-12,2021-04-12T10:51:09-04:00,0001193125-21-112687,EX-99.1,MSFT_2021-04-12_0001193125-21-112687_EX-99-1.txt
MSFT,2021-04-12,2021-04-12T10:51:09-04:00,0001193125-21-112687,EX-99.2,MSFT_2021-04-12_0001193125-21-112687_EX-99-2.txt
MSFT,2021-04-27,2021-04-27T16:04:57-04:00,0001193125-21-134213,8-K,MSFT_2021-04-27_0001193125-21-134213_8-K.txt
MSFT,2021-04-27,2021-04-27T16:04:57-04:00,0001193125-21-134213,EX-99.1,MSFT_2021-04-27_0001193125-21-134213_EX-99-1.txt
MSFT,2021-05-20,2021-05-20T17:15:35-04:00,0001193125-21-167940,8-K,MSFT_2021-05-20_0001193125-21-167940_8-K.txt
MSFT,2021-06-17,2021-06-17T09:01:05-04:00,0001193125-21-192783,8-K,MSFT_2021-06-17_0001193125-21-192783_8-K.txt
MSFT,2021-07-08,2021-07-08T16:24:37-04:00,0001193125-21-210827,8-K,MSFT_2021-07-08_0001193125-21-210827_8-K.txt
MSFT,2021-07-08,2021-07-08T16:24:37-04:00,0001193125-21-210827,EX-99.1,MSFT_2021-07-08_0001193125-21-210827_EX-99-1.txt
MSFT,2021-07-27,2021-07-27T16:41:19-04:00,0001193125-21-225746,8-K,MSFT_2021-07-27_0001193125-21-225746_8-K.txt
MSFT,2021-07-27,2021-07-27T16:41:19-04:00,0001193125-21-225746,EX-99.1,MSFT_2021-07-27_0001193125-21-225746_EX-99-1.txt
MSFT,2021-10-26,2021-10-26T16:04:14-04:00,0001193125-21-307941,8-K,MSFT_2021-10-26_0001193125-21-307941_8-K.txt
MSFT,2021-10-26,2021-10-26T16:04:14-04:00,0001193125-21-307941,EX-99.1,MSFT_2021-10-26_0001193125-21-307941_EX-99-1.txt
MSFT,2021-11-30,2021-11-30T16:25:20-05:00,0001193125-21-343711,8-K,MSFT_2021-11-30_0001193125-21-343711_8-K.txt
MSFT,2022-01-18,2022-01-18T08:49:05-05:00,0001193125-22-010667,8-K,MSFT_2022-01-18_0001193125-22-010667_8-K.txt
MSFT,2022-01-18,2022-01-18T08:49:05-05:00,0001193125-22-010667,EX-99.1,MSFT_2022-01-18_0001193125-22-010667_EX-99-1.txt
