Test_Year,Model,Feature,Importance
2023,TABNET A - MARKET,market__QQQ_Log_Return_5D,0.08218178960340922
2023,TABNET A - MARKET,market__Stock_vs_QQQ_1D,0.06855548642499215
2023,TABNET A - MARKET,ticker__Ticker_ADBE,0.05173487181247657
2023,TABNET A - MARKET,market__Price_to_SMA20,0.048636116526195025
2023,TABNET A - MARKET,market__Intraday_Return,0.047752240894874176
2023,TABNET A - MARKET,market__Stock_vs_QQQ_5D,0.046743400108751436
2023,TABNET A - MARKET,ticker__Ticker_AVGO,0.046720307252440835
2023,TABNET A - MARKET,market__RSI_14,0.04527844058757584
2023,TABNET A - MARKET,ticker__Ticker_AMZN,0.04521294758426924
2023,TABNET A - MARKET,market__Volatility_14D,0.04184378142643177
2023,TABNET A - MARKET,ticker__Ticker_NFLX,0.04157623849279322
2023,TABNET A - MARKET,market__Relative_Volume_20D,0.03785989053518727
2023,TABNET A - MARKET,ticker__Ticker_NVDA,0.03670886150478489
2023,TABNET A - MARKET,ticker__Ticker_META,0.03470338090430983
2023,TABNET A - MARKET,ticker__Ticker_AMD,0.0336923472984512
2023,TABNET A - MARKET,ticker__Ticker_INTC,0.0320401347630837
2023,TABNET A - MARKET,market__QQQ_Volatility_14D,0.030989917641676197
2023,TABNET A - MARKET,ticker__Ticker_MSFT,0.029226345598095997
2023,TABNET A - MARKET,market__Daily_Range,0.029022145306927368
2023,TABNET A - MARKET,market__QQQ_Log_Return_1D,0.026784964120731156
2023,TABNET A - MARKET,market__QQQ_Log_Return_3D,0.026727975026662642
2023,TABNET A - MARKET,ticker__Ticker_GOOGL,0.025830059229805167
2023,TABNET A - MARKET,ticker__Ticker_AAPL,0.023878721078197017
2023,TABNET A - MARKET,ticker__Ticker_TSLA,0.023758070338028212
2023,TABNET A - MARKET,market__Stock_vs_QQQ_3D,0.02297610026323665
2023,TABNET A - MARKET,ticker__Ticker_QCOM,0.019565465676613242
2023,TABNET B - MARKET + SEC,binary__Has_Event_Buyback,0.05421110322938958
2023,TABNET B - MARKET + SEC,market__QQQ_Volatility_14D,0.05370169218361155
2023,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_1D,0.0468141608100595
2023,TABNET B - MARKET + SEC,market__Volatility_14D,0.0467026165722919
2023,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_3D,0.03671095506185543
2023,TABNET B - MARKET + SEC,ticker__Ticker_INTC,0.034951219312948874
2023,TABNET B - MARKET + SEC,market__Intraday_Return,0.03439625812915639
2023,TABNET B - MARKET + SEC,binary__Has_Item_2_02,0.03239527192510074
2023,TABNET B - MARKET + SEC,market__QQQ_Log_Return_3D,0.03234004445722851
2023,TABNET B - MARKET + SEC,binary__Has_Event_Earnings,0.03101811326274972
2023,TABNET B - MARKET + SEC,ticker__Ticker_MSFT,0.03080044417692478
2023,TABNET B - MARKET + SEC,ticker__Ticker_AMZN,0.030731570931581204
2023,TABNET B - MARKET + SEC,binary__Has_Item_5_02,0.028959806919063507
2023,TABNET B - MARKET + SEC,ticker__Ticker_AVGO,0.028455839091927303
2023,TABNET B - MARKET + SEC,market__RSI_14,0.028172370666069795
2023,TABNET B - MARKET + SEC,binary__Has_Item_2_03,0.027841262635740993
2023,TABNET B - MARKET + SEC,binary__Has_Item_8_01,0.026340495682300454
2023,TABNET B - MARKET + SEC,ticker__Ticker_META,0.025873873749745813
2023,TABNET B - MARKET + SEC,market__Daily_Range,0.025155202371992053
2023,TABNET B - MARKET + SEC,ticker__Ticker_AAPL,0.02459130640783223
2023,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_5D,0.02353586256773154
2023,TABNET B - MARKET + SEC,ticker__Ticker_QCOM,0.0234439532709787
2023,TABNET B - MARKET + SEC,binary__Has_Item_1_02,0.023199330825614768
2023,TABNET B - MARKET + SEC,market__QQQ_Log_Return_5D,0.021943282305558247
2023,TABNET B - MARKET + SEC,ticker__Ticker_TSLA,0.021152908991293417
2023,TABNET B - MARKET + SEC,binary__Has_Item_5_07,0.02031717044493967
2023,TABNET B - MARKET + SEC,market__Price_to_SMA20,0.019979899580622747
2023,TABNET B - MARKET + SEC,binary__Has_EX99,0.018067014596254805
2023,TABNET B - MARKET + SEC,binary__Has_Item_1_01,0.017361431156898026
2023,TABNET B - MARKET + SEC,binary__Has_Item_7_01,0.016933376763774818
2023,TABNET B - MARKET + SEC,ticker__Ticker_ADBE,0.014800977494021489
2023,TABNET B - MARKET + SEC,ticker__Ticker_AMD,0.014122520329563787
2023,TABNET B - MARKET + SEC,market__Relative_Volume_20D,0.01411443634588087
2023,TABNET B - MARKET + SEC,binary__Has_Item_5_03,0.013656571235347333
2023,TABNET B - MARKET + SEC,market__QQQ_Log_Return_1D,0.012847990504346877
2023,TABNET B - MARKET + SEC,ticker__Ticker_NFLX,0.012787813272877199
2023,TABNET B - MARKET + SEC,ticker__Ticker_GOOGL,0.012699646450950081
2023,TABNET B - MARKET + SEC,binary__Has_Event_Guidance,0.010387973419276691
2023,TABNET B - MARKET + SEC,ticker__Ticker_NVDA,0.008484232866498602
2023,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_1D,0.06286445223770153
2023,TABNET C - MARKET + SEC + FINBERT,market__Volatility_14D,0.048092021320990996
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.039030194461869755
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.03648552528327562
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.03529772544273148
2023,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_1D,0.033566792991459586
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AMZN,0.030982901680348465
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_EX99,0.03072878301026054
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_QCOM,0.029863801442035414
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_TSLA,0.02854142771513351
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_MSFT,0.028492570187680304
2023,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_3D,0.027614680208599297
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AAPL,0.026536407602469697
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_8_01,0.02620644155821237
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,0.026017422515920867
2023,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_3D,0.025902420555624497
2023,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Volatility_14D,0.025663923711562023
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_NFLX,0.024682767696235303
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_META,0.022942865790191672
2023,TABNET C - MARKET + SEC + FINBERT,sentiment__Mean_Net_Sentiment,0.022647436043317117
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_NVDA,0.022603137881273105
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Earnings,0.020676986811056307
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.020283710048527213
2023,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_5D,0.019912453409822447
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_GOOGL,0.019188913208264123
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_ADBE,0.01918053081558205
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.018873101828269786
2023,TABNET C - MARKET + SEC + FINBERT,market__Intraday_Return,0.01866968097938402
2023,TABNET C - MARKET + SEC + FINBERT,market__Price_to_SMA20,0.018628105074000232
2023,TABNET C - MARKET + SEC + FINBERT,market__Relative_Volume_20D,0.01787349493652874
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,0.01745924601535842
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.017258397349574815
2023,TABNET C - MARKET + SEC + FINBERT,market__Daily_Range,0.017065809360063165
2023,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_5D,0.015475203446348429
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Sentiment_History,0.01523197729250111
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AVGO,0.014831294246534682
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_INTC,0.014054017264646652
2023,TABNET C - MARKET + SEC + FINBERT,sentiment__Sentiment_Momentum_3,0.013813975098122206
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,0.013792183677590239
2023,TABNET C - MARKET + SEC + FINBERT,market__RSI_14,0.012482760885394665
2023,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.011184473810562891
2023,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AMD,0.009299985104974628
2024,TABNET A - MARKET,market__QQQ_Log_Return_5D,0.0781523841957191
2024,TABNET A - MARKET,market__Stock_vs_QQQ_3D,0.0747945192299621
2024,TABNET A - MARKET,market__Intraday_Return,0.06107816082906722
2024,TABNET A - MARKET,market__QQQ_Volatility_14D,0.05724069276670332
2024,TABNET A - MARKET,market__Stock_vs_QQQ_5D,0.0519134470386364
2024,TABNET A - MARKET,ticker__Ticker_INTC,0.0483941171301054
2024,TABNET A - MARKET,market__QQQ_Log_Return_3D,0.0477368911917392
2024,TABNET A - MARKET,market__Stock_vs_QQQ_1D,0.04618360268380263
2024,TABNET A - MARKET,ticker__Ticker_GOOGL,0.03574338214910348
2024,TABNET A - MARKET,ticker__Ticker_AMD,0.03505829242242598
2024,TABNET A - MARKET,market__Relative_Volume_20D,0.034529347075923304
2024,TABNET A - MARKET,market__QQQ_Log_Return_1D,0.03386955863661084
2024,TABNET A - MARKET,market__RSI_14,0.03319115810824537
2024,TABNET A - MARKET,market__Price_to_SMA20,0.03246818285763596
2024,TABNET A - MARKET,ticker__Ticker_AAPL,0.03213304335810235
2024,TABNET A - MARKET,ticker__Ticker_ADBE,0.03207457061512746
2024,TABNET A - MARKET,market__Daily_Range,0.032009452221398886
2024,TABNET A - MARKET,ticker__Ticker_NFLX,0.029931798059979735
2024,TABNET A - MARKET,ticker__Ticker_META,0.029044547954419523
2024,TABNET A - MARKET,market__Volatility_14D,0.028938950766335937
2024,TABNET A - MARKET,ticker__Ticker_TSLA,0.026806720798021197
2024,TABNET A - MARKET,ticker__Ticker_AMZN,0.025389431220215083
2024,TABNET A - MARKET,ticker__Ticker_QCOM,0.025101989192449752
2024,TABNET A - MARKET,ticker__Ticker_NVDA,0.024933523574430433
2024,TABNET A - MARKET,ticker__Ticker_AVGO,0.02403496953029929
2024,TABNET A - MARKET,ticker__Ticker_MSFT,0.019247266393540123
2024,TABNET B - MARKET + SEC,market__QQQ_Volatility_14D,0.08477711906050163
2024,TABNET B - MARKET + SEC,market__Relative_Volume_20D,0.07204065915156503
2024,TABNET B - MARKET + SEC,market__RSI_14,0.06393392799882133
2024,TABNET B - MARKET + SEC,market__Daily_Range,0.06229989608120741
2024,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_5D,0.059965304320844785
2024,TABNET B - MARKET + SEC,binary__Has_EX99,0.037433028898155044
2024,TABNET B - MARKET + SEC,market__Volatility_14D,0.03281627568934031
2024,TABNET B - MARKET + SEC,ticker__Ticker_AVGO,0.03214023341137784
2024,TABNET B - MARKET + SEC,market__QQQ_Log_Return_1D,0.03159655763914783
2024,TABNET B - MARKET + SEC,market__Intraday_Return,0.027438514583746187
2024,TABNET B - MARKET + SEC,market__Price_to_SMA20,0.02701598487082028
2024,TABNET B - MARKET + SEC,market__QQQ_Log_Return_3D,0.026104261382648652
2024,TABNET B - MARKET + SEC,ticker__Ticker_TSLA,0.023087883580553296
2024,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_3D,0.022968583005644406
2024,TABNET B - MARKET + SEC,ticker__Ticker_NVDA,0.021348466869803615
2024,TABNET B - MARKET + SEC,ticker__Ticker_ADBE,0.020676915718085557
2024,TABNET B - MARKET + SEC,binary__Has_Item_5_03,0.01836896763781298
2024,TABNET B - MARKET + SEC,ticker__Ticker_AMZN,0.01812973287892353
2024,TABNET B - MARKET + SEC,ticker__Ticker_AMD,0.01809474778326146
2024,TABNET B - MARKET + SEC,market__Stock_vs_QQQ_1D,0.0179831145727231
2024,TABNET B - MARKET + SEC,binary__Has_Item_1_02,0.01770877453497291
2024,TABNET B - MARKET + SEC,binary__Has_Item_5_02,0.017570654693783255
2024,TABNET B - MARKET + SEC,ticker__Ticker_INTC,0.0174169901879437
2024,TABNET B - MARKET + SEC,binary__Has_Event_Buyback,0.016444250825460374
2024,TABNET B - MARKET + SEC,binary__Has_Item_2_02,0.01641116263841138
2024,TABNET B - MARKET + SEC,ticker__Ticker_AAPL,0.0162276845557302
2024,TABNET B - MARKET + SEC,ticker__Ticker_QCOM,0.015615940681968147
2024,TABNET B - MARKET + SEC,binary__Has_Item_8_01,0.01535896128806302
2024,TABNET B - MARKET + SEC,binary__Has_Item_7_01,0.015355686494055321
2024,TABNET B - MARKET + SEC,ticker__Ticker_MSFT,0.015277891649052355
2024,TABNET B - MARKET + SEC,market__QQQ_Log_Return_5D,0.014747933742502158
2024,TABNET B - MARKET + SEC,binary__Has_Event_Guidance,0.013830349507204468
2024,TABNET B - MARKET + SEC,binary__Has_Event_Earnings,0.013385379388508043
2024,TABNET B - MARKET + SEC,binary__Has_Item_1_01,0.013126337019877062
2024,TABNET B - MARKET + SEC,binary__Has_Item_2_01,0.012470824936114731
2024,TABNET B - MARKET + SEC,binary__Has_Item_5_07,0.012291372139198878
2024,TABNET B - MARKET + SEC,ticker__Ticker_GOOGL,0.01082760655370386
2024,TABNET B - MARKET + SEC,ticker__Ticker_META,0.010317310630997091
2024,TABNET B - MARKET + SEC,ticker__Ticker_NFLX,0.010253757907239801
2024,TABNET B - MARKET + SEC,binary__Has_Item_2_03,0.0071409554902289495
2024,TABNET C - MARKET + SEC + FINBERT,market__Daily_Range,0.11668518854637272
2024,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_1D,0.0808476658945207
2024,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Volatility_14D,0.04042495064687519
2024,TABNET C - MARKET + SEC + FINBERT,market__Price_to_SMA20,0.037333737210857205
2024,TABNET C - MARKET + SEC + FINBERT,market__Intraday_Return,0.03454808298502018
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_GOOGL,0.033321953761574374
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_2_02,0.03197840198653834
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_ADBE,0.03135867701887231
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_2_03,0.0305416050191443
2024,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_3D,0.02841568835988444
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_1_02,0.023577264436570804
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AMZN,0.023474339894312884
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AVGO,0.023336704739667237
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Guidance,0.02309330727024371
2024,TABNET C - MARKET + SEC + FINBERT,sentiment__Sentiment_Momentum_3,0.02281214926444336
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_INTC,0.02230377670524907
2024,TABNET C - MARKET + SEC + FINBERT,sentiment__Mean_Net_Sentiment,0.020431864077882448
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_07,0.01992047268740146
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_TSLA,0.01961420175115678
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_2_01,0.019427014075590426
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_02,0.01927634779682106
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_META,0.019032061512527
2024,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_5D,0.018085903930004463
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_7_01,0.016412753814395404
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_1_01,0.016295434226075642
2024,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_3D,0.01627662645608493
2024,TABNET C - MARKET + SEC + FINBERT,market__Relative_Volume_20D,0.015981704948048667
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Buyback,0.01589342068779068
2024,TABNET C - MARKET + SEC + FINBERT,market__Volatility_14D,0.01584988024165804
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_EX99,0.015795176545371045
2024,TABNET C - MARKET + SEC + FINBERT,market__RSI_14,0.015765937403832374
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_NVDA,0.015432138544137908
2024,TABNET C - MARKET + SEC + FINBERT,market__QQQ_Log_Return_5D,0.015020166462090388
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_5_03,0.014514806024284375
2024,TABNET C - MARKET + SEC + FINBERT,market__Stock_vs_QQQ_1D,0.014282183649124132
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AMD,0.013149282372090433
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_AAPL,0.011615577552878455
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_NFLX,0.011201543599980901
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Event_Earnings,0.010510926693912565
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Sentiment_History,0.007216016751763265
2024,TABNET C - MARKET + SEC + FINBERT,binary__Has_Item_8_01,0.006830081877224621
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_QCOM,0.006666770465098241
2024,TABNET C - MARKET + SEC + FINBERT,ticker__Ticker_MSFT,0.005448212112627374
2025,TABNET A - MARKET,market__Stock_vs_QQQ_3D,0.08284919388482577
2025,TABNET A - MARKET,market__Stock_vs_QQQ_5D,0.06971098997759947
2025,TABNET A - MARKET,market__Daily_Range,0.06575443884975504
2025,TABNET A - MARKET,market__QQQ_Log_Return_1D,0.06391616987401687
2025,TABNET A - MARKET,ticker__Ticker_INTC,0.04381908744545499
2025,TABNET A - MARKET,ticker__Ticker_NFLX,0.04166364236327284
2025,TABNET A - MARKET,market__Stock_vs_QQQ_1D,0.04120038927368974
2025,TABNET A - MARKET,ticker__Ticker_AMZN,0.04013105334594644
