Test_Year,Validation_Year,Model,Train_Size,Validation_Size,Test_Size,Num_Encoded_Features,Final_Epochs,Best_Val_Loss,Selected_SEC_Features,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Brier_Score,Log_Loss,TN,FP,FN,TP
2023,2022,TABNET A - MARKET,441,134,118,26,16,0.6915761232376099,,0.5338983050847458,0.5057720057720058,0.5,0.09090909090909091,0.15384615384615385,0.5616161616161617,0.24915160238742828,0.6916139721870422,58,5,50,5
2023,2022,TABNET B - MARKET + SEC,441,134,118,39,6,0.7332873940467834,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.4915254237288136,0.5226551226551226,0.4778761061946903,0.9818181818181818,0.6428571428571429,0.5102453102453102,0.26105624437332153,0.7158523797988892,4,59,1,54
2023,2022,TABNET C - MARKET + SEC + FINBERT,441,134,118,42,13,0.6834067106246948,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5338983050847458,0.5011544011544011,0.5,0.01818181818181818,0.03508771929824561,0.4453102453102453,0.2627509832382202,0.7204930782318115,62,1,54,1
2024,2023,TABNET A - MARKET,559,118,122,26,8,0.682650625705719,,0.4672131147540984,0.466991341991342,0.4262295081967213,0.4642857142857143,0.4444444444444444,0.4686147186147186,0.2523672878742218,0.6977352499961853,31,35,30,26
2024,2023,TABNET B - MARKET + SEC,559,118,122,40,1,0.7209736704826355,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.47540983606557374,0.4678030303030303,0.42,0.375,0.39622641509433965,0.5181277056277056,0.24829237163066864,0.6891790628433228,37,29,35,21
2024,2023,TABNET C - MARKET + SEC + FINBERT,559,118,122,43,36,0.6867590546607971,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5655737704918032,0.547077922077922,0.5454545454545454,0.32142857142857145,0.4044943820224719,0.5863095238095238,0.243169903755188,0.6792725324630737,51,15,38,18
2025,2024,TABNET A - MARKET,681,122,150,26,15,0.6874746084213257,,0.5866666666666667,0.537609011627907,0.5416666666666666,0.203125,0.29545454545454547,0.5103561046511628,0.2501491904258728,0.732759416103363,75,11,51,13
2025,2024,TABNET B - MARKET + SEC,681,122,150,40,34,0.6704685091972351,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5933333333333334,0.5314316860465116,0.6363636363636364,0.109375,0.18666666666666668,0.5988372093023256,0.23800836503505707,0.667677104473114,82,4,57,7
2025,2024,TABNET C - MARKET + SEC + FINBERT,681,122,150,43,50,0.6754693984985352,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5866666666666667,0.5695857558139534,0.5178571428571429,0.453125,0.48333333333333334,0.5804869186046512,0.24253956973552704,0.6842728853225708,59,27,35,29
2026,2025,TABNET A - MARKET,831,150,104,26,17,0.6647121906280518,,0.41346153846153844,0.4332096474953618,0.3125,0.09090909090909091,0.14084507042253522,0.3350649350649351,0.28657376766204834,0.7981547117233276,38,11,50,5
2026,2025,TABNET B - MARKET + SEC,831,150,104,40,8,0.6796674132347107,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.49038461538461536,0.5181818181818182,1.0,0.03636363636363636,0.07017543859649122,0.39628942486085345,0.26870808005332947,0.7317457795143127,49,0,53,2
2026,2025,TABNET C - MARKET + SEC + FINBERT,831,150,104,43,41,0.6541681885719299,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.4423076923076923,0.44712430426716143,0.46511627906976744,0.36363636363636365,0.40816326530612246,0.4241187384044527,0.2795313000679016,0.7709009647369385,26,23,35,20
