Test_Year,Validation_Year,Model,Train_Size,Validation_Size,Test_Size,Features,Best_Epoch,Final_Epochs,Best_Val_Loss,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
2023,2022,TABNET A - MARKET,453,140,121,24,23,24,0.6854848861694336,0.4793388429752066,0.4762295081967213,0.4,0.1,0.16,0.45437158469945355
2023,2022,TABNET B - MARKET + SEC,453,140,121,34,0,1,0.6885071396827698,0.5206611570247934,0.5228142076502732,0.5108695652173914,0.7833333333333333,0.618421052631579,0.5065573770491804
2023,2022,TABNET C - MARKET + SEC + FINBERT,453,140,121,36,3,4,0.6924663186073303,0.512396694214876,0.5150273224043715,0.5050505050505051,0.8333333333333334,0.6289308176100629,0.5049180327868853
2024,2023,TABNET A - MARKET,574,121,123,24,1,2,0.6965034604072571,0.5121951219512195,0.48647214854111404,0.3333333333333333,0.034482758620689655,0.0625,0.4761273209549072
2024,2023,TABNET B - MARKET + SEC,574,121,123,35,10,11,0.688983142375946,0.5040650406504065,0.48342175066313,0.4117647058823529,0.1206896551724138,0.18666666666666668,0.49734748010610075
2024,2023,TABNET C - MARKET + SEC + FINBERT,574,121,123,37,6,7,0.708845317363739,0.44715447154471544,0.4435013262599469,0.4074074074074074,0.3793103448275862,0.39285714285714285,0.4220159151193633
2025,2024,TABNET A - MARKET,697,123,151,24,7,8,0.6843599677085876,0.3973509933774834,0.45815295815295815,0.3939393939393939,0.8253968253968254,0.5333333333333333,0.4309163059163059
2025,2024,TABNET B - MARKET + SEC,697,123,151,35,13,14,0.6927216649055481,0.4966887417218543,0.4599567099567099,0.3488372093023256,0.23809523809523808,0.2830188679245283,0.39862914862914856
2025,2024,TABNET C - MARKET + SEC + FINBERT,697,123,151,37,0,1,0.6788043975830078,0.423841059602649,0.4402958152958153,0.3695652173913043,0.5396825396825397,0.43870967741935485,0.44787157287157287
2026,2025,TABNET A - MARKET,848,151,107,24,3,4,0.6883243918418884,0.5233644859813084,0.48574483250178185,0.4,0.21739130434782608,0.28169014084507044,0.43442622950819676
2026,2025,TABNET B - MARKET + SEC,848,151,107,36,38,39,0.6635979413986206,0.45794392523364486,0.4738061297220243,0.4090909090909091,0.5869565217391305,0.48214285714285715,0.4935851746258018
2026,2025,TABNET C - MARKET + SEC + FINBERT,848,151,107,38,29,30,0.669532835483551,0.514018691588785,0.48823948681397006,0.4117647058823529,0.30434782608695654,0.35,0.5053456878118319
