Test_Year,Model,Train_Size,Test_Size,Sequence_Length,Sequence_Features,Static_Features,Final_Train_Loss,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Validation_Year,Best_Epoch,Best_Val_Loss
2023,TRANSFORMER A - MARKET SEQUENCE,453,121,30,11,13,0.7018329873681068,0.5041322314049587,0.5016393442622951,0.5,0.2,0.2857142857142857,0.5497267759562842,2022,1,0.6882664135524205
2023,TRANSFORMER B - MARKET SEQUENCE + SEC,453,121,30,11,21,0.6891553327441216,0.5041322314049587,0.5017759562841531,0.5,0.21666666666666667,0.3023255813953488,0.505464480874317,2022,2,0.69778619153159
2023,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,453,121,30,11,23,0.6782932057976723,0.512396694214876,0.510655737704918,0.5142857142857142,0.3,0.37894736842105264,0.5040983606557378,2022,3,0.6929829461233956
2024,TRANSFORMER A - MARKET SEQUENCE,574,123,30,11,13,0.6981929739316305,0.5365853658536586,0.5095490716180372,0.6666666666666666,0.034482758620689655,0.06557377049180328,0.39973474801061004,2023,1,0.6927345843354532
2024,TRANSFORMER B - MARKET SEQUENCE + SEC,574,123,30,11,21,0.6942492789692349,0.5528455284552846,0.5286472148541115,0.6666666666666666,0.10344827586206896,0.1791044776119403,0.5591511936339523,2023,1,0.6957925843798425
2024,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,574,123,30,11,23,0.6860676341586642,0.5528455284552846,0.5407161803713527,0.5428571428571428,0.3275862068965517,0.40860215053763443,0.5713527851458886,2023,2,0.700310320893595
2025,TRANSFORMER A - MARKET SEQUENCE,697,151,30,11,13,0.6938469409942627,0.4966887417218543,0.44191919191919193,0.25925925925925924,0.1111111111111111,0.15555555555555556,0.4453463203463203,2024,4,0.6919534264541254
2025,TRANSFORMER B - MARKET SEQUENCE + SEC,697,151,30,11,21,0.7014693292704496,0.5364238410596026,0.48502886002886003,0.3793103448275862,0.1746031746031746,0.2391304347826087,0.4897186147186147,2024,1,0.695172317628938
2025,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,697,151,30,11,23,0.6859507777474143,0.543046357615894,0.4726731601731602,0.25,0.047619047619047616,0.08,0.4969336219336219,2024,2,0.6891431730937182
2026,TRANSFORMER A - MARKET SEQUENCE,848,107,30,11,13,0.6867586672306061,0.5700934579439252,0.5026728439059159,0.5,0.021739130434782608,0.041666666666666664,0.4964362081254454,2025,2,0.6849641484140561
2026,TRANSFORMER B - MARKET SEQUENCE + SEC,848,107,30,11,23,0.6901559148515973,0.5607476635514018,0.4918032786885246,0.0,0.0,0.0,0.42088382038488953,2025,3,0.6876997789799772
2026,TRANSFORMER C - MARKET SEQUENCE + SEC + FINBERT,848,107,30,11,25,0.6874074765614101,0.5514018691588785,0.4942979330007128,0.4,0.08695652173913043,0.14285714285714285,0.4436920883820385,2025,5,0.6855184542422263
