Feature,VIF,VIF_Level
Price_to_SMA20,5.125289572390361,Średni
Intraday_Return,3.975737491392421,Niski
RSI_14,3.9719931248184785,Niski
Stock_vs_QQQ_1D,3.570495881416098,Niski
Stock_vs_QQQ_5D,3.398866252689889,Niski
Stock_vs_QQQ_3D,3.2438103099026443,Niski
Volatility_14D,3.210166085873365,Niski
QQQ_Log_Return_3D,3.058206820104518,Niski
QQQ_Log_Return_5D,3.0360772958225657,Niski
QQQ_Volatility_14D,2.5827909672187497,Niski
Daily_Range,2.3236687895906742,Niski
QQQ_Log_Return_1D,2.069985116365586,Niski
Relative_Volume_20D,1.1711729734940781,Niski
