Feature,VIF,VIF_Level
Log_Return_5D_Z60,6.24400077266567,Średni
Log_Return_3D_Z60,6.046432136145393,Średni
QQQ_Log_Return_3D,5.993128923518193,Średni
Log_Return_1D_Z60,5.943851277965171,Średni
QQQ_Log_Return_5D,5.2346046174675225,Średni
Price_to_SMA20_Z60,3.64672931004112,Niski
QQQ_Log_Return_1D,3.4871432371223765,Niski
Intraday_Return_Z60,3.1203630499915103,Niski
RSI_14,2.3562705796502654,Niski
Daily_Range_Z60,1.6263216855301963,Niski
QQQ_Volatility_14D,1.5664586733046617,Niski
Volatility_14D_Z60,1.5526556822176087,Niski
Relative_Volume_20D_Z60,1.2472160905297622,Niski
