Test_Year,Model,Feature,Importance
2023,XGB A - MARKET,market__QQQ_Log_Return_1D,0.09690556
2023,XGB A - MARKET,market__Daily_Range,0.08900678
2023,XGB A - MARKET,market__Price_to_SMA20,0.08304613
2023,XGB A - MARKET,market__RSI_14,0.080765076
2023,XGB A - MARKET,market__QQQ_Volatility_14D,0.07919231
2023,XGB A - MARKET,market__Stock_vs_QQQ_5D,0.07790613
2023,XGB A - MARKET,market__QQQ_Log_Return_5D,0.07636407
2023,XGB A - MARKET,market__Stock_vs_QQQ_3D,0.076048836
2023,XGB A - MARKET,market__Relative_Volume_20D,0.07286923
2023,XGB A - MARKET,market__Stock_vs_QQQ_1D,0.07238023
2023,XGB A - MARKET,market__Volatility_14D,0.06741852
2023,XGB A - MARKET,market__QQQ_Log_Return_3D,0.066740006
2023,XGB A - MARKET,market__Intraday_Return,0.06135716
2023,XGB A - MARKET,ticker__Ticker_AAPL,0.0
2023,XGB A - MARKET,ticker__Ticker_ADBE,0.0
2023,XGB A - MARKET,ticker__Ticker_AMD,0.0
2023,XGB A - MARKET,ticker__Ticker_AMZN,0.0
2023,XGB A - MARKET,ticker__Ticker_AVGO,0.0
2023,XGB A - MARKET,ticker__Ticker_GOOGL,0.0
2023,XGB A - MARKET,ticker__Ticker_INTC,0.0
2023,XGB A - MARKET,ticker__Ticker_META,0.0
2023,XGB A - MARKET,ticker__Ticker_MSFT,0.0
2023,XGB A - MARKET,ticker__Ticker_NFLX,0.0
2023,XGB A - MARKET,ticker__Ticker_NVDA,0.0
2023,XGB A - MARKET,ticker__Ticker_QCOM,0.0
2023,XGB A - MARKET,ticker__Ticker_TSLA,0.0
2023,XGB B - MARKET + SEC,market__QQQ_Log_Return_1D,0.07237659
2023,XGB B - MARKET + SEC,market__Price_to_SMA20,0.06385627
2023,XGB B - MARKET + SEC,market__Stock_vs_QQQ_3D,0.0615697
2023,XGB B - MARKET + SEC,market__RSI_14,0.06115595
2023,XGB B - MARKET + SEC,market__QQQ_Volatility_14D,0.060974877
2023,XGB B - MARKET + SEC,market__Daily_Range,0.06041131
2023,XGB B - MARKET + SEC,market__Stock_vs_QQQ_5D,0.059267778
2023,XGB B - MARKET + SEC,market__Relative_Volume_20D,0.05796562
2023,XGB B - MARKET + SEC,market__Intraday_Return,0.05752522
2023,XGB B - MARKET + SEC,market__QQQ_Log_Return_5D,0.056587163
2023,XGB B - MARKET + SEC,market__Stock_vs_QQQ_1D,0.052607294
2023,XGB B - MARKET + SEC,market__QQQ_Log_Return_3D,0.050985694
2023,XGB B - MARKET + SEC,market__Volatility_14D,0.05086175
2023,XGB B - MARKET + SEC,binary__Has_Item_2_02,0.050279737
2023,XGB B - MARKET + SEC,binary__Has_Event_Guidance,0.049912356
2023,XGB B - MARKET + SEC,binary__Has_EX99,0.047502954
2023,XGB B - MARKET + SEC,binary__Has_Event_Earnings,0.044201225
2023,XGB B - MARKET + SEC,binary__Has_Item_8_01,0.04195853
2023,XGB B - MARKET + SEC,ticker__Ticker_AVGO,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_AMD,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_AMZN,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_AAPL,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_ADBE,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_NFLX,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_MSFT,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_META,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_INTC,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_GOOGL,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_QCOM,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_TSLA,0.0
2023,XGB B - MARKET + SEC,ticker__Ticker_NVDA,0.0
2023,XGB B - MARKET + SEC,binary__Has_Item_1_01,0.0
2023,XGB B - MARKET + SEC,binary__Has_Event_Buyback,0.0
