Test_Year,Model,Train_Size,Test_Size,Num_Input_Features,Num_Encoded_Features,Selected_SEC_Features,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Brier_Score,Log_Loss,TN,FP,FN,TP
2023,XGB A - MARKET,441,118,14,26,,0.5,0.4821067821067821,0.42857142857142855,0.21818181818181817,0.2891566265060241,0.5165945165945166,0.2710120677947998,0.7409690022468567,47,16,43,12
2023,XGB B - MARKET + SEC,441,118,27,39,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5677966101694916,0.5513708513708513,0.5666666666666667,0.3090909090909091,0.4,0.5797979797979799,0.2593599855899811,0.7167190313339233,50,13,38,17
2023,XGB C - MARKET + SEC + FINBERT,441,118,30,42,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.576271186440678,0.5558441558441558,0.6086956521739131,0.2545454545454545,0.358974358974359,0.597979797979798,0.2619689106941223,0.7303494215011597,54,9,41,14
2024,XGB A - MARKET,559,122,14,26,,0.5737704918032787,0.551948051948052,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5381493506493507,0.2651273012161255,0.7347555756568909,54,12,40,16
2024,XGB B - MARKET + SEC,559,122,28,40,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5573770491803278,0.5367965367965368,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.5449134199134199,0.26382386684417725,0.7313581705093384,52,14,40,16
2024,XGB C - MARKET + SEC + FINBERT,559,122,31,43,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5409836065573771,0.5202922077922078,0.5,0.26785714285714285,0.3488372093023256,0.5597943722943723,0.26238134503364563,0.7296355366706848,51,15,41,15
2025,XGB A - MARKET,681,150,14,26,,0.5133333333333333,0.4856468023255814,0.40425531914893614,0.296875,0.34234234234234234,0.496547965116279,0.2646331191062927,0.7252760529518127,58,28,45,19
2025,XGB B - MARKET + SEC,681,150,28,40,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5066666666666667,0.4798328488372093,0.3958333333333333,0.296875,0.3392857142857143,0.517078488372093,0.26658591628074646,0.7301576733589172,57,29,45,19
2025,XGB C - MARKET + SEC + FINBERT,681,150,31,43,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5266666666666666,0.5032703488372092,0.43137254901960786,0.34375,0.3826086956521739,0.5363372093023255,0.258828729391098,0.712177038192749,57,29,42,22
2026,XGB A - MARKET,831,104,14,26,,0.4807692307692308,0.48905380333951765,0.5135135135135135,0.34545454545454546,0.41304347826086957,0.4946196660482374,0.2838735580444336,0.7761105895042419,31,18,36,19
2026,XGB B - MARKET + SEC,831,104,28,40,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5096153846153846,0.5174397031539888,0.5526315789473685,0.38181818181818183,0.45161290322580644,0.47161410018552874,0.28305327892303467,0.7699382305145264,32,17,34,21
2026,XGB C - MARKET + SEC + FINBERT,831,104,31,43,Has_EX99|Has_Event_Earnings|Has_Event_Guidance|Has_Event_Buyback|Has_Item_1_01|Has_Item_1_02|Has_Item_2_01|Has_Item_2_02|Has_Item_2_03|Has_Item_5_02|Has_Item_5_03|Has_Item_5_07|Has_Item_7_01|Has_Item_8_01,0.5192307692307693,0.5298701298701298,0.5757575757575758,0.34545454545454546,0.4318181818181818,0.48719851576994433,0.2812131643295288,0.7647731304168701,35,14,36,19
